GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
D.  Non-energy products from fuels and solvent use ,187.497040812739,0.0149466458944,0.000220372368,,Summary1.As1,DENMARK,1995,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,1995,Subsector,2.  Industrial processes and product use,237.65284193339,0.638575
G.  Other product manufacture and use ,0.129659175,0.0864280646,0.0676543687405,0.00305864288688,Summary1.As1,DENMARK,1995,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1995,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),72207.4616747758,,,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
                                           Sectoral approach(2),73321.52607068715,28.18129248309402,1.39092050433639,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
1.  Energy industries,44693.32606703755,14.58423638443609,0.51134146184967,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6258.322161882893,0.75804096608217,0.25290646597927,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
3.  Transport,12313.34604682171,2.90228219117954,0.40060720413336,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
4.  Other sectors,9803.989451464917,9.83939410362018,0.21908787833011,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
5.  Other,252.5423434800796,0.09733883777604,0.00697749404398,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
B. Fugitive emissions from fuels,497.95169515497406,8.2731675780806,0.00053101542802,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,497.95169515497406,8.2731675780806,0.00053101542802,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
A.  Mineral industry,1560.759922164,,,,Summary1.As1,DENMARK,1996,Subsector,1. Energy,,
C.  Metal industry,35.375,,,0.0004,Summary1.As1,DENMARK,1996,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,198.581078640977,0.016658421384,0.000206639472,,Summary1.As1,DENMARK,1996,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,1996,Subsector,2.  Industrial processes and product use,370.5916206719161,2.1099675
G.  Other product manufacture and use ,0.11894442,0.0982590204,0.065210702222,0.00220170329744,Summary1.As1,DENMARK,1996,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1996,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),62979.93568004411,,,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
                                           Sectoral approach(2),63615.394533397615,27.62344951051078,1.3201517486424,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
1.  Energy industries,35567.689550548086,13.90672570859372,0.44199580039159,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6273.548978526822,0.76263174207364,0.25206532741872,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
3.  Transport,12524.055234251173,2.76921765908533,0.40869230325897,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
4.  Other sectors,8998.488944060462,10.08463925946542,0.21110592071527,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
5.  Other,251.6118260110698,0.10023514129267,0.00629239685785,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
B. Fugitive emissions from fuels,697.784981994147,10.06034454271128,0.00061329026537,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,697.784981994147,10.06034454271128,0.00061329026537,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
A.  Mineral industry,1571.022686386,,,,Summary1.As1,DENMARK,1997,Subsector,1. Energy,,
C.  Metal industry,35.156,,,0.0006,Summary1.As1,DENMARK,1997,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,184.439874669139,0.0167906638856,0.000210917664,,Summary1.As1,DENMARK,1997,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,1997,Subsector,2.  Industrial processes and product use,373.3531642953038,5.23647075
G.  Other product manufacture and use ,0.0936150575,0.11790917495,0.063767557411,0.00250176744345,Summary1.As1,DENMARK,1997,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1997,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),59936.80522866237,,,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
                                           Sectoral approach(2),59755.78763564921,28.86178627996801,1.28881850454112,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
1.  Energy industries,31924.576418649765,15.30005665533719,0.41730492729618,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6221.489634654878,0.86351681110205,0.25756308260661,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
3.  Transport,12528.422795396076,2.61875703385434,0.40350727235863,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
4.  Other sectors,8792.350841853327,9.97732351254922,0.2032079221039,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
5.  Other,288.9479450951668,0.10213226712521,0.0072353001758,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
B. Fugitive emissions from fuels,523.1268595009554,9.51831172458564,0.00051468774178,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,523.1268595009554,9.51831172458564,0.00051468774178,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
A.  Mineral industry,1636.588375914,,,,Summary1.As1,DENMARK,1998,Subsector,1. Energy,,
C.  Metal industry,42.501,,,0.0007,Summary1.As1,DENMARK,1998,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,189.737756090733,0.015038737582,0.000333268368,,Summary1.As1,DENMARK,1998,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,1998,Subsector,2.  Industrial processes and product use,501.2757197383368,11.565823675
G.  Other product manufacture and use ,0.15241127,0.0995991772,0.065380022826,0.00183475427586,Summary1.As1,DENMARK,1998,Subsector,2.  Industrial processes and product use,,
H.  Other(3),,,,,Summary1.As1,DENMARK,1998,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),55506.44321422694,,,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
                                           Sectoral approach(2),56621.92960952887,28.4585362906236,1.27097604388391,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
1.  Energy industries,28840.07778815464,15.39446438516853,0.40518168207694,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,6295.430549596237,0.84764378216711,0.25354623905915,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
3.  Transport,12562.93936109118,2.43152602914879,0.39948930448422,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
4.  Other sectors,8652.043780747901,9.68549870116319,0.20547053929083,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
5.  Other,271.4381299389075,0.09940339297598,0.00728827897277,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
B. Fugitive emissions from fuels,1106.6745980624578,12.30526003548056,0.00092525513061,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,1106.6745980624578,12.30526003548056,0.00092525513061,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
A.  Mineral industry,1612.722903032,,,,Summary1.As1,DENMARK,1999,Subsector,1. Energy,,
C.  Metal industry,43.193,,,0.0007,Summary1.As1,DENMARK,1999,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,193.538273197565,0.0142238912244,0.000394137216,,Summary1.As1,DENMARK,1999,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,DENMARK,1999,Subsector,2.  Industrial processes and product use,642.4705988309464,15.8693913075
