GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
1. Energy,104875.59049338018,42.30686442544668,2.28543746208888,,,Summary1.As1,BELGIUM,2001,Sector,
2.  Industrial processes and product use,20809.713810112007,1.55245298,14.67421572233569,240.0794044839857,0.0061191750592,Summary1.As1,BELGIUM,2001,Sector,1172.2529737286166
1. Energy,105278.48914002744,40.23219218615291,2.28566707059434,,,Summary1.As1,BELGIUM,2002,Sector,
2.  Industrial processes and product use,20996.210623936156,1.71751428,13.291948683495,90.94790448398572,0.00511330213133,Summary1.As1,BELGIUM,2002,Sector,1401.0190666445162
1. Energy,106363.67663060829,40.2506212379548,2.35445012299766,,,Summary1.As1,BELGIUM,2003,Sector,
2.  Industrial processes and product use,21264.160829898152,1.82888259,10.78446888180695,232.1680104839857,0.00448610182149,Summary1.As1,BELGIUM,2003,Sector,1587.6681802049548
1. Energy,106165.2047270024,40.0644648965405,2.39315096505031,,,Summary1.As1,BELGIUM,2004,Sector,
2.  Industrial processes and product use,21935.57735022101,2.26828315,11.36378424447431,346.82626301620905,0.00397160187836,Summary1.As1,BELGIUM,2004,Sector,1672.8204464123796
1. Energy,104121.85662208218,40.61972426543509,1.99538402063404,,,Summary1.As1,BELGIUM,2005,Sector,
2.  Industrial processes and product use,20792.151930395503,3.63404774,11.38165688353492,155.81231004814265,0.00399308874028,Summary1.As1,BELGIUM,2005,Sector,2365.327651880896
1. Energy,102355.48151435556,40.80965774924021,2.02272857395183,,,Summary1.As1,BELGIUM,2006,Sector,
2.  Industrial processes and product use,20740.98067319341,4.21086976,8.65488863269605,104.46237124705318,0.00338491348411,Summary1.As1,BELGIUM,2006,Sector,2469.1856220325126
1. Energy,100165.92890406496,40.69977164046434,2.19997732750292,,,Summary1.As1,BELGIUM,2007,Sector,
2.  Industrial processes and product use,19393.276943987898,4.34014008,6.55284405268582,110.58554950853774,0.00348324923677,Summary1.As1,BELGIUM,2007,Sector,2838.179695640684
1. Energy,99698.24389369546,41.9466445440481,2.51283052531075,,,Summary1.As1,BELGIUM,2008,Sector,
2.  Industrial processes and product use,19607.17674174225,3.72582833,6.51993802044468,554.3484761864512,0.00383688162714,Summary1.As1,BELGIUM,2008,Sector,2833.573945371394
