GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
F.  Product uses as substitutes for ODS,,,,2754.8420398359326,3.49681763571942,,Summary1.As1,CAN,2000,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,1.38570796190476,,1.58108554292241,0.00871713224459,Summary1.As1,CAN,2000,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),497140.43503944256,,,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
                                           Sectoral approach(2),502193.8744274756,223.73934863221797,30.32324767621808,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
1.  Energy industries,203586.48526934875,107.79568739800958,3.78400576031235,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,72922.98457712946,7.40603376593643,2.01686555563415,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
3.  Transport,136255.98148846667,40.50157717651158,22.21931214832144,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
4.  Other sectors,89197.535621944,68.03002904526713,2.29659185195198,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
5.  Other,230.8874705866805,0.00602124649324,0.00647235999816,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,15672.513771037844,2127.105617164901,0.34990951626246,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
1.  Solid fuels,,69.66353567759003,,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,15672.513771037844,2057.442081487311,0.34990951626246,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
C. CO2 Transport and storage,0.0854,,,,,,Summary1.As1,CAN,2001,Subsector,1. Energy
A.  Mineral industry,9432.377974779,,,,,,Summary1.As1,CAN,2001,Subsector,2.  Industrial processes and product use
B.  Chemical industry,6490.53711714869,5.2613015078547,6.78308609310181,,,,Summary1.As1,CAN,2001,Subsector,2.  Industrial processes and product use
C.  Metal industry,15046.454652743,0.096525,,,4011.617759877477,0.10062298403683,Summary1.As1,CAN,2001,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,8639.67660893044,,,,,,Summary1.As1,CAN,2001,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,30.7488651405,0.00014630321209,Summary1.As1,CAN,2001,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,3159.295628752103,3.50492792427703,,Summary1.As1,CAN,2001,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,1.40181026938775,,1.63314403206398,0.01138424904579,Summary1.As1,CAN,2001,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),503027.47861490445,,,,,,Summary1.As1,CAN,2002,Subsector,1. Energy
                                           Sectoral approach(2),505654.00445319206,222.63669711936453,30.48343214207164,,,,Summary1.As1,CAN,2002,Subsector,1. Energy
1.  Energy industries,202589.1345551264,107.34522176692064,3.76981951424666,,,,Summary1.As1,CAN,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,71822.34450716851,7.37156806237912,2.0956311507038,,,,Summary1.As1,CAN,2002,Subsector,1. Energy
3.  Transport,138441.45242686116,41.82789475832705,22.26645251669198,,,,Summary1.As1,CAN,2002,Subsector,1. Energy
