GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,SF6 (kt),HFCs(1) (kt CO2 equivalent),PFCs(1)
4.  Other sectors,617.2500325056695,1.14992826403139,0.02692668492898,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04711176805949,1.24077555747811,,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04711176805949,1.24077555747811,,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
A.  Mineral industry,436.00616201598496,,,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
B.  Chemical industry,228.4443788665321,,,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,27.304543134,,,Summary1.As1,ESTONIA,1998,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1998,Subsector,2.  Industrial processes and product use,,49.38556663248359,
G.  Other product manufacture and use ,,,0.02317573631676,Summary1.As1,ESTONIA,1998,Subsector,2.  Industrial processes and product use,0.0001253194875,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1998,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),15885.84901327407,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
                                           Sectoral approach(2),15292.056084450202,1.80559487555883,0.16615838658418,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
1.  Energy industries,12207.318505055928,0.06939706672797,0.01888195800567,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,858.7802027143616,0.04525754640717,0.00964524458934,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
3.  Transport,1660.9056478030395,0.5075651253479,0.11271289732827,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
4.  Other sectors,565.051728876871,1.18337513707579,0.0249182866609,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04579496455788,1.206095101488,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04579496455788,1.206095101488,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
A.  Mineral industry,387.4737834807922,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
B.  Chemical industry,203.1171300097721,,,Summary1.As1,ESTONIA,1999,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,24.86352928796,,,Summary1.As1,ESTONIA,1999,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1999,Subsector,2.  Industrial processes and product use,,59.95713748702547,
G.  Other product manufacture and use ,,,0.02515412535897,Summary1.As1,ESTONIA,1999,Subsector,2.  Industrial processes and product use,0.000126288,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1999,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),15858.160504059832,,,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
                                           Sectoral approach(2),14852.898250286536,1.65280634957481,0.16395422747445,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
1.  Energy industries,11702.353128659546,0.06659399028195,0.0153991229732,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,908.7965429375907,0.05187297064306,0.00970130010636,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
3.  Transport,1639.5890375844665,0.46057008048841,0.11327232004082,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
4.  Other sectors,602.159541104934,1.07376930816139,0.02558148435407,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.05264533550733,1.38651229200854,,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.05264533550733,1.38651229200854,,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
A.  Mineral industry,399.87467108354303,,,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
B.  Chemical industry,180.77707724936175,,,Summary1.As1,ESTONIA,2000,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,23.90339973164,,,Summary1.As1,ESTONIA,2000,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2000,Subsector,2.  Industrial processes and product use,,74.7379725589453,
G.  Other product manufacture and use ,,,0.02718850578926,Summary1.As1,ESTONIA,2000,Subsector,2.  Industrial processes and product use,0.0001145773125,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2000,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),16147.527477445174,,,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
                                           Sectoral approach(2),15233.354915474129,1.66837899446232,0.17828686097415,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
1.  Energy industries,11394.466584272302,0.06273775644286,0.01616041580492,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1108.663944760346,0.06599349734852,0.01220457689342,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
3.  Transport,1956.1641800658465,0.53111467263921,0.12275270123888,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
4.  Other sectors,774.0602063756311,1.00853306803173,0.02716916703693,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.0564958409346,1.48792247496,,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.0564958409346,1.48792247496,,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
A.  Mineral industry,407.48180076116427,,,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
B.  Chemical industry,195.35377570702244,,,Summary1.As1,ESTONIA,2001,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,20.91397620136,,,Summary1.As1,ESTONIA,2001,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2001,Subsector,2.  Industrial processes and product use,,91.65536597141411,
G.  Other product manufacture and use ,,,0.02402468343109,Summary1.As1,ESTONIA,2001,Subsector,2.  Industrial processes and product use,7.358355198e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2001,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),15998.686958023198,,,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
                                           Sectoral approach(2),14902.149420503849,1.62431454363131,0.19067950029636,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
1.  Energy industries,11285.102487932734,0.07301876526454,0.02008210789627,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,810.2723295654148,0.05578867551847,0.00988754428478,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
3.  Transport,2076.2839367394627,0.47276730381853,0.13550101306419,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
4.  Other sectors,730.4906662662349,1.02273979902977,0.02520883505112,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04737445493681,1.2476939023008,,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04737445493681,1.2476939023008,,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
A.  Mineral industry,391.0053370260693,,,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
B.  Chemical industry,31.32567525974732,,,Summary1.As1,ESTONIA,2002,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,22.9962899452,,,Summary1.As1,ESTONIA,2002,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2002,Subsector,2.  Industrial processes and product use,,93.64433280529492,
G.  Other product manufacture and use ,,,0.02169679903265,Summary1.As1,ESTONIA,2002,Subsector,2.  Industrial processes and product use,6.09259375e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2002,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),17922.227611417984,,,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
                                           Sectoral approach(2),16755.280521240995,1.48008032434267,0.17476841276216,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
1.  Energy industries,13016.416923116234,0.05513414786651,0.01583270091612,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,947.2550524414962,0.05765108040524,0.01048597185839,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
3.  Transport,2008.4423311503213,0.4199925705765,0.12197186443905,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
4.  Other sectors,783.166214532944,0.94730252549442,0.0264778755486,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.0540768725008,1.42421446673628,,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.0540768725008,1.42421446673628,,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
A.  Mineral industry,372.8322533526879,,,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
B.  Chemical industry,92.17471499902416,,,Summary1.As1,ESTONIA,2003,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,22.6779833236,,,Summary1.As1,ESTONIA,2003,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2003,Subsector,2.  Industrial processes and product use,,99.70914609948068,
G.  Other product manufacture and use ,,,0.0217173046575,Summary1.As1,ESTONIA,2003,Subsector,2.  Industrial processes and product use,5.694092556e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2003,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),17921.925478895937,,,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
                                           Sectoral approach(2),16701.00319232018,1.56108449179952,0.17940722281426,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
1.  Energy industries,12897.97824091966,0.05992541642631,0.02417607241677,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,991.2039347015962,0.0724816032211,0.01274767557355,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
3.  Transport,2047.1359490850757,0.3807083267041,0.11587103462782,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
4.  Other sectors,764.6850676138454,1.04796914544801,0.02661244019612,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.0615932871575,1.6221731503104,,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.0615932871575,1.6221731503104,,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
A.  Mineral industry,405.3905904238596,,,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
B.  Chemical industry,184.47285675,,,Summary1.As1,ESTONIA,2004,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,23.10419084204915,,,Summary1.As1,ESTONIA,2004,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2004,Subsector,2.  Industrial processes and product use,,113.4023628429482,
G.  Other product manufacture and use ,,,0.02206534195152,Summary1.As1,ESTONIA,2004,Subsector,2.  Industrial processes and product use,4.700133012e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2004,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),18299.32459921227,,,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
                                           Sectoral approach(2),16501.64423707803,1.45265968195129,0.1912636269329,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
1.  Energy industries,12600.378899768482,0.06452673855602,0.03521972047875,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1031.1009319044174,0.07506287211765,0.01297203563608,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
3.  Transport,2124.0430812483114,0.38662299799919,0.11915763858765,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
4.  Other sectors,746.1213241568212,0.92644707327843,0.02391423223042,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.06359215019386,1.67481690579684,,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.06359215019386,1.67481690579684,,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
A.  Mineral industry,413.58697646709993,,,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
B.  Chemical industry,146.35546666666676,,,Summary1.As1,ESTONIA,2005,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,23.55208395580646,,,Summary1.As1,ESTONIA,2005,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2005,Subsector,2.  Industrial processes and product use,,128.14880116314245,
G.  Other product manufacture and use ,,,0.02275155,Summary1.As1,ESTONIA,2005,Subsector,2.  Industrial processes and product use,4.735048325e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2005,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),17707.366710094448,,,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
                                           Sectoral approach(2),15832.85030855794,1.39976200075972,0.18612938240566,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
1.  Energy industries,11870.18543384486,0.05491691185365,0.03642154428329,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1028.5628796911456,0.06949545708064,0.01197497119777,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
3.  Transport,2267.960157136029,0.37990930957823,0.11408020489177,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
4.  Other sectors,666.1418378859083,0.8954403222472,0.02365266203283,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.06426508744134,1.692539952984,,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.06426508744134,1.692539952984,,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
A.  Mineral industry,460.6820548575603,,,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
B.  Chemical industry,117.58436999999996,,,Summary1.As1,ESTONIA,2006,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,24.10833536739835,,,Summary1.As1,ESTONIA,2006,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2006,Subsector,2.  Industrial processes and product use,,147.19717398400846,
G.  Other product manufacture and use ,,,0.02011505,Summary1.As1,ESTONIA,2006,Subsector,2.  Industrial processes and product use,5.145402031e-05,,0.0952211
H.  Other(3),,,,Summary1.As1,ESTONIA,2006,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),21626.8566860124,,,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
                                           Sectoral approach(2),19152.40221379381,1.38380893309528,0.1867541208701,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
1.  Energy industries,14814.625697813612,0.04574682580644,0.03615280170564,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1311.870383334443,0.10183911490623,0.01670441181135,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
3.  Transport,2380.777997039383,0.36014434079601,0.10774178611332,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
4.  Other sectors,645.1281356063691,0.8760786515866,0.02615512123979,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.06388389008798,1.6825004155584,,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.06388389008798,1.6825004155584,,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
A.  Mineral industry,645.8020070177284,,,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
B.  Chemical industry,110.6371275,,,Summary1.As1,ESTONIA,2007,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,24.27436887493573,,,Summary1.As1,ESTONIA,2007,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2007,Subsector,2.  Industrial processes and product use,,163.06457266210157,
G.  Other product manufacture and use ,,,0.016383525,Summary1.As1,ESTONIA,2007,Subsector,2.  Industrial processes and product use,4.540020984e-05,,0.077519
H.  Other(3),,,,Summary1.As1,ESTONIA,2007,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),19250.23834714462,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
                                           Sectoral approach(2),17005.786887441947,1.36903458092402,0.17336602123989,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
1.  Energy industries,12878.529965997915,0.04929613199538,0.0365229830094,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1205.2446848060904,0.10958914440536,0.01774580578183,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
3.  Transport,2295.866906763796,0.31908110939641,0.09229672578194,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
4.  Other sectors,626.1453298741445,0.89106819512687,0.02680050666672,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.06127173736244,1.61370454166632,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.06127173736244,1.61370454166632,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
A.  Mineral industry,644.1242839816917,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
B.  Chemical industry,141.6157489166667,,,Summary1.As1,ESTONIA,2008,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,21.88167224805291,,,Summary1.As1,ESTONIA,2008,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2008,Subsector,2.  Industrial processes and product use,,146.24689554100894,
G.  Other product manufacture and use ,,,0.017242175,Summary1.As1,ESTONIA,2008,Subsector,2.  Industrial processes and product use,6.37948e-05,,0.0489411
H.  Other(3),,,,Summary1.As1,ESTONIA,2008,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),16398.943510646743,,,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
                                           Sectoral approach(2),14100.542653782448,1.33753238805841,0.18012783228789,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
1.  Energy industries,10643.89213022325,0.15970995503819,0.04542395394463,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,761.6611236466548,0.06413465329053,0.01075583602985,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
3.  Transport,2117.4925183199643,0.27046753472115,0.09663946007108,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
4.  Other sectors,577.4968815925773,0.84322024500854,0.02730858224233,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04175905894679,1.0998020617488,,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04175905894679,1.0998020617488,,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
A.  Mineral industry,281.1388626199944,,,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
B.  Chemical industry,14.18575,,,Summary1.As1,ESTONIA,2009,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,16.39039954120286,,,Summary1.As1,ESTONIA,2009,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2009,Subsector,2.  Industrial processes and product use,,153.11726492823166,
G.  Other product manufacture and use ,,,0.015832375,Summary1.As1,ESTONIA,2009,Subsector,2.  Industrial processes and product use,6.575124857e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2009,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),21215.18522334796,,,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
                                           Sectoral approach(2),18608.726471360864,1.45106797060963,0.21651725677336,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
1.  Energy industries,14988.790679607013,0.25734132789308,0.06152271047674,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,788.1645231556806,0.06646821914539,0.01121374656433,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
3.  Transport,2247.464267578754,0.25226904774631,0.11568331560698,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
4.  Other sectors,584.3070010194178,0.87498937582485,0.02809748412531,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.0447317145409,1.1780924455296,,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.0447317145409,1.1780924455296,,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
A.  Mineral industry,338.5094636820424,,,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
C.  Metal industry,2.45079926442025,,,Summary1.As1,ESTONIA,2010,Subsector,1. Energy,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2010,Subsector,2.  Industrial processes and product use,,170.72709116284804,
G.  Other product manufacture and use ,,,0.01714005,Summary1.As1,ESTONIA,2010,Subsector,2.  Industrial processes and product use,8.034972971e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2010,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),21347.333503545888,,,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
                                           Sectoral approach(2),18479.039404471303,1.45592910815527,0.20819964346424,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
1.  Energy industries,14651.216426563607,0.32770787621793,0.06969612424775,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,910.9494365845233,0.08899870244087,0.01442220742967,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
3.  Transport,2242.91477045501,0.22505738544917,0.09795985916045,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
4.  Other sectors,673.9587708681624,0.8141651440473,0.02612145262637,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04002182314059,1.05404874331719,,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04002182314059,1.05404874331719,,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
A.  Mineral industry,452.1907824671071,,,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
C.  Metal industry,3.15248347032574,,,Summary1.As1,ESTONIA,2011,Subsector,1. Energy,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2011,Subsector,2.  Industrial processes and product use,,178.25436298708027,
G.  Other product manufacture and use ,,,0.01757835,Summary1.As1,ESTONIA,2011,Subsector,2.  Industrial processes and product use,8.215661437e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2011,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),20360.67666379909,,,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
                                           Sectoral approach(2),17055.38377857502,1.43537482873706,0.20689173857982,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
1.  Energy industries,13183.469954671871,0.37555482020944,0.07088008552824,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,909.8783817941418,0.08510802376413,0.01368850802373,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
3.  Transport,2266.376228090066,0.20053025414394,0.09541558631876,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
4.  Other sectors,695.659214018939,0.77418173061955,0.02690755870909,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04337077759265,1.14224965358595,,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04337077759265,1.14224965358595,,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
A.  Mineral industry,669.1039658956123,,,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
B.  Chemical industry,16.61960583333333,,,Summary1.As1,ESTONIA,2012,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,19.39614045183361,,,Summary1.As1,ESTONIA,2012,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2012,Subsector,2.  Industrial processes and product use,,188.03022756666687,
G.  Other product manufacture and use ,,,0.015701090625,Summary1.As1,ESTONIA,2012,Subsector,2.  Industrial processes and product use,8.721535648e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2012,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),22803.50827915187,,,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
                                           Sectoral approach(2),18867.56312859437,1.29695286690078,0.19767100084716,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
1.  Energy industries,15013.729243027688,0.26147117626771,0.06456942361416,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,943.9969911474112,0.09800128034703,0.01558474904349,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
3.  Transport,2219.788122160182,0.17721762437434,0.09089283724148,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
4.  Other sectors,690.0487722590897,0.7602627859117,0.02662399094803,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04412710109111,1.16216883193744,,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04412710109111,1.16216883193744,,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
A.  Mineral industry,694.2941062598715,,,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
B.  Chemical industry,68.63144146666667,,,Summary1.As1,ESTONIA,2013,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,19.26994701320741,,,Summary1.As1,ESTONIA,2013,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,2013,Subsector,2.  Industrial processes and product use,,201.52087998593177,
G.  Other product manufacture and use ,,,0.015080815625,Summary1.As1,ESTONIA,2013,Subsector,2.  Industrial processes and product use,9.311451505e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,2013,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),23573.61050772547,,,Summary1.As1,ESTONIA,2014,Subsector,1. Energy,,,
                                           Sectoral approach(2),18330.753336551104,1.28835566053139,0.192734563167,Summary1.As1,ESTONIA,2014,Subsector,1. Energy,,,
