GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,SF6 (kt),HFCs(1) (kt CO2 equivalent),PFCs(1)
B.  Manure management,,6.64090722805148,0.37909020077095,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,3.78703102517178,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
G. Liming,12.11293659864747,,,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
H. Urea application,0.99751026350757,,,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
A. Forest land (4),-4770.439088808335,2.60706769313993,0.89236326306314,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
B. Cropland (4),603.6029241193846,,,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
C. Grassland (4),8.028445930245,0.00014382718912,1.31320477e-05,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
D. Wetlands (4),307.91785014749473,0.00420992,0.00785601142857,Summary1.As2,ESTONIA,1990,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,8.54872075298771,,Summary1.As2,ESTONIA,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
B.  Biological treatment of solid waste (5),,0.0271,0.001626,Summary1.As2,ESTONIA,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),2.2517867979597,0.04872902636508,0.00076636043321,Summary1.As2,ESTONIA,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,4.50784978426523,0.12971735066923,Summary1.As2,ESTONIA,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,48.12554800383399,,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
B.  Manure management,,6.12912612372409,0.3577347016261,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,3.7160188521367,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
G. Liming,11.16884006963524,,,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
H. Urea application,0.92795483927005,,,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
A. Forest land (4),-4787.87465258145,2.60046448646856,0.89266122238765,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
B. Cropland (4),655.3973848101791,,,Summary1.As2,ESTONIA,1991,Subsector,3.  Agriculture,,,
