GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),113661.6656669857,,,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
                                           Sectoral approach(2),118160.5555793013,49.37795017628543,2.12034595611111,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
1.  Energy industries,61473.2065063254,0.76946713310293,0.90610742104261,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,24326.06371346491,2.07348055255624,0.30336922414187,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
3.  Transport,10183.056670680577,3.38826768721917,0.49851163430775,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
4.  Other sectors,21964.04945603042,43.12092657401202,0.40461326926554,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
5.  Other,214.1792328,0.02580822939507,0.00774440735334,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
B. Fugitive emissions from fuels,362.2710547310169,389.3657920156315,8.88336526e-05,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
1.  Solid fuels,356.209445,356.463367,,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,6.06160973101689,32.90242501563145,8.88336526e-05,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,1. Energy,,
B.  Chemical industry,1725.667583,1.4035774796,3.5086226,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,7967.157807306131,0.50387258692308,,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,103.75153066666668,,,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CZECH REPUBLIC,1995,Subsector,2.  Industrial processes and product use,86.86631853158381,0.0089
G.  Other product manufacture and use ,,,0.692,0.00388943707499,Summary1.As1,CZECH REPUBLIC,1995,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),115144.77310894513,,,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
                                           Sectoral approach(2),120884.42580927284,50.64158514611148,2.2103684070679,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
1.  Energy industries,66212.77914735374,0.85847341925434,0.95153408804412,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,24113.077450703902,2.04887531606568,0.29929750350973,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
3.  Transport,10385.375973683154,3.50028223442513,0.57667900633519,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
4.  Other sectors,19965.205800732023,44.20870090599441,0.37537025638495,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
5.  Other,207.98743679999995,0.02525327037192,0.00748755279391,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
B. Fugitive emissions from fuels,349.9709114710873,390.7245012845139,9.249101299e-05,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
1.  Solid fuels,343.654205,355.15123900000003,,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,6.31670647108731,35.57326228451386,9.249101299e-05,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,1. Energy,,
B.  Chemical industry,1854.988149,1.45672675,3.3702493,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,8314.635881150467,0.49672970581538,,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,90.193092,,,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,2.  Industrial processes and product use,215.43110927960095,0.682897
G.  Other product manufacture and use ,,,0.692,0.00431167048159,Summary1.As1,CZECH REPUBLIC,1996,Subsector,2.  Industrial processes and product use,,
H.  Other(3),0.18474323829152,,,,Summary1.As1,CZECH REPUBLIC,1996,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),117116.9807163847,,,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
                                           Sectoral approach(2),116026.62163053268,46.86578382689625,2.17873474152887,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
1.  Energy industries,62519.86475885296,0.85058526803394,0.89783009702648,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,23921.490853576583,2.03708646713894,0.29619581451347,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
3.  Transport,10361.973144019586,3.28341721657735,0.6146058651496,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
4.  Other sectors,19027.800475683554,40.670749295493,0.363175426814,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
5.  Other,195.4923984,0.02394557965302,0.00692753802532,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
B. Fugitive emissions from fuels,355.943762014643,379.6448643714128,9.918444156e-05,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
1.  Solid fuels,349.18124,344.299249,,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,6.76252201464303,35.34561537141283,9.918444156e-05,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,1. Energy,,
B.  Chemical industry,1813.999336,1.4816870092,3.4723982,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,9007.386933206786,0.46973751307692,,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,76.63465333333336,,,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,2.  Industrial processes and product use,,1.020357
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,2.  Industrial processes and product use,388.923908286244,0.59561770162076
G.  Other product manufacture and use ,,,0.692,0.00421511106889,Summary1.As1,CZECH REPUBLIC,1997,Subsector,2.  Industrial processes and product use,,
H.  Other(3),0.26221129296456,,,,Summary1.As1,CZECH REPUBLIC,1997,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),112146.76458851,,,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
                                           Sectoral approach(2),110682.19938254324,38.2580412148197,2.14365249053104,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
1.  Energy industries,60395.03864056805,0.8774806103773,0.87701700472361,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,21581.409908677382,1.80326546184571,0.26303502799275,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
3.  Transport,11626.637182463077,3.24204430073323,0.67584458877007,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
4.  Other sectors,16909.291980334714,32.31327175132409,0.32209502440297,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
5.  Other,169.82167049999998,0.02197909053937,0.00566084464164,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
B. Fugitive emissions from fuels,339.9468102621278,362.8859801819626,0.00010884711039,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
1.  Solid fuels,332.5319,325.64391700000004,,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,7.41491026212779,37.24206318196261,0.00010884711039,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,1. Energy,,
B.  Chemical industry,1861.452125,1.631042411,3.6907518,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,8707.838649657191,0.47535848692308,,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,119.66795866666666,,,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,2.  Industrial processes and product use,,1.020357
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CZECH REPUBLIC,1998,Subsector,2.  Industrial processes and product use,529.3420620160241,0.52238561797075
G.  Other product manufacture and use ,,,0.692,0.00416558581569,Summary1.As1,CZECH REPUBLIC,1998,Subsector,2.  Industrial processes and product use,,
