GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),2249.9540800000023,,,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
                                           Sectoral approach(2),2446.529098953996,0.20767445504548,0.03022737949283,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
1.  Energy industries,1590.47368,0.0582676,0.01334352,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,75.3090809987914,0.00291265715109,0.00057440460087,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
3.  Transport,443.7832849938288,0.10466503403026,0.01311881305637,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
4.  Other sectors,335.80462733978777,0.04176521490854,0.00315853778416,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
5.  Other,1.15842562158791,6.394895559e-05,3.210405143e-05,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
A.  Mineral industry,1.510408355,,,,Summary1.As1,MALTA,1995,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.46842284171189,,,,Summary1.As1,MALTA,1995,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,1995,Subsector,2.  Industrial processes and product use,0.001713426,
G.  Other product manufacture and use ,,,0.0089065192365,6.2996e-05,Summary1.As1,MALTA,1995,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2177.484980000002,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
                                           Sectoral approach(2),2528.5715807541337,0.21364157441172,0.0306655296058,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
1.  Energy industries,1646.97654,0.0640398,0.01280796,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,75.9605829658725,0.00294452185972,0.00058082239396,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
3.  Transport,465.1807040289687,0.10420791061161,0.01383034280098,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
4.  Other sectors,339.3335923168244,0.04238977210185,0.00341542959107,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
5.  Other,1.1201614424681,5.956983854e-05,3.097481979e-05,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
A.  Mineral industry,1.400338,,,,Summary1.As1,MALTA,1996,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.46710472918553,,,,Summary1.As1,MALTA,1996,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,1996,Subsector,2.  Industrial processes and product use,0.002566285722,
G.  Other product manufacture and use ,,,0.0089135860631,6.3476e-05,Summary1.As1,MALTA,1996,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2460.9063233333354,,,,Summary1.As1,MALTA,1997,Subsector,1. Energy,,
