GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
3.  Agriculture,,2.55980173968016,0.15030275608503,,Summary1.As2,MALTA,1991,Sector,,
"4.  Land use, land-use change and forestry  (4)",-8.53790527726922,0.000969,0.00107132304127,,Summary1.As2,MALTA,1991,Sector,,
5.  Waste,0.37011788,2.57340739582527,0.03663315323281,,Summary1.As2,MALTA,1991,Sector,,
3.  Agriculture,,2.61763376198512,0.15382285159327,,Summary1.As2,MALTA,1992,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5.302689791032,0.000969,0.00090695334069,,Summary1.As2,MALTA,1992,Sector,,
5.  Waste,0.37011788,2.80995445204618,0.03705639490526,,Summary1.As2,MALTA,1992,Sector,,
3.  Agriculture,,2.60040498074102,0.15531003953352,,Summary1.As2,MALTA,1993,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5.13983852002591,0.000969,0.00093925673457,,Summary1.As2,MALTA,1993,Sector,,
5.  Waste,0.37011788,3.0895058810618,0.03920493294132,,Summary1.As2,MALTA,1993,Sector,,
3.  Agriculture,,2.5154910010801,0.15366123228641,,Summary1.As2,MALTA,1994,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4.80738027427802,0.000969,0.00096461146271,,Summary1.As2,MALTA,1994,Sector,,
5.  Waste,0.37011788,3.38570443251132,0.0421777448926,,Summary1.As2,MALTA,1994,Sector,,
3.  Agriculture,,2.42869685591485,0.14967102682034,,Summary1.As2,MALTA,1995,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4.29030398719395,0.000969,0.00096855897136,,Summary1.As2,MALTA,1995,Sector,,
5.  Waste,0.37011788,3.6368532853389,0.04442227932343,,Summary1.As2,MALTA,1995,Sector,,
3.  Agriculture,,2.54769057075814,0.1500693633107,,Summary1.As2,MALTA,1996,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4.32111722067255,0.000969,0.00098203365255,,Summary1.As2,MALTA,1996,Sector,,
5.  Waste,0.37011788,3.85669293348031,0.04076590633813,,Summary1.As2,MALTA,1996,Sector,,
3.  Agriculture,,2.57292625841108,0.15428294295524,,Summary1.As2,MALTA,1997,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4.54802799996747,0.000969,0.00097901516611,,Summary1.As2,MALTA,1997,Sector,,
5.  Waste,0.37011788,4.11482267931602,0.0410655790442,,Summary1.As2,MALTA,1997,Sector,,
3.  Agriculture,,2.42754154265464,0.14985237058362,,Summary1.As2,MALTA,1998,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4.32690902609404,0.000969,0.00099903209569,,Summary1.As2,MALTA,1998,Sector,,
5.  Waste,0.34538988,4.47518444336454,0.04448646317082,,Summary1.As2,MALTA,1998,Sector,,
3.  Agriculture,,2.51042993509029,0.15407010984554,,Summary1.As2,MALTA,1999,Sector,,
