GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
2.  Manufacturing industries and construction                          ,28731.823003366317,3.05552674338306,0.10039787916666,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
3.  Transport,32633.522048963805,3.82334120836437,0.92887315514126,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
4.  Other sectors,38963.004003773895,34.20687387586797,0.17270891514802,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
5.  Other,254.260292225,0.030361949976,0.017809091483,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
B. Fugitive emissions from fuels,351.1733337625,37.44583506,,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
1.  Solid fuels,84.23536,0.2127666,,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,266.9379737625,37.23306846,,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
B.  Chemical industry,4374.684205840663,11.390293,23.09440566731469,3035.169351,,,Summary1.As1,NETHERLANDS,2000,Subsector,2.  Industrial processes and product use
C.  Metal industry,487.899888,,,,1478.95845,,Summary1.As1,NETHERLANDS,2000,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,258.4069938289738,0.0097111169925,,,,,Summary1.As1,NETHERLANDS,2000,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,244.212668661835,,Summary1.As1,NETHERLANDS,2000,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,993.8679762189706,,,Summary1.As1,NETHERLANDS,2000,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.5882,1.9045492974519,0.50217243623479,,,0.009984,Summary1.As1,NETHERLANDS,2000,Subsector,2.  Industrial processes and product use
H.  Other(3),48.972588,,,,,,Summary1.As1,NETHERLANDS,2000,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),169641.43937404774,,,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
                                           Sectoral approach(2),170516.7716251606,45.10713901757207,1.9075007857237,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
1.  Energy industries,68236.22163893667,4.45452215428387,0.69080592033768,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,28549.296236837858,2.85810647436164,0.10091652455152,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
3.  Transport,32947.60090800972,3.72824124092915,0.92379224274083,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
4.  Other sectors,40550.37321990135,34.04291811613341,0.17806107345667,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
5.  Other,233.279621475,0.023351031864,0.013925024637,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,254.374293385,36.82064506,,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
1.  Solid fuels,84.43688,0.2214666,,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,169.937413385,36.59917846,,,,,Summary1.As1,NETHERLANDS,2001,Subsector,1. Energy
B.  Chemical industry,3915.513301482468,11.350256,21.08862375604407,837.472604,,,Summary1.As1,NETHERLANDS,2001,Subsector,2.  Industrial processes and product use
C.  Metal industry,490.816486,,,,1413.61218,,Summary1.As1,NETHERLANDS,2001,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,267.867655958698,0.00978648796125,,,,,Summary1.As1,NETHERLANDS,2001,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,211.706601982158,,Summary1.As1,NETHERLANDS,2001,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,828.4117101221963,,,Summary1.As1,NETHERLANDS,2001,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.44115,1.88847263229869,0.40247179568177,,,0.010467,Summary1.As1,NETHERLANDS,2001,Subsector,2.  Industrial processes and product use
H.  Other(3),42.817528,,,,,,Summary1.As1,NETHERLANDS,2001,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),169319.62957120422,,,,,,Summary1.As1,NETHERLANDS,2002,Subsector,1. Energy
