GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
                                           Sectoral approach(2),32107.0762774814,15.35539349625785,1.10348105381671,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
1.  Energy industries,12618.224454658462,0.29370326193465,0.24630056698922,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4245.853666068199,0.23300443954772,0.03859651468706,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
3.  Transport,5805.742275180014,1.88179529135018,0.44401984083962,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
4.  Other sectors,9437.255881574722,12.9468905034253,0.37456413130081,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0070653271577,3.7664600143688,,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
1.  Solid fuels,,1.410015,,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0070653271577,2.3564450143688,,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
A.  Mineral industry,1081.7022655246876,,,,,,Summary1.As1,IRELAND,1994,Subsector,1. Energy
C.  Metal industry,21.28,,,,,,Summary1.As1,IRELAND,1994,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,83.17875216071882,,,,,,Summary1.As1,IRELAND,1994,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,1.35904,53.219724,0.001088,Summary1.As1,IRELAND,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,16.87778410500214,,,Summary1.As1,IRELAND,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0760060272092,,0.107577,,,0.00162914342483,Summary1.As1,IRELAND,1994,Subsector,2.  Industrial processes and product use
H.  Other(3),22.39653328343989,,,,,,Summary1.As1,IRELAND,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),32714.619020385257,,,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
                                           Sectoral approach(2),32995.05134034808,14.14619946523838,1.29528735726043,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
1.  Energy industries,13301.41904815184,0.31332816358087,0.24958657512367,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4260.861416984571,0.23831375090415,0.03920716914074,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
3.  Transport,6058.859098086716,1.86273980374892,0.59484015304142,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
4.  Other sectors,9373.911777124951,11.73181774700444,0.4116534599546,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0083513907191,3.78497472433141,,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
1.  Solid fuels,,1.3331928,,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0083513907191,2.45178192433141,,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
A.  Mineral industry,1084.1810327260132,,,,,,Summary1.As1,IRELAND,1995,Subsector,1. Energy
C.  Metal industry,24.8,,,,,,Summary1.As1,IRELAND,1995,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,73.7784113459717,,,,,,Summary1.As1,IRELAND,1995,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,1.9344,88.62708,0.0018,Summary1.As1,IRELAND,1995,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,29.49801348107162,,,Summary1.As1,IRELAND,1995,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0810317202948,,0.108039,,,0.00166992532392,Summary1.As1,IRELAND,1995,Subsector,2.  Industrial processes and product use
H.  Other(3),22.62692569800176,,,,,,Summary1.As1,IRELAND,1995,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),34638.29459307098,,,,,,Summary1.As1,IRELAND,1996,Subsector,1. Energy
                                           Sectoral approach(2),34538.99433795014,14.17886461132838,1.54137811270683,,,,Summary1.As1,IRELAND,1996,Subsector,1. Energy
1.  Energy industries,14016.854271602871,0.35748271170864,0.26117908234567,,,,Summary1.As1,IRELAND,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4129.830782049121,0.25744428516673,0.0412949591185,,,,Summary1.As1,IRELAND,1996,Subsector,1. Energy
3.  Transport,7027.284515147332,1.8616269813851,0.88920051605828,,,,Summary1.As1,IRELAND,1996,Subsector,1. Energy
4.  Other sectors,9365.024769150816,11.70231063306791,0.34970355518438,,,,Summary1.As1,IRELAND,1996,Subsector,1. Energy
