GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
3.  Agriculture,972.7244192167444,1135.33124877077,59.65839795831264,,,,Summary1.As2,GBR,2000,Sector
"4.  Land use, land-use change and forestry  (4)",-881.9565978461866,197.4329853690016,6.341672087864,,,,Summary1.As2,GBR,2000,Sector
5.  Waste,709.6248054484236,2369.6580134540804,4.12757377325753,,,,Summary1.As2,GBR,2000,Sector
3.  Agriculture,859.0096490498295,1078.7614625925924,57.26894493295221,,,,Summary1.As2,GBR,2001,Sector
"4.  Land use, land-use change and forestry  (4)",-1495.0972301047432,197.58148177907387,6.19810157626104,,,,Summary1.As2,GBR,2001,Sector
5.  Waste,646.1555472784232,2303.211179097288,4.11266942840248,,,,Summary1.As2,GBR,2001,Sector
3.  Agriculture,769.2899208997696,1062.227579334536,57.35390208837542,,,,Summary1.As2,GBR,2002,Sector
"4.  Land use, land-use change and forestry  (4)",-2299.876610017459,197.74573666425604,6.08127070357783,,,,Summary1.As2,GBR,2002,Sector
5.  Waste,632.5699765241154,2258.5890759076888,4.19274949116647,,,,Summary1.As2,GBR,2002,Sector
3.  Agriculture,970.5066717575482,1071.8206195569012,57.01620295481747,,,,Summary1.As2,GBR,2003,Sector
"4.  Land use, land-use change and forestry  (4)",-2478.070003524275,198.9924395405015,6.08159490454935,,,,Summary1.As2,GBR,2003,Sector
5.  Waste,611.6439454876187,2115.226908599903,4.18819252488014,,,,Summary1.As2,GBR,2003,Sector
3.  Agriculture,1330.4750018476766,1080.553933060078,56.12853997679075,,,,Summary1.As2,GBR,2004,Sector
"4.  Land use, land-use change and forestry  (4)",-3255.162063760689,198.1303614862252,5.88819314445629,,,,Summary1.As2,GBR,2004,Sector
5.  Waste,592.887656019839,1942.1015636571613,4.23317390757207,,,,Summary1.As2,GBR,2004,Sector
3.  Agriculture,1570.3225281620612,1081.377448128633,54.98736285553965,,,,Summary1.As2,GBR,2005,Sector
"4.  Land use, land-use change and forestry  (4)",-3616.9083917041617,198.65009710115555,5.79764564956108,,,,Summary1.As2,GBR,2005,Sector
5.  Waste,539.2044098749911,1839.173091480709,4.3554145459438,,,,Summary1.As2,GBR,2005,Sector
3.  Agriculture,1584.551941609845,1059.3909122473638,53.43397274775167,,,,Summary1.As2,GBR,2006,Sector
"4.  Land use, land-use change and forestry  (4)",-3992.1964522487046,198.62852698127907,5.67715973621895,,,,Summary1.As2,GBR,2006,Sector
5.  Waste,383.9601106633848,1726.390745002819,4.44146835522859,,,,Summary1.As2,GBR,2006,Sector
3.  Agriculture,1641.5733894450811,1052.549387921461,52.35699196873851,,,,Summary1.As2,GBR,2007,Sector
"4.  Land use, land-use change and forestry  (4)",-4337.019740424854,199.26209407721765,5.61868066365788,,,,Summary1.As2,GBR,2007,Sector
5.  Waste,453.0504957286163,1600.5010866590949,4.60284643220396,,,,Summary1.As2,GBR,2007,Sector
