GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
B. Fugitive emissions from fuels,0.000690912,0.0265627386,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000690912,0.0265627386,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04692283607296,1.54690442e-05,2.22675682e-06,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2000,Subsector,1. Energy,1.58687989813171,
A. Fuel combustion     Reference approach(2),98.69283413492202,,,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
                                           Sectoral approach(2),99.59751499100337,0.01165053410433,0.0082906797081,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
1.  Energy industries,27.16414046893216,5.876449847e-05,0.00514834096047,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.6344040020142,0.00015927784147,0.00098880109293,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
3.  Transport,37.034192878971,0.0110210475431,0.00180845966771,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
4.  Other sectors,31.76477764108599,0.00041144422129,0.00034507798699,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04648200333,1.498883986e-05,2.22110888e-06,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2001,Subsector,1. Energy,2.33428264566797,0.04614558
A. Fuel combustion     Reference approach(2),98.44344965130662,,,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
                                           Sectoral approach(2),99.33436057839717,0.0116821811928,0.00785287169564,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
1.  Energy industries,24.30308351981212,5.655801197e-05,0.00468460845897,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.69041745973942,0.00016014859033,0.00098965190665,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
3.  Transport,36.85621367618715,0.01102210640177,0.00180796007266,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
4.  Other sectors,34.48464592265848,0.00044336818873,0.00037065125736,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.000524592,0.024849702,,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04727428930447,1.526375531e-05,2.25978924e-06,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2002,Subsector,1. Energy,3.05683796688321,0.0723177
A. Fuel combustion     Reference approach(2),95.84026218101918,,,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
                                           Sectoral approach(2),96.62157624090538,0.01100121748712,0.00738125731752,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
1.  Energy industries,20.09513421821267,6.034932403e-05,0.00420173237603,,Summary1.As1,MONACCO,2003,Subsector,1. Energy,,
