GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1)
1. Energy,64.37905787656078,0.0259552886103,0.00740669432245,,Summary1.As1,MONACCO,2021,Sector,,
2.  Industrial processes and product use,0.03970996985796,7.56349497e-06,0.00084210484024,5.45285191e-06,Summary1.As1,MONACCO,2021,Sector,5.58085290571414,0.000596025
"4.  Land use, land-use change and forestry  (4)",-0.12357484317163,,3.875327179e-05,,Summary1.As2,MONACCO,1990,Sector,,
5.  Waste,,0.00524523333903,0.00194106259992,,Summary1.As2,MONACCO,1990,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12387626761756,,3.923315787e-05,,Summary1.As2,MONACCO,1991,Sector,,
5.  Waste,,0.00524523333903,0.00189504360724,,Summary1.As2,MONACCO,1991,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12611903127934,,3.991541091e-05,,Summary1.As2,MONACCO,1992,Sector,,
5.  Waste,,0.00524542563083,0.00189589017391,,Summary1.As2,MONACCO,1992,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12675279822575,,4.043085064e-05,,Summary1.As2,MONACCO,1993,Sector,,
5.  Waste,,0.00524523333903,0.00188966698387,,Summary1.As2,MONACCO,1993,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12965365584065,,4.118490808e-05,,Summary1.As2,MONACCO,1994,Sector,,
5.  Waste,,0.00524523333903,0.00185725456465,,Summary1.As2,MONACCO,1994,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12972289055436,,4.164467699e-05,,Summary1.As2,MONACCO,1995,Sector,,
5.  Waste,,0.00679573345391,0.00169623230417,,Summary1.As2,MONACCO,1995,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12698951318225,,4.181394174e-05,,Summary1.As2,MONACCO,1996,Sector,,
5.  Waste,,0.00706630787897,0.00186563891539,,Summary1.As2,MONACCO,1996,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12432077477923,,4.199226919e-05,,Summary1.As2,MONACCO,1997,Sector,,
5.  Waste,,0.00253559868408,0.00180934563876,,Summary1.As2,MONACCO,1997,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.12079300272461,,4.208345536e-05,,Summary1.As2,MONACCO,1998,Sector,,
5.  Waste,,0.00502458649894,0.00176114680865,,Summary1.As2,MONACCO,1998,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.1185377204235,,4.230948644e-05,,Summary1.As2,MONACCO,1999,Sector,,
5.  Waste,,0.01505481203931,0.00180001550158,,Summary1.As2,MONACCO,1999,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.11505007155257,,4.240963572e-05,,Summary1.As2,MONACCO,2000,Sector,,
5.  Waste,,0.01997477798334,0.00200486961419,,Summary1.As2,MONACCO,2000,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.11198196446719,,3.96275e-05,,Summary1.As2,MONACCO,2001,Sector,,
5.  Waste,,0.01533046944188,0.00191499357355,,Summary1.As2,MONACCO,2001,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.10926543783698,,7.738468572e-05,,Summary1.As2,MONACCO,2002,Sector,,
5.  Waste,,0.01662094845737,0.0018163950793,,Summary1.As2,MONACCO,2002,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.10513602400983,,7.876235715e-05,,Summary1.As2,MONACCO,2003,Sector,,
5.  Waste,,0.0153823579731,0.00178055229337,,Summary1.As2,MONACCO,2003,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.04571724800797,,8.107172857e-05,,Summary1.As2,MONACCO,2004,Sector,,
5.  Waste,,0.02837580364933,0.00172942468108,,Summary1.As2,MONACCO,2004,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.09773002640991,,4.637757143e-05,,Summary1.As2,MONACCO,2005,Sector,,
5.  Waste,,0.03389510034019,0.00175883043838,,Summary1.As2,MONACCO,2005,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.05836040562895,,2.630453572e-05,,Summary1.As2,MONACCO,2006,Sector,,
5.  Waste,,0.04253681121254,0.00169186695909,,Summary1.As2,MONACCO,2006,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.10166635935511,,3.954971428e-05,,Summary1.As2,MONACCO,2007,Sector,,
5.  Waste,,0.03943712895514,0.00158852346628,,Summary1.As2,MONACCO,2007,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.09528691708254,,3.786435715e-05,,Summary1.As2,MONACCO,2008,Sector,,
5.  Waste,,0.04274190632439,0.00151959629651,,Summary1.As2,MONACCO,2008,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.09351274262583,,2.342905715e-05,,Summary1.As2,MONACCO,2009,Sector,,
5.  Waste,,0.00983715708698,0.00172273589694,,Summary1.As2,MONACCO,2009,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.09186771898135,,3.122491428e-05,,Summary1.As2,MONACCO,2010,Sector,,
5.  Waste,,0.02042151687735,0.00168089454852,,Summary1.As2,MONACCO,2010,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.0940089210313,,3.155593572e-05,,Summary1.As2,MONACCO,2011,Sector,,
5.  Waste,,0.01657379202898,0.0015636768541,,Summary1.As2,MONACCO,2011,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.08822059625144,,3.049977857e-05,,Summary1.As2,MONACCO,2012,Sector,,
5.  Waste,,0.02207581997768,0.00160290587597,,Summary1.As2,MONACCO,2012,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.08485490065547,,3.919449285e-05,,Summary1.As2,MONACCO,2013,Sector,,
5.  Waste,,0.02109402342,0.00178464281934,,Summary1.As2,MONACCO,2013,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.08028133052232,,4.484510643e-05,,Summary1.As2,MONACCO,2014,Sector,,
5.  Waste,,0.02363538119736,0.00185691657901,,Summary1.As2,MONACCO,2014,Sector,,
"4.  Land use, land-use change and forestry  (4)",0.03067682893169,,4.5513545e-05,,Summary1.As2,MONACCO,2015,Sector,,
