GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,Unspecified mix of HFCs and PFCs(1)
                                           Sectoral approach(2),417142.28447659273,108.00822233658886,17.92694521192163,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
1.  Energy industries,139940.5230010042,8.42151501100639,1.61096075435403,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,88969.44935458494,6.92374134482841,3.92297036952288,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
3.  Transport,111531.08299836716,40.62022855770256,5.84609964767194,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
4.  Other sectors,75205.2726092617,51.82017485187503,6.3320475656669,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
5.  Other,1495.9565133747265,0.22256257117647,0.21486687470588,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
B. Fugitive emissions from fuels,4002.39771401976,334.3923348260239,0.03933054507819,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
1.  Solid fuels,0.06436963993672,2.96820392810229,,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,4002.333344379823,331.4241308979216,0.03933054507819,,,,Summary1.As1,ITALY,1995,Subsector,1. Energy,
B.  Chemical industry,1584.033253,2.6545149,23.35249471488462,471.5,934.9366159474716,0.005,Summary1.As1,ITALY,1995,Subsector,2.  Industrial processes and product use,
C.  Metal industry,3902.651878516561,2.70515176509311,,,314.9633829285011,,Summary1.As1,ITALY,1995,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1533.45337413597,,,,,,Summary1.As1,ITALY,1995,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,6.06833333333336,100.97999999999998,0.00063394326241,Summary1.As1,ITALY,1995,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,383.25316429146005,,,Summary1.As1,ITALY,1995,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.489,,,0.02415888113541,Summary1.As1,ITALY,1995,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1995,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),404815.58639183256,,,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
                                           Sectoral approach(2),414036.3564232352,105.849527191438,19.17502229096314,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
1.  Energy industries,134615.5714121056,8.16958508089899,1.56105335938687,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,88115.03855910835,6.42790177958099,3.91103389503375,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
3.  Transport,112948.00630397024,39.69527071557474,7.14621109341416,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
4.  Other sectors,77132.19738778115,51.36491671126565,6.37508989665777,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
5.  Other,1225.542760269804,0.19185290411765,0.18163404647059,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
B. Fugitive emissions from fuels,3850.3619896367904,328.700756726218,0.03957477617777,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
1.  Solid fuels,0.0530452620047,2.78805208130986,,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3850.308944374786,325.91270464490816,0.03957477617777,,,,Summary1.As1,ITALY,1996,Subsector,1. Energy,
B.  Chemical industry,1308.512699,0.5219162,22.66105637756141,96.7179372,855.0199823128919,0.002,Summary1.As1,ITALY,1996,Subsector,2.  Industrial processes and product use,
C.  Metal industry,3457.639221081217,2.39050633241061,,,157.0417503876,0.0005,Summary1.As1,ITALY,1996,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1481.8824876515105,,,,,,Summary1.As1,ITALY,1996,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,5.86002897862627,107.21341675804736,0.00082913579032,Summary1.As1,ITALY,1996,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,641.3107068564074,,,Summary1.As1,ITALY,1996,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.956475,,,0.03005425384746,Summary1.As1,ITALY,1996,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1996,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),409049.6699068311,,,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
                                           Sectoral approach(2),419445.2895864164,109.0011822629066,20.19015050930067,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
1.  Energy industries,136979.33661128255,8.374430733116,1.572778544044,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,92174.80621830132,6.67512518799888,3.96838762544658,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
3.  Transport,114682.63623858882,38.66616851123082,8.02198064960202,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
4.  Other sectors,74339.78564788908,55.1139765740903,6.41286682432572,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
5.  Other,1268.7248703546006,0.17148125647059,0.21413686588235,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
B. Fugitive emissions from fuels,4012.5766191165153,327.72038128482245,0.04174939210866,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
1.  Solid fuels,0.03207804695554,2.80764426333468,,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,4012.54454106956,324.91273702148777,0.04174939210866,,,,Summary1.As1,ITALY,1997,Subsector,1. Energy,
B.  Chemical industry,1349.662999,0.53320888,22.78303572875814,202.3311934,874.7033486783124,0.002,Summary1.As1,ITALY,1997,Subsector,2.  Industrial processes and product use,
C.  Metal industry,3229.03954302866,2.61203437252866,,,159.8799094758,0.00065,Summary1.As1,ITALY,1997,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1483.7934769843018,,,,,,Summary1.As1,ITALY,1997,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,6.43403020709322,128.66093549717803,0.00115517534034,Summary1.As1,ITALY,1997,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,985.1006271290682,,,Summary1.As1,ITALY,1997,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,2.9571,,,0.03183430015951,Summary1.As1,ITALY,1997,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1997,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),418520.6627128499,,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
                                           Sectoral approach(2),431818.61265770544,108.16406838504894,21.66745610610833,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
1.  Energy industries,138233.57753126096,8.13429847446104,1.58820133136791,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,95514.26911577284,6.67670962116626,4.34303228003761,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
3.  Transport,118881.46965021791,37.17033196293445,9.00992617123752,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
4.  Other sectors,78112.1649530541,56.02458666060484,6.55690597993588,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
5.  Other,1077.1314073996102,0.15814166588235,0.16939034352941,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
B. Fugitive emissions from fuels,3886.826803254708,330.98117773310656,0.04330310511065,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
1.  Solid fuels,0.00430096718957,2.65466035828297,,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3886.822502287518,328.3265173748236,0.04330310511065,,,,Summary1.As1,ITALY,1998,Subsector,1. Energy,
B.  Chemical industry,1348.6619,0.50072776,23.05952638423689,177.4044496,894.3867150437328,0.002,Summary1.As1,ITALY,1998,Subsector,2.  Industrial processes and product use,
C.  Metal industry,3017.277789815488,2.5122336552186,,,160.86841464,0.001,Summary1.As1,ITALY,1998,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1423.6086231162235,,,,,,Summary1.As1,ITALY,1998,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,14.91536227466211,153.8738538578674,0.00311239189954,Summary1.As1,ITALY,1998,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,1586.9541989001116,,,Summary1.As1,ITALY,1998,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,3.402125,,,0.02399192871156,Summary1.As1,ITALY,1998,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1998,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),419796.9583108398,,,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
                                           Sectoral approach(2),437235.3269823982,108.88356084547836,22.42176256005371,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
1.  Energy industries,132848.164009849,7.77774521108149,1.49053016124881,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,100495.03756729036,6.48688801711391,4.35386091370059,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
3.  Transport,120324.35804372455,35.08199420023006,9.69206539972714,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
4.  Other sectors,82410.24564750284,59.35842279881762,6.74421932243599,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
5.  Other,1157.5217140314628,0.17851061823529,0.14108676294118,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
B. Fugitive emissions from fuels,3108.67919150174,321.2451427749324,0.04144500873999,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
1.  Solid fuels,0.00340493235841,2.54611107098496,,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3108.6757865693817,318.6990317039474,0.04144500873999,,,,Summary1.As1,ITALY,1999,Subsector,1. Energy,
B.  Chemical industry,1276.1305,0.50466806,23.55723783892401,27.7677058,869.8200814091532,,Summary1.As1,ITALY,1999,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2453.883616312014,2.4593496703915,,,159.8177498547,0.0015,Summary1.As1,ITALY,1999,Subsector,2.  Industrial processes and product use,
D.  Non-energy products from fuels and solvent use ,1423.4754290290175,,,,,,Summary1.As1,ITALY,1999,Subsector,2.  Industrial processes and product use,
E.  Electronic industry ,,,,7.84201860018658,180.48148984057065,0.00193094297359,Summary1.As1,ITALY,1999,Subsector,2.  Industrial processes and product use,24.428296784
F.  Product uses as substitutes for ODS,,,,2236.5924175589284,,,Summary1.As1,ITALY,1999,Subsector,2.  Industrial processes and product use,
G.  Other product manufacture and use ,,,3.33325,,,0.0168408609436,Summary1.As1,ITALY,1999,Subsector,2.  Industrial processes and product use,
H.  Other(3),,,,,,,Summary1.As1,ITALY,1999,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),423624.20606171846,,,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
                                           Sectoral approach(2),440667.7844256641,98.72605240896624,18.12590796267832,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
1.  Energy industries,144272.83822699537,6.54655205046074,1.575181249743,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,94892.6129274118,6.00726917487114,4.46396847354824,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
3.  Transport,121642.09535761624,30.84449496918307,5.42835135593244,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
4.  Other sectors,79022.77851221686,55.20146312033366,6.52308340698405,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
5.  Other,837.4594014238269,0.12627309411765,0.13532347647059,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
B. Fugitive emissions from fuels,3261.9181090931343,314.9132674461354,0.0414136179828,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
1.  Solid fuels,0.3331457502255,3.871189,,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,3261.584963342909,311.04207844613546,0.0414136179828,,,,Summary1.As1,ITALY,2000,Subsector,1. Energy,
B.  Chemical industry,1356.3698091984231,0.31001172,25.54278978632466,24.620962,889.5034477745738,,Summary1.As1,ITALY,2000,Subsector,2.  Industrial processes and product use,
C.  Metal industry,2305.344649001788,2.6128900638021,,,207.57580910792265,0.0072,Summary1.As1,ITALY,2000,Subsector,2.  Industrial processes and product use,
