GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
3.  Agriculture,1.6023,13.70250125501873,0.50534769610645,,Summary1.As2,CYPRUS,1993,Sector,
"4.  Land use, land-use change and forestry  (4)",-175.23933456721676,0.00908959769873,0.00067913318327,,Summary1.As2,CYPRUS,1993,Sector,
5.  Waste,,16.03662147184537,0.04064402819286,,Summary1.As2,CYPRUS,1993,Sector,
3.  Agriculture,1.7035,13.73726990010909,0.48068302920703,,Summary1.As2,CYPRUS,1994,Sector,
"4.  Land use, land-use change and forestry  (4)",-184.40651581421187,0.02339389234313,0.00151451068273,,Summary1.As2,CYPRUS,1994,Sector,
5.  Waste,,16.49041483135221,0.0415306023,,Summary1.As2,CYPRUS,1994,Sector,
3.  Agriculture,1.5407,14.3564297415148,0.52938185742115,,Summary1.As2,CYPRUS,1995,Sector,
"4.  Land use, land-use change and forestry  (4)",-180.49436449228764,0.00914014870876,0.00077008180932,,Summary1.As2,CYPRUS,1995,Sector,
5.  Waste,,16.78515987149902,0.04305241976429,,Summary1.As2,CYPRUS,1995,Sector,
3.  Agriculture,1.3779,14.90116113754428,0.50003994683347,,Summary1.As2,CYPRUS,1996,Sector,
"4.  Land use, land-use change and forestry  (4)",-186.0897263811396,0.01524339402439,0.00115178423953,,Summary1.As2,CYPRUS,1996,Sector,
5.  Waste,,17.00229088565782,0.04368349762143,,Summary1.As2,CYPRUS,1996,Sector,
3.  Agriculture,1.1015,14.7738212426054,0.47584173912336,,Summary1.As2,CYPRUS,1997,Sector,
"4.  Land use, land-use change and forestry  (4)",-185.24264108076488,0.0218869404295,0.00156337566618,,Summary1.As2,CYPRUS,1997,Sector,
5.  Waste,,17.33403593950492,0.04424649691429,,Summary1.As2,CYPRUS,1997,Sector,
3.  Agriculture,0.836,14.59785187550368,0.50391320765199,,Summary1.As2,CYPRUS,1998,Sector,
"4.  Land use, land-use change and forestry  (4)",-193.76788150965345,0.07434951059236,0.00450963649219,,Summary1.As2,CYPRUS,1998,Sector,
5.  Waste,,17.59136625278672,0.04508890798571,,Summary1.As2,CYPRUS,1998,Sector,
3.  Agriculture,0.9167,14.36799353611058,0.49549314590325,,Summary1.As2,CYPRUS,1999,Sector,
"4.  Land use, land-use change and forestry  (4)",-198.5126440108439,0.00044620987694,0.00046544488664,,Summary1.As2,CYPRUS,1999,Sector,
5.  Waste,,17.89228148359562,0.04559288221429,,Summary1.As2,CYPRUS,1999,Sector,
3.  Agriculture,1.672,14.69548068098568,0.48810061387879,,Summary1.As2,CYPRUS,2000,Sector,
"4.  Land use, land-use change and forestry  (4)",-149.44315854458395,0.159625012608,0.009315156876,,Summary1.As2,CYPRUS,2000,Sector,
5.  Waste,,18.24719884414542,0.04649132589286,,Summary1.As2,CYPRUS,2000,Sector,
3.  Agriculture,0.1665,15.6781257404382,0.55339801686768,,Summary1.As2,CYPRUS,2001,Sector,
"4.  Land use, land-use change and forestry  (4)",-171.16136941911418,0.05380610678784,0.00399829226893,,Summary1.As2,CYPRUS,2001,Sector,
5.  Waste,,18.61181865990842,0.04704108303571,,Summary1.As2,CYPRUS,2001,Sector,
3.  Agriculture,0.4195,16.38606435173638,0.5671585920657,,Summary1.As2,CYPRUS,2002,Sector,
"4.  Land use, land-use change and forestry  (4)",-202.41545326427968,0.00157065896448,0.00164561895529,,Summary1.As2,CYPRUS,2002,Sector,
5.  Waste,,18.89030391342997,0.04757583410714,,Summary1.As2,CYPRUS,2002,Sector,
3.  Agriculture,0.7311,15.92346110060964,0.54960539722045,,Summary1.As2,CYPRUS,2003,Sector,
"4.  Land use, land-use change and forestry  (4)",-214.8664968139393,0.00686873924352,0.00247565145159,,Summary1.As2,CYPRUS,2003,Sector,
5.  Waste,,19.01249996276599,0.04652221089643,,Summary1.As2,CYPRUS,2003,Sector,
3.  Agriculture,0.9467,15.46015138675105,0.52225949539004,,Summary1.As2,CYPRUS,2004,Sector,
"4.  Land use, land-use change and forestry  (4)",-215.8175088375625,0.01337362430976,0.00337244336165,,Summary1.As2,CYPRUS,2004,Sector,
5.  Waste,,19.14514777515932,0.04702610096429,,Summary1.As2,CYPRUS,2004,Sector,
3.  Agriculture,0.9665,14.24035092827172,0.47316441842921,,Summary1.As2,CYPRUS,2005,Sector,
"4.  Land use, land-use change and forestry  (4)",-221.86102869800092,0.004537700352,0.00342059477249,,Summary1.As2,CYPRUS,2005,Sector,
5.  Waste,,19.47771410160082,0.04600953828571,,Summary1.As2,CYPRUS,2005,Sector,
3.  Agriculture,1.166,14.32752513888462,0.48440171512828,,Summary1.As2,CYPRUS,2006,Sector,
"4.  Land use, land-use change and forestry  (4)",-223.95880125208728,0.01145841458688,0.00434038999825,,Summary1.As2,CYPRUS,2006,Sector,
5.  Waste,,19.48044540668314,0.04681122697143,,Summary1.As2,CYPRUS,2006,Sector,
3.  Agriculture,1.1059,14.30641803003976,0.4806889976068,,Summary1.As2,CYPRUS,2007,Sector,
"4.  Land use, land-use change and forestry  (4)",-188.60849729406075,0.1101463411968,0.00994718653702,,Summary1.As2,CYPRUS,2007,Sector,
5.  Waste,,19.54379151270911,0.04790346011429,,Summary1.As2,CYPRUS,2007,Sector,
