GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
1.  Energy industries,2281.1158,0.09837,0.018762,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,856.061290660605,0.03462643109256,0.00666721732962,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
3.  Transport,1567.4130638914044,0.26038092223419,0.10171854185338,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
4.  Other sectors,628.335960086072,0.15935127895149,0.00494778895932,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
5.  Other,18.06317957746479,0.00243767605634,0.00014626056338,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.01935514018692,,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.01935514018692,,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
A.  Mineral industry,852.4666,,,,Summary1.As1,CYPRUS,1996,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,7.054037073,,,,Summary1.As1,CYPRUS,1996,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,1996,Subsector,2.  Industrial processes and product use,33.59581495098234
G.  Other product manufacture and use ,,,0.016837401,0.00027951045455,Summary1.As1,CYPRUS,1996,Subsector,2.  Industrial processes and product use,
A. Fuel combustion     Reference approach(2),5559.661722633338,,,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
                                           Sectoral approach(2),5471.478632640385,0.53626163570274,0.14249812597677,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
1.  Energy industries,2410.9466,0.10213,0.019572,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
2.  Manufacturing industries and construction                          ,755.511871865976,0.03086030676912,0.00590874209456,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
3.  Transport,1633.2355027827543,0.25795067113497,0.11199601626615,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
4.  Other sectors,652.8239291184142,0.14276185498175,0.00486783944705,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
5.  Other,18.96072887323943,0.0025588028169,0.00015352816901,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
B. Fugitive emissions from fuels,,0.02656238317757,,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
2.  Oil and natural gas and other emissions from energy production,,0.02656238317757,,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
A.  Mineral industry,819.2615000000001,,,,Summary1.As1,CYPRUS,1997,Subsector,1. Energy,
D.  Non-energy products from fuels and solvent use ,6.449011501,,,,Summary1.As1,CYPRUS,1997,Subsector,2.  Industrial processes and product use,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,CYPRUS,1997,Subsector,2.  Industrial processes and product use,38.64811744211334
