GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent)
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.11523,0.04305241976429,,Summary1.As2,CYPRUS,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.1376,,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
B.  Manure management,,5.68055640045568,0.25547499995322,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.24241297221499,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0830047370886,0.00215197466526,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
H. Urea application,1.3779,,,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
A. Forest land (4),-22.90944049329762,0.01524339402439,0.00084325158433,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
B. Cropland (4),-137.5052475890221,,0.000145047672,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
C. Grassland (4),-25.9188558800103,,,,Summary1.As2,CYPRUS,1996,Subsector,3.  Agriculture,
F. Other land (4),0.282279888,,7.28574e-05,,Summary1.As2,CYPRUS,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,-0.38465930123617,,,,Summary1.As2,CYPRUS,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,11.96509088565782,,,Summary1.As2,CYPRUS,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.0372,0.04368349762143,,Summary1.As2,CYPRUS,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.93222,,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
B.  Manure management,,5.8054435829967,0.2620423534128,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.21286196490589,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0361576596087,0.00093742080467,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
H. Urea application,1.1015,,,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
A. Forest land (4),-30.81683482375178,0.0218869404295,0.00121076691738,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
B. Cropland (4),-138.0501087410221,,0.000165768768,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
C. Grassland (4),-26.3962218125703,,,,Summary1.As2,CYPRUS,1997,Subsector,3.  Agriculture,
F. Other land (4),0.311372688,,8.32656e-05,,Summary1.As2,CYPRUS,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,9.38222130957743,,,,Summary1.As2,CYPRUS,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,12.26659593950492,,,Summary1.As2,CYPRUS,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.06744,0.04424649691429,,Summary1.As2,CYPRUS,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.64995,,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
B.  Manure management,,5.90184385899368,0.26162061415385,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.2410984967738,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.04605801651,0.00119409672434,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
H. Urea application,0.836,,,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
A. Forest land (4),-31.10101738145522,0.07434951059236,0.00411295164979,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
B. Cropland (4),-138.5949698930221,,0.000186489864,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
C. Grassland (4),-26.8735916759847,,,,Summary1.As2,CYPRUS,1998,Subsector,3.  Agriculture,
F. Other land (4),0.340465488,,9.36738e-05,,Summary1.As2,CYPRUS,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,2.15355933864116,,,,Summary1.As2,CYPRUS,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,12.57710625278672,,,Summary1.As2,CYPRUS,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.01426,0.04508890798571,,Summary1.As2,CYPRUS,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.58938,,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
B.  Manure management,,5.71173962666628,0.26074898087328,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.23301039700734,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0668739094443,0.00173376802263,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
H. Urea application,0.9167,,,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
A. Forest land (4),-33.18785273074707,0.00044620987694,2.468395064e-05,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
B. Cropland (4),-139.13983104502208,,0.00020721096,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
C. Grassland (4),-27.3509615393991,,,,Summary1.As2,CYPRUS,1999,Subsector,3.  Agriculture,
F. Other land (4),0.369558288,,0.000104082,,Summary1.As2,CYPRUS,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,0.50802608463794,,,,Summary1.As2,CYPRUS,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,12.88886148359562,,,Summary1.As2,CYPRUS,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.00342,0.04559288221429,,Summary1.As2,CYPRUS,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,8.9683,,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
B.  Manure management,,5.69400087409118,0.26941612227578,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.21782427438724,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0331798068945,0.00086021721577,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
H. Urea application,1.672,,,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
A. Forest land (4),3.10621031698069,0.159625012608,0.0088303198464,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
B. Cropland (4),-139.68469219702214,,0.000227932056,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
C. Grassland (4),-27.8283274719591,,,,Summary1.As2,CYPRUS,2000,Subsector,3.  Agriculture,
F. Other land (4),0.398651088,,0.0001144902,,Summary1.As2,CYPRUS,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,14.29584748080158,,,,Summary1.As2,CYPRUS,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,13.20472884414542,,,Summary1.As2,CYPRUS,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.04247,0.04649132589286,,Summary1.As2,CYPRUS,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.59653,,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
B.  Manure management,,6.02270742189185,0.29368086415806,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.25819041852508,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.05888831854635,0.00152673418454,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
H. Urea application,0.1665,,,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
A. Forest land (4),-48.50707400391377,0.05380610678784,0.00297650803507,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
B. Cropland (4),-139.68778810903476,,0.00030114614027,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
C. Grassland (4),-28.80573378546221,,,,Summary1.As2,CYPRUS,2001,Subsector,3.  Agriculture,
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,22.5409372238931,,,,Summary1.As2,CYPRUS,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,13.52986865990842,,,Summary1.As2,CYPRUS,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.08195,0.04704108303571,,Summary1.As2,CYPRUS,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,10.06566,,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
B.  Manure management,,6.25923190666108,0.30820375391692,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.25736888586905,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0611724450753,0.00158595227973,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
H. Urea application,0.4195,,,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
A. Forest land (4),-81.54046497028227,0.00157065896448,8.688751718e-05,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
B. Cropland (4),-139.6392884667258,,0.00037436022454,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
C. Grassland (4),-28.74784488926928,,,,Summary1.As2,CYPRUS,2002,Subsector,3.  Agriculture,
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,23.85597524734103,,,,Summary1.As2,CYPRUS,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,13.88388391342997,,,Summary1.As2,CYPRUS,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,5.00642,0.04757583410714,,Summary1.As2,CYPRUS,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.78369,,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
B.  Manure management,,6.07219774654173,0.29233418305967,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.25551931238864,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.06757335406791,0.00175190177214,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
H. Urea application,0.7311,,,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
A. Forest land (4),-94.62015169054123,0.00686873924352,0.00037997280922,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
B. Cropland (4),-139.59078882441642,,0.00044757430881,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
C. Grassland (4),-28.68995599307638,,,,Summary1.As2,CYPRUS,2003,Subsector,3.  Agriculture,
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,24.02392637800692,,,,Summary1.As2,CYPRUS,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,14.24361996276599,,,Summary1.As2,CYPRUS,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.76888,0.04652221089643,,Summary1.As2,CYPRUS,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.71285,,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
B.  Manure management,,5.70027131855945,0.28198714957881,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.239053047747,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0470300681916,0.00121929806423,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
H. Urea application,0.9467,,,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
A. Forest land (4),-96.29151931692743,0.01337362430976,0.00073981751501,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
B. Cropland (4),-139.5422891821074,,0.00052078839308,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
C. Grassland (4),-28.63206709688349,,,,Summary1.As2,CYPRUS,2004,Subsector,3.  Agriculture,
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,24.2871669986591,,,,Summary1.As2,CYPRUS,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,14.61994777515932,,,Summary1.As2,CYPRUS,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.5252,0.04702610096429,,Summary1.As2,CYPRUS,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.13872,,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
B.  Manure management,,5.06870991246176,0.26359715259031,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.20871375802161,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.03292101580996,0.00085350781729,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
H. Urea application,0.9665,,,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
A. Forest land (4),-102.77564463140972,0.004537700352,0.0002510217216,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
B. Cropland (4),-139.4937895397984,,0.00059400247735,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
C. Grassland (4),-28.5741782006906,,,,Summary1.As2,CYPRUS,2005,Subsector,3.  Agriculture,
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2005,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,24.2742345284141,,,,Summary1.As2,CYPRUS,2005,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,15.01248410160082,,,Summary1.As2,CYPRUS,2005,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2005,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.46523,0.04600953828571,,Summary1.As2,CYPRUS,2005,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.19718,,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
B.  Manure management,,5.10142849653278,0.25916318300059,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.22448884140005,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.02891664235184,0.00074969072764,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
H. Urea application,1.166,,,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
A. Forest land (4),-104.46299289179083,0.01145841458688,0.0006338697431,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
B. Cropland (4),-139.44205694113904,,0.00066721656162,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
C. Grassland (4),-28.5162893044977,,,,Summary1.As2,CYPRUS,2006,Subsector,3.  Agriculture,
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2006,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,23.42100115483118,,,,Summary1.As2,CYPRUS,2006,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,15.40478540668314,,,Summary1.As2,CYPRUS,2006,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2006,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,4.07566,0.04681122697143,,Summary1.As2,CYPRUS,2006,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.36004,,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
B.  Manure management,,4.9220219415083,0.26897361035851,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.21108393310118,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.02435608853146,0.00063145414711,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
H. Urea application,1.1059,,,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
A. Forest land (4),-46.8327113677074,0.1101463411968,0.00609320185344,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
B. Cropland (4),-141.1650864945429,,0.0006676981053,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
C. Grassland (4),-28.4980699183618,,,,Summary1.As2,CYPRUS,2007,Subsector,3.  Agriculture,
E. Settlements (4),8.31477976124441,,0.00236392164048,,Summary1.As2,CYPRUS,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,18.81355183136269,,,,Summary1.As2,CYPRUS,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,15.83632151270911,,,Summary1.As2,CYPRUS,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,3.70747,0.04790346011429,,Summary1.As2,CYPRUS,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.0475,,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
B.  Manure management,,4.79406876579299,0.2531478598879,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.19518173847547,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.02237863696821,0.00058018688436,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
H. Urea application,0.5368,,,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
A. Forest land (4),-108.42981374296458,0.0039783901248,0.00022008115584,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
B. Cropland (4),-140.98259623401805,,0.00066817964897,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
C. Grassland (4),-28.50090027212573,,,,Summary1.As2,CYPRUS,2008,Subsector,3.  Agriculture,
E. Settlements (4),8.42654075673128,,0.00248381922204,,Summary1.As2,CYPRUS,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,17.64357641471024,,,,Summary1.As2,CYPRUS,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,16.28387980153003,,,Summary1.As2,CYPRUS,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,3.61671,0.04920079954286,,Summary1.As2,CYPRUS,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.02237,,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
B.  Manure management,,4.57651487243145,0.24955552398747,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.1938649573724,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.01939687865532,0.00050288203921,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
H. Urea application,1.1389,,,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
A. Forest land (4),-141.56615821965607,0.00663010714368,0.00036677188454,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
B. Cropland (4),-140.80010597349306,,0.00066866119265,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
C. Grassland (4),-28.50373062588963,,,,Summary1.As2,CYPRUS,2009,Subsector,3.  Agriculture,
E. Settlements (4),8.53465515192188,,0.00260371680362,,Summary1.As2,CYPRUS,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",
F. Other land (4),0.3200208,,0.0001144902,,Summary1.As2,CYPRUS,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,22.51035468607348,,,,Summary1.As2,CYPRUS,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,16.7529484688364,,,Summary1.As2,CYPRUS,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",
B.  Biological treatment of solid waste (5),,0.00124,,,Summary1.As2,CYPRUS,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,3.38861,0.05048507931429,,Summary1.As2,CYPRUS,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.41534,,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
B.  Manure management,,4.43106180602136,0.2599194240823,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.21264622962878,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.0219293808408,0.00056853950328,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
H. Urea application,0.7377,,,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
A. Forest land (4),-131.2979888191197,0.02598965927424,0.00143772583219,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
B. Cropland (4),-140.2152749609679,,0.00064842164033,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
C. Grassland (4),-28.01877629765352,,,,Summary1.As2,CYPRUS,2010,Subsector,3.  Agriculture,
E. Settlements (4),8.65953799192057,,0.00271876319662,,Summary1.As2,CYPRUS,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",
F. Other land (4),0.290928,,0.000104082,,Summary1.As2,CYPRUS,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",
G. Harvested wood products ,22.82390864585165,,,,Summary1.As2,CYPRUS,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Solid waste disposal (5),,17.22053465227779,,,Summary1.As2,CYPRUS,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",
B.  Biological treatment of solid waste (5),,0.108338,0.0063144,,Summary1.As2,CYPRUS,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",
C.  Incineration and open burning of waste (5),,,,,Summary1.As2,CYPRUS,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",
D.  Wastewater treatment and discharge,,2.97565,0.05177852937143,,Summary1.As2,CYPRUS,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",
A.  Enteric fermentation,,9.64575,,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
B.  Manure management,,4.03438070728396,0.25869041522405,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
D.  Agricultural soils,,,0.20053907305155,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
F.  Field burning of agricultural residues,,0.023774231268,0.0006163689588,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
H. Urea application,0.9086,,,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
J.  Other ,,,,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
A. Forest land (4),-169.0299922462528,0.02181639785472,0.00120686456218,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
B. Cropland (4),-139.63044030990824,,0.000628182088,,Summary1.As2,CYPRUS,2011,Subsector,3.  Agriculture,
