GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
2.  Oil and natural gas and other emissions from energy production,70.1208922793,0.026695422571,,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
A.  Mineral industry,37.3530683415,,,,,,Summary1.As1,ICELAND,1994,Subsector,1. Energy
C.  Metal industry,381.6389353773,0.066003,,,47.241737491419,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.38828904119993,,,,,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,1.84891720435,,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00578166,0.001855907884,0.015018436848,,,5.455e-05,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1756.75176217686,,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
                                           Sectoral approach(2),1935.64680036606,0.31503834666011,0.11212098162644,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
1.  Energy industries,15.096794278,0.0016159638,0.0003817828,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,286.6593231969,0.0137938401,0.0293687703,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
3.  Transport,639.4545897687125,0.20680732489011,0.03794179030644,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
4.  Other sectors,992.823253275747,0.09275583347,0.04441556132,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
5.  Other,1.6128398467,6.53844e-05,1.30769e-05,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,82.236292009956,0.027854626611,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,82.236292009956,0.027854626611,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
A.  Mineral industry,37.8420611646,,,,,,Summary1.As1,ICELAND,1995,Subsector,1. Energy
C.  Metal industry,397.9327486291,0.07141,,,62.37562987269,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.90661340568273,,,,,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,3.148353757446,,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00610633775,0.001830521176,0.015038644917,,,5.455e-05,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1995,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1987.69506453916,,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
                                           Sectoral approach(2),1991.604864902939,0.3080937933101,0.11422313055113,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
1.  Energy industries,12.1134615508,0.0018096588,0.0004381618,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,331.4892831167,0.015145436,0.0288587052,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
3.  Transport,629.6179234195919,0.1954848871301,0.04045241391113,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
4.  Other sectors,1018.000043132847,0.09563848678,0.04447078474,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
5.  Other,0.384153683,1.53246e-05,3.0649e-06,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,81.267702766967,0.031121111944,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,81.267702766967,0.031121111944,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
A.  Mineral industry,41.7556405603,,,,,,Summary1.As1,ICELAND,1996,Subsector,1. Energy
C.  Metal industry,393.4741996645,0.072478,,,26.658043535334,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.86441837247873,,,,,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,10.087963492376,,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.007695732,0.001895456295,0.0164636834,,,5.455e-05,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1996,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1916.0230612058267,,,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
                                           Sectoral approach(2),2042.440783455802,0.29816550391685,0.12835831794498,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
1.  Energy industries,6.9963777234,0.0016076922,0.0003977684,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,383.6845921759,0.018078319,0.0347012024,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
3.  Transport,646.2570199174891,0.18472803119685,0.04530689471498,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
4.  Other sectors,1005.464794304013,0.09374991352,0.04795214283,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
5.  Other,0.037999335,1.548e-06,3.096e-07,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,66.851918924764,0.031962849291,,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,66.851918924764,0.031962849291,,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
A.  Mineral industry,46.5190685041,,,,,,Summary1.As1,ICELAND,1997,Subsector,1. Energy
C.  Metal industry,448.0007719141,0.0714,,,87.301129472373,,Summary1.As1,ICELAND,1997,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.75010270502862,,,,,,Summary1.As1,ICELAND,1997,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,16.137108341974,,,Summary1.As1,ICELAND,1997,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.00912622575,0.00195292406,0.016534612405,,,5.455e-05,Summary1.As1,ICELAND,1997,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1997,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1868.0089412058269,,,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
                                           Sectoral approach(2),2018.2860383391155,0.28609104795027,0.1320825447585,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
1.  Energy industries,9.0284051428,0.0016919832,0.0004146266,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,355.4033719399,0.0175107556,0.0349024678,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
3.  Transport,649.9834214785682,0.17328074996027,0.0488452409785,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
4.  Other sectors,998.901354829947,0.09340921539,0.04788054058,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
5.  Other,4.9694849479,0.0001983438,3.96688e-05,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,83.718870087948,0.040558196873,,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,83.718870087948,0.040558196873,,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
A.  Mineral industry,54.3587459673,,,,,,Summary1.As1,ICELAND,1998,Subsector,1. Energy
C.  Metal industry,467.8999251976,0.062465,,,190.943906648385,,Summary1.As1,ICELAND,1998,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.89343301971353,,,,,,Summary1.As1,ICELAND,1998,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,25.465406809238,,,Summary1.As1,ICELAND,1998,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.01176585975,0.001692131837,0.017054734169,,,5.455e-05,Summary1.As1,ICELAND,1998,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1998,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1876.7104804965932,,,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
                                           Sectoral approach(2),2044.9552020616293,0.27836875596401,0.13962236621515,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
1.  Energy industries,6.6790625434,0.0015979032,0.0003958106,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,370.5830211965,0.0181085254,0.0380661568,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
3.  Transport,674.5304244950495,0.16586525716401,0.05136402380515,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
4.  Other sectors,988.79951541268,0.0926212804,0.04976121701,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
5.  Other,4.363178414,0.0001757898,3.5158e-05,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,111.274775877178,0.054854724132,,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,111.274775877178,0.054854724132,,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
A.  Mineral industry,61.4052469059,,,,,,Summary1.As1,ICELAND,1999,Subsector,1. Energy
C.  Metal industry,610.1300207808,0.072327,,,183.606241689087,,Summary1.As1,ICELAND,1999,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.44795040126309,,,,,,Summary1.As1,ICELAND,1999,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,36.9988970870346,,,Summary1.As1,ICELAND,1999,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.02364213675,0.002116777457,0.017549547969,,,5.455e-05,Summary1.As1,ICELAND,1999,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,1999,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1798.71589716326,,,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
                                           Sectoral approach(2),1985.2437984324208,0.26337461204472,0.14080482799584,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
1.  Energy industries,6.3796713134,0.0015860214,0.0003934343,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,318.91681636,0.0162207546,0.0384540605,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
3.  Transport,677.6983906121405,0.15430810772472,0.05182625490584,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
4.  Other sectors,977.65058085848,0.09107281392,0.05009369539,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
5.  Other,4.5983392884,0.0001869144,3.73829e-05,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
B. Fugitive emissions from fuels,153.146030356331,0.060509498791,,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,153.146030356331,0.060509498791,,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
A.  Mineral industry,65.449830022,,,,,,Summary1.As1,ICELAND,2000,Subsector,1. Energy
C.  Metal industry,715.5572052496,0.1087,,,134.794913997225,,Summary1.As1,ICELAND,2000,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.824134497114,,,,,,Summary1.As1,ICELAND,2000,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,42.9882725468099,,,Summary1.As1,ICELAND,2000,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.01633850925,0.001812621693,0.016530486411,,,5.7525e-05,Summary1.As1,ICELAND,2000,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,2000,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1765.48049716326,,,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
                                           Sectoral approach(2),1884.8766632683223,0.24278384504329,0.13735316180451,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
1.  Energy industries,5.9727051564,0.0015691974,0.0003900695,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,353.7608602447,0.0181990036,0.0380252377,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
3.  Transport,687.7252593876732,0.14649010746329,0.05348858313451,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
4.  Other sectors,817.669108620049,0.07575153598,0.04529447137,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
5.  Other,19.7487298595,0.0007740006,0.0001548001,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,143.76975028821,0.061281205504,,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,143.76975028821,0.061281205504,,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
A.  Mineral industry,58.6594453628,,,,,,Summary1.As1,ICELAND,2001,Subsector,1. Energy
C.  Metal industry,765.373868879,0.112935,,,97.156085598423,,Summary1.As1,ICELAND,2001,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,6.93445317357623,,,,,,Summary1.As1,ICELAND,2001,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,39.8262150475428,0.00071928,,Summary1.As1,ICELAND,2001,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.02082258275,0.001820262576,0.015695268717,,,5.7525e-05,Summary1.As1,ICELAND,2001,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,2001,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1842.7524538299267,,,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
                                           Sectoral approach(2),1991.3932560922408,0.24164966575062,0.13659557269548,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
1.  Energy industries,6.8535658289,0.0016048686,0.0003972037,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,364.0333557433,0.0177961512,0.0358032079,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
3.  Transport,689.2184804963575,0.13675091377062,0.05388062779548,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
4.  Other sectors,908.686805717283,0.08461665018,0.0463383169,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
5.  Other,22.6010483064,0.000881082,0.0001762164,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
B. Fugitive emissions from fuels,147.41237227298,0.061617408983,,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,147.41237227298,0.061617408983,,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
A.  Mineral industry,39.3136779568,,,,,,Summary1.As1,ICELAND,2002,Subsector,1. Energy
C.  Metal industry,801.8305796693,0.11881,,,76.890799639008,,Summary1.As1,ICELAND,2002,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,7.17619089721892,,,,,,Summary1.As1,ICELAND,2002,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,44.6470728028209,0.00943260018,,Summary1.As1,ICELAND,2002,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0143808845,0.001995405808,0.014623658786,,,5.7525e-05,Summary1.As1,ICELAND,2002,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,,,,Summary1.As1,ICELAND,2002,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),1851.2270290236268,,,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
                                           Sectoral approach(2),1993.124085051764,0.23356611954312,0.13192794300968,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
1.  Energy industries,4.9928595767,0.0015387526,0.0003830603,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,335.3631831803,0.0164103902,0.0328298643,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
3.  Transport,780.6356554760445,0.13485286319312,0.05522924817968,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
4.  Other sectors,864.852477072019,0.08042210875,0.04342675123,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
5.  Other,7.2799097467,0.0003420048,5.9019e-05,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
B. Fugitive emissions from fuels,136.343811495902,0.059772100047,,,,,Summary1.As1,ICELAND,2003,Subsector,1. Energy
