GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,1882.5507550263776,0.25462477517788,0.08108404956389,,,,Summary1.As1,ICELAND,2018,Sector
2.  Industrial processes and product use,1773.8253898194944,0.127663372798,0.009849551161,188.5334350385061,68.698466074041,0.0001712912523,Summary1.As1,ICELAND,2018,Sector
1. Energy,1827.2923989409649,0.26199669434202,0.07306228664495,,,,Summary1.As1,ICELAND,2019,Sector
2.  Industrial processes and product use,1711.9869592665927,0.130099797556,0.009414763277,199.6409281513937,87.221526969784,9.97652128e-05,Summary1.As1,ICELAND,2019,Sector
1. Energy,1640.2733815690156,0.26787908004627,0.06042798314631,,,,Summary1.As1,ICELAND,2020,Sector
2.  Industrial processes and product use,1683.8327930328091,0.122877980155,0.00948784872,195.6120405681644,85.959553243963,0.0001383682979,Summary1.As1,ICELAND,2020,Sector
1. Energy,1742.5004729664508,0.26584228832102,0.06393093909834,,,,Summary1.As1,ICELAND,2021,Sector
2.  Industrial processes and product use,1751.7457237268948,0.14324268595,0.00707725379,157.2481617964441,88.949232285101,0.00012658,Summary1.As1,ICELAND,2021,Sector
3.  Agriculture,0.462,16.99305910934122,0.82635784353888,,,,Summary1.As2,ICELAND,1990,Sector
"4.  Land use, land-use change and forestry  (4)",5761.356874075814,137.43075722417504,0.00068821336088,,,,Summary1.As2,ICELAND,1990,Sector
5.  Waste,7.29557205525,8.232542579966,0.02183732512,,,,Summary1.As2,ICELAND,1990,Sector
3.  Agriculture,0.1849848,16.49012832373616,0.81206846338352,,,,Summary1.As2,ICELAND,1991,Sector
"4.  Land use, land-use change and forestry  (4)",5766.106590434216,137.53925562258803,0.00086726727267,,,,Summary1.As2,ICELAND,1991,Sector
5.  Waste,7.237092677964,8.546665507451,0.021929801763,,,,Summary1.As2,ICELAND,1991,Sector
3.  Agriculture,0.4985464,16.05805386389395,0.78719327663678,,,,Summary1.As2,ICELAND,1992,Sector
"4.  Land use, land-use change and forestry  (4)",5758.808844090394,137.5138001998098,0.00107474537526,,,,Summary1.As2,ICELAND,1992,Sector
5.  Waste,7.041909664108,9.049906770289,0.022047275924,,,,Summary1.As2,ICELAND,1992,Sector
3.  Agriculture,0.4400968,15.95114878060765,0.80212879949036,,,,Summary1.As2,ICELAND,1993,Sector
"4.  Land use, land-use change and forestry  (4)",5752.736496728182,137.48724437146396,0.00112770851452,,,,Summary1.As2,ICELAND,1993,Sector
5.  Waste,5.995754604763,9.629869309855,0.021491199674,,,,Summary1.As2,ICELAND,1993,Sector
3.  Agriculture,0.0088,15.93018138043612,0.81963251519542,,,,Summary1.As2,ICELAND,1994,Sector
"4.  Land use, land-use change and forestry  (4)",5749.294725379375,137.44174329542082,0.00118943689839,,,,Summary1.As2,ICELAND,1994,Sector
5.  Waste,5.526247205759,9.872863628688,0.02132102035,,,,Summary1.As2,ICELAND,1994,Sector
3.  Agriculture,2.43700432691,15.33982091863932,0.79812379216874,,,,Summary1.As2,ICELAND,1995,Sector
"4.  Land use, land-use change and forestry  (4)",5740.213357697252,137.37825997545752,0.00134661155944,,,,Summary1.As2,ICELAND,1995,Sector
5.  Waste,4.87401872662,10.373308361888,0.021465152312,,,,Summary1.As2,ICELAND,1995,Sector
3.  Agriculture,2.98059427654,15.50092483402857,0.82758649043967,,,,Summary1.As2,ICELAND,1996,Sector
"4.  Land use, land-use change and forestry  (4)",5736.800575188927,137.3929792569935,0.00140845989878,,,,Summary1.As2,ICELAND,1996,Sector
5.  Waste,4.366801839864,10.955973375964,0.021152274211,,,,Summary1.As2,ICELAND,1996,Sector
3.  Agriculture,3.21883184198,15.27550672893419,0.81853588045916,,,,Summary1.As2,ICELAND,1997,Sector
"4.  Land use, land-use change and forestry  (4)",5737.69505010074,137.29043706529254,0.00147032620363,,,,Summary1.As2,ICELAND,1997,Sector
5.  Waste,4.208896731639,11.259037646213,0.021127264573,,,,Summary1.As2,ICELAND,1997,Sector
3.  Agriculture,2.54654008889,15.59487080538096,0.83357312298594,,,,Summary1.As2,ICELAND,1998,Sector
"4.  Land use, land-use change and forestry  (4)",5744.412565105615,137.1420933082491,0.00163066321889,,,,Summary1.As2,ICELAND,1998,Sector
5.  Waste,3.566270954674,10.958120186875,0.020812965653,,,,Summary1.As2,ICELAND,1998,Sector
3.  Agriculture,2.78270467852,15.33493548950074,0.85111310747021,,,,Summary1.As2,ICELAND,1999,Sector
"4.  Land use, land-use change and forestry  (4)",5757.603105683829,136.9687117113766,0.00171517272461,,,,Summary1.As2,ICELAND,1999,Sector
5.  Waste,2.9162543339,11.268565336009,0.020548545695,,,,Summary1.As2,ICELAND,1999,Sector
3.  Agriculture,2.80405615111,14.82315083586593,0.84356374876829,,,,Summary1.As2,ICELAND,2000,Sector
"4.  Land use, land-use change and forestry  (4)",5774.712660542802,136.73532589301172,0.00192957510595,,,,Summary1.As2,ICELAND,2000,Sector
5.  Waste,2.740924097572,11.715750867468,0.02070541228,,,,Summary1.As2,ICELAND,2000,Sector
3.  Agriculture,2.71723625284,14.797512867871,0.84071951234765,,,,Summary1.As2,ICELAND,2001,Sector
