Main_Category,Sub_Category,Year,Net CO2 (kt),CH4,N2O
Total national emissions and removals,International bunkers,2005,87141.09829151582,0.53462490459066,3.0426579902839
Total national emissions and removals,International bunkers,2006,90009.57177407538,0.56241965128354,3.16153293947778
Total national emissions and removals,International bunkers,2007,89935.51660562366,0.5690890438002,3.1646493899723
Total national emissions and removals,International bunkers,2008,95386.18404979796,0.67692237497172,3.44928053870922
Total national emissions and removals,International bunkers,2009,91342.68551430416,0.64852517266814,3.3131869052448
Total national emissions and removals,International bunkers,2010,86018.2242470171,0.57718154379166,3.09346315090872
Total national emissions and removals,International bunkers,2011,90640.96688734645,0.61378291882722,3.2671013346495
Total national emissions and removals,International bunkers,2012,86055.82966339891,0.54487937584356,3.07373896366398
Total national emissions and removals,International bunkers,2013,86624.76024587559,0.55022934982892,3.08974813243216
Total national emissions and removals,International bunkers,2014,88235.40619011705,0.55681039637866,3.15547490660328
Total national emissions and removals,International bunkers,2015,87499.44358110821,0.52790717226268,3.0883192658279
Total national emissions and removals,International bunkers,2016,89191.74719933467,0.55369519293224,3.15956072232304
Total national emissions and removals,International bunkers,2017,93338.68922028934,0.54974224053872,3.27760532651536
Total national emissions and removals,International bunkers,2018,93410.16364562127,0.53579855544316,3.26889840325312
Total national emissions and removals,International bunkers,2019,92324.28026436162,0.5046189963965,3.2133942852874
Total national emissions and removals,International bunkers,2020,46514.95750573169,0.32840967875056,1.72587875039032
Total national emissions and removals,International bunkers,2021,43822.6542641514,0.32584125645084,1.64674091943988
