GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,94014.55851799408,73.6337177954263,3.07344371511533,,,,Summary1.As1,GREECE,2000,Sector
2.  Industrial processes and product use,8919.919299924713,0.02228779,2.96888252139682,4460.647964438647,110.085631416,0.000167,Summary1.As1,GREECE,2000,Sector
1. Energy,96368.86450074687,75.7530489870046,3.23098635849777,,,,Summary1.As1,GREECE,2001,Sector
2.  Industrial processes and product use,8955.73377465022,0.01281508,2.57318419097706,4079.503825496201,75.80505096,0.00017,Summary1.As1,GREECE,2001,Sector
1. Energy,96112.64047853585,79.28747967998962,3.30583081008334,,,,Summary1.As1,GREECE,2002,Sector
2.  Industrial processes and product use,8851.342446608933,0.01839804,2.49655609041825,4375.211841858934,79.638781878,0.000178,Summary1.As1,GREECE,2002,Sector
1. Energy,100015.4924636407,77.54416102937014,3.39107795655326,,,,Summary1.As1,GREECE,2003,Sector
2.  Industrial processes and product use,9015.189176248032,0.01700904,2.33729349819425,4112.542520607825,80.612965584,0.000178,Summary1.As1,GREECE,2003,Sector
1. Energy,100448.10911546876,79.32814251999851,3.28010151892356,,,,Summary1.As1,GREECE,2004,Sector
2.  Industrial processes and product use,8999.788950845625,0.01966243,2.24748302467619,4309.682299727725,79.372093698,0.000187,Summary1.As1,GREECE,2004,Sector
1. Energy,104267.84338056733,79.00053879939381,3.39552617660212,,,,Summary1.As1,GREECE,2005,Sector
2.  Industrial processes and product use,9587.231899315057,0.022964,2.24346524362739,4503.287525711763,82.701670032,0.00027,Summary1.As1,GREECE,2005,Sector
1. Energy,103028.36736277692,74.98710192436484,3.50501518090241,,,,Summary1.As1,GREECE,2006,Sector
2.  Industrial processes and product use,9358.849453216471,0.024158,1.91254149873545,2568.9712782024776,78.8683878,0.00035,Summary1.As1,GREECE,2006,Sector
1. Energy,105251.02737931108,77.55740001644723,3.36530664793881,,,,Summary1.As1,GREECE,2007,Sector
2.  Industrial processes and product use,9257.865400374772,0.02554523845,1.90372319239447,3058.379945413034,93.29020892311394,0.000415,Summary1.As1,GREECE,2007,Sector
1. Energy,102436.2735597612,75.08948272040183,3.29729885364585,,,,Summary1.As1,GREECE,2008,Sector
