GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),59324.31865226672,,,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
                                           Sectoral approach(2),58333.5796560874,12.059743056,2.108312899,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
1.  Energy industries,27165.104709255,0.767524255,0.71445426,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,12110.279670289396,0.736756167,0.60739366,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
3.  Transport,11638.05694,3.195477308,0.492832922,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
4.  Other sectors,6107.956218303,7.209658145,0.262066502,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
5.  Other,1312.18211824,0.150327181,0.031565555,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,103.224296,3.247411157,0.00381376,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,103.224296,3.247411157,0.00381376,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
A.  Mineral industry,943.1318153123204,,,,,,Summary1.As1,FINLAND,1997,Subsector,1. Energy
C.  Metal industry,2414.5768961277,8.79e-05,,,,,Summary1.As1,FINLAND,1997,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,150.805369177152,0.00777,0.003883,,,,Summary1.As1,FINLAND,1997,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,326.92342779887497,1.2751128078,,Summary1.As1,FINLAND,1997,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.21684625631262,,,0.00076072631226,Summary1.As1,FINLAND,1997,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,0.13043769465779,0.50975001284992,0.001437,Summary1.As1,FINLAND,1997,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),55540.26129799368,,,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
                                           Sectoral approach(2),55064.84017633856,12.032642371,2.079316738,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
1.  Energy industries,23917.159447642,0.777777869,0.712609048,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,11750.114867453554,0.70522787,0.589794373,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
3.  Transport,11771.31791,2.92210294,0.474544022,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
4.  Other sectors,6196.162299483,7.459120273,0.268245116,,,,Summary1.As1,FINLAND,1998,Subsector,1. Energy
