Main_Category,Sub_Category,Detail_Category,Year,Sheet,GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Gas,Emissions_kt
2.  Industrial processes and product use,Industrial processes and product use,,1997,Summary1As1_Combined,2.  Industrial processes and product use,Net CO2 emissions/removals (kt),43089.93418425033
Total national emissions and removals,Industrial processes and product use,A.  Mineral industry,1997,Summary1As1_Combined,A.  Mineral industry,Net CO2 emissions/removals (kt),9739.374403396352
Total national emissions and removals,Industrial processes and product use,B.  Chemical industry,1997,Summary1As1_Combined,B.  Chemical industry,Net CO2 emissions/removals (kt),6907.53630333938
Total national emissions and removals,Industrial processes and product use,C.  Metal industry,1997,Summary1As1_Combined,C.  Metal industry,Net CO2 emissions/removals (kt),24974.26981885538
Total national emissions and removals,Industrial processes and product use,D.  Non-energy products from fuels and solvent use ,1997,Summary1As1_Combined,D.  Non-energy products from fuels and solvent use ,Net CO2 emissions/removals (kt),1468.7536586592155
Total national emissions and removals,Total national emissions and removals,,1998,Summary1As1_Combined,Total national emissions and removals,Net CO2 emissions/removals (kt),569367.1492088307
1. Energy,Energy,,1998,Summary1As1_Combined,1. Energy,Net CO2 emissions/removals (kt),527796.8256472688
Total national emissions and removals,Energy,A. Fuel combustion     Reference approach(2),1998,Summary1As1_Combined,A. Fuel combustion     Reference approach(2),Net CO2 emissions/removals (kt),519058.067759316
Total national emissions and removals,Energy,                                           Sectoral approach(2),1998,Summary1As1_Combined,                                           Sectoral approach(2),Net CO2 emissions/removals (kt),520290.2039318028
Total national emissions and removals,Energy,1.  Energy industries,1998,Summary1As1_Combined,1.  Energy industries,Net CO2 emissions/removals (kt),198442.55957229747
Total national emissions and removals,Energy,2.  Manufacturing industries and construction                          ,1998,Summary1As1_Combined,2.  Manufacturing industries and construction                          ,Net CO2 emissions/removals (kt),71405.296497704
Total national emissions and removals,Energy,3.  Transport,1998,Summary1As1_Combined,3.  Transport,Net CO2 emissions/removals (kt),127850.70178422405
Total national emissions and removals,Energy,4.  Other sectors,1998,Summary1As1_Combined,4.  Other sectors,Net CO2 emissions/removals (kt),119393.33068488304
Total national emissions and removals,Energy,5.  Other,1998,Summary1As1_Combined,5.  Other,Net CO2 emissions/removals (kt),3198.315392694225
Total national emissions and removals,Energy,B. Fugitive emissions from fuels,1998,Summary1As1_Combined,B. Fugitive emissions from fuels,Net CO2 emissions/removals (kt),7506.621715465976
Total national emissions and removals,Energy,1.  Solid fuels,1998,Summary1As1_Combined,1.  Solid fuels,Net CO2 emissions/removals (kt),296.9409774467129
