Category,Year,Sheet,Gas,Emissions_kt
                                           Sectoral approach(2),2001,Summary1As1,CH4,78.14906191008632
1.  Energy industries,2001,Summary1As1,CH4,13.96597743033287
2.  Manufacturing industries and construction                          ,2001,Summary1As1,CH4,3.02009650298174
3.  Transport,2001,Summary1As1,CH4,24.29756627539166
4.  Other sectors,2001,Summary1As1,CH4,36.78861576951172
5.  Other,2001,Summary1As1,CH4,0.07680593186833
B. Fugitive emissions from fuels,2001,Summary1As1,CH4,600.6315510791808
1.  Solid fuels,2001,Summary1As1,CH4,288.1370138141375
2.  Oil and natural gas and other emissions from energy production,2001,Summary1As1,CH4,312.4945372650432
2.  Industrial processes and product use,2001,Summary1As1,CH4,5.89568085270506
B.  Chemical industry,2001,Summary1As1,CH4,4.01891028937249
C.  Metal industry,2001,Summary1As1,CH4,1.29534250351218
H.  Other(3),2001,Summary1As1,CH4,0.58142805982039
Total national emissions and removals,2002,Summary1As1,CH4,4169.075637858351
1. Energy,2002,Summary1As1,CH4,644.4903622895367
                                           Sectoral approach(2),2002,Summary1As1,CH4,69.76018624749861
1.  Energy industries,2002,Summary1As1,CH4,13.60747424925809
2.  Manufacturing industries and construction                          ,2002,Summary1As1,CH4,2.86303081210538
3.  Transport,2002,Summary1As1,CH4,21.96195023282594
4.  Other sectors,2002,Summary1As1,CH4,31.2448316930597
5.  Other,2002,Summary1As1,CH4,0.0828992602495
B. Fugitive emissions from fuels,2002,Summary1As1,CH4,574.7301760420381
1.  Solid fuels,2002,Summary1As1,CH4,283.2029809917305
2.  Oil and natural gas and other emissions from energy production,2002,Summary1As1,CH4,291.5271950503076
2.  Industrial processes and product use,2002,Summary1As1,CH4,6.02288366233288
B.  Chemical industry,2002,Summary1As1,CH4,4.24211581677519
C.  Metal industry,2002,Summary1As1,CH4,1.19439225141266
H.  Other(3),2002,Summary1As1,CH4,0.58637559414503
Total national emissions and removals,2003,Summary1As1,CH4,3973.232719362052
1. Energy,2003,Summary1As1,CH4,580.4150288224063
                                           Sectoral approach(2),2003,Summary1As1,CH4,64.1498736107826
1.  Energy industries,2003,Summary1As1,CH4,13.51090362555113
2.  Manufacturing industries and construction                          ,2003,Summary1As1,CH4,3.00355019432007
3.  Transport,2003,Summary1As1,CH4,19.39640850072307
4.  Other sectors,2003,Summary1As1,CH4,28.15471365827981
5.  Other,2003,Summary1As1,CH4,0.08429763190853
B. Fugitive emissions from fuels,2003,Summary1As1,CH4,516.2651552116237
1.  Solid fuels,2003,Summary1As1,CH4,233.3197148838864
2.  Oil and natural gas and other emissions from energy production,2003,Summary1As1,CH4,282.9454403277373
2.  Industrial processes and product use,2003,Summary1As1,CH4,6.77772284233984
B.  Chemical industry,2003,Summary1As1,CH4,4.89410478982462
C.  Metal industry,2003,Summary1As1,CH4,1.266079752277
H.  Other(3),2003,Summary1As1,CH4,0.61753830023822
Total national emissions and removals,2004,Summary1As1,CH4,3792.249823994491
1. Energy,2004,Summary1As1,CH4,565.2589187571984
                                           Sectoral approach(2),2004,Summary1As1,CH4,61.24799655714571
1.  Energy industries,2004,Summary1As1,CH4,13.66764653347398
2.  Manufacturing industries and construction                          ,2004,Summary1As1,CH4,3.10407884876896
3.  Transport,2004,Summary1As1,CH4,17.41127983779829
4.  Other sectors,2004,Summary1As1,CH4,26.98635758556226
5.  Other,2004,Summary1As1,CH4,0.07863375154222
B. Fugitive emissions from fuels,2004,Summary1As1,CH4,504.0109222000527
1.  Solid fuels,2004,Summary1As1,CH4,209.56127845179373
2.  Oil and natural gas and other emissions from energy production,2004,Summary1As1,CH4,294.4496437482589
2.  Industrial processes and product use,2004,Summary1As1,CH4,6.20504703382807
B.  Chemical industry,2004,Summary1As1,CH4,4.33681530982506
C.  Metal industry,2004,Summary1As1,CH4,1.26058072771011
H.  Other(3),2004,Summary1As1,CH4,0.6076509962929
Total national emissions and removals,2005,Summary1As1,CH4,3616.8859147390417
1. Energy,2005,Summary1As1,CH4,492.31197591309655
                                           Sectoral approach(2),2005,Summary1As1,CH4,56.34581935137691
1.  Energy industries,2005,Summary1As1,CH4,13.82099701742705
2.  Manufacturing industries and construction                          ,2005,Summary1As1,CH4,2.89438819095705
3.  Transport,2005,Summary1As1,CH4,15.86533291667078
4.  Other sectors,2005,Summary1As1,CH4,23.69120376610375
5.  Other,2005,Summary1As1,CH4,0.07389746021828
B. Fugitive emissions from fuels,2005,Summary1As1,CH4,435.9661565617196
1.  Solid fuels,2005,Summary1As1,CH4,154.7600592095866
2.  Oil and natural gas and other emissions from energy production,2005,Summary1As1,CH4,281.20609735213304
2.  Industrial processes and product use,2005,Summary1As1,CH4,5.37330211544787
B.  Chemical industry,2005,Summary1As1,CH4,3.74248600458543
C.  Metal industry,2005,Summary1As1,CH4,1.11663824469567
H.  Other(3),2005,Summary1As1,CH4,0.51417786616677
Total national emissions and removals,2006,Summary1As1,CH4,3448.0306923570392
1. Energy,2006,Summary1As1,CH4,458.1738269887002
                                           Sectoral approach(2),2006,Summary1As1,CH4,52.55840057039441
1.  Energy industries,2006,Summary1As1,CH4,12.15343723647459
2.  Manufacturing industries and construction                          ,2006,Summary1As1,CH4,2.89961256764717
3.  Transport,2006,Summary1As1,CH4,14.26299441391264
4.  Other sectors,2006,Summary1As1,CH4,23.14744669571742
5.  Other,2006,Summary1As1,CH4,0.09490965664259
B. Fugitive emissions from fuels,2006,Summary1As1,CH4,405.6154264183058
1.  Solid fuels,2006,Summary1As1,CH4,139.90052844194332
2.  Oil and natural gas and other emissions from energy production,2006,Summary1As1,CH4,265.71489797636247
2.  Industrial processes and product use,2006,Summary1As1,CH4,5.44668113687737
B.  Chemical industry,2006,Summary1As1,CH4,3.43501293396053
C.  Metal industry,2006,Summary1As1,CH4,1.17679210566445
H.  Other(3),2006,Summary1As1,CH4,0.83487609725239
Total national emissions and removals,2007,Summary1As1,CH4,3295.300347539717
1. Energy,2007,Summary1As1,CH4,437.1825019944672
                                           Sectoral approach(2),2007,Summary1As1,CH4,50.44401124870181
1.  Energy industries,2007,Summary1As1,CH4,12.51559861068633
2.  Manufacturing industries and construction                          ,2007,Summary1As1,CH4,2.84552032690029
3.  Transport,2007,Summary1As1,CH4,13.02083260995947
4.  Other sectors,2007,Summary1As1,CH4,21.95820537203593
5.  Other,2007,Summary1As1,CH4,0.10385432911979
B. Fugitive emissions from fuels,2007,Summary1As1,CH4,386.7384907457654
1.  Solid fuels,2007,Summary1As1,CH4,113.43768111852702
2.  Oil and natural gas and other emissions from energy production,2007,Summary1As1,CH4,273.3008096272383
2.  Industrial processes and product use,2007,Summary1As1,CH4,5.8052768874768
B.  Chemical industry,2007,Summary1As1,CH4,3.79927815812457
C.  Metal industry,2007,Summary1As1,CH4,1.12299094319429
H.  Other(3),2007,Summary1As1,CH4,0.88300778615794
Total national emissions and removals,2008,Summary1As1,CH4,3064.00486903141
1. Energy,2008,Summary1As1,CH4,418.7140560776575
                                           Sectoral approach(2),2008,Summary1As1,CH4,48.98384143453398
1.  Energy industries,2008,Summary1As1,CH4,12.92580839859645
2.  Manufacturing industries and construction                          ,2008,Summary1As1,CH4,2.6074602665131
3.  Transport,2008,Summary1As1,CH4,11.54961111332859
4.  Other sectors,2008,Summary1As1,CH4,21.813258016956
5.  Other,2008,Summary1As1,CH4,0.08770363913984
B. Fugitive emissions from fuels,2008,Summary1As1,CH4,369.7302146431235
1.  Solid fuels,2008,Summary1As1,CH4,113.69865193717814
2.  Oil and natural gas and other emissions from energy production,2008,Summary1As1,CH4,256.03156270594536
2.  Industrial processes and product use,2008,Summary1As1,CH4,4.52773520087068
B.  Chemical industry,2008,Summary1As1,CH4,3.04886376679168
C.  Metal industry,2008,Summary1As1,CH4,1.0474805392797
H.  Other(3),2008,Summary1As1,CH4,0.4313908947993
Total national emissions and removals,2009,Summary1As1,CH4,2890.482014400067
1. Energy,2009,Summary1As1,CH4,411.8030283504928
                                           Sectoral approach(2),2009,Summary1As1,CH4,45.26990689308907
1.  Energy industries,2009,Summary1As1,CH4,12.99551347075694
2.  Manufacturing industries and construction                          ,2009,Summary1As1,CH4,2.5276557432652
3.  Transport,2009,Summary1As1,CH4,8.5364793360642
4.  Other sectors,2009,Summary1As1,CH4,21.13162858697274
5.  Other,2009,Summary1As1,CH4,0.07862975602999
B. Fugitive emissions from fuels,2009,Summary1As1,CH4,366.5331214574037
1.  Solid fuels,2009,Summary1As1,CH4,109.95094006596764
2.  Oil and natural gas and other emissions from energy production,2009,Summary1As1,CH4,256.58218139143605
2.  Industrial processes and product use,2009,Summary1As1,CH4,4.8621309752211
B.  Chemical industry,2009,Summary1As1,CH4,3.78036744447003
C.  Metal industry,2009,Summary1As1,CH4,0.81604634476463
H.  Other(3),2009,Summary1As1,CH4,0.26571718598644
Total national emissions and removals,2010,Summary1As1,CH4,2704.6006281120312
1. Energy,2010,Summary1As1,CH4,404.68186757038455
                                           Sectoral approach(2),2010,Summary1As1,CH4,47.78543735373182
1.  Energy industries,2010,Summary1As1,CH4,13.15473301817238
2.  Manufacturing industries and construction                          ,2010,Summary1As1,CH4,2.82860238108052
3.  Transport,2010,Summary1As1,CH4,7.59053688121538
4.  Other sectors,2010,Summary1As1,CH4,24.13606518542091
5.  Other,2010,Summary1As1,CH4,0.07549988784263
B. Fugitive emissions from fuels,2010,Summary1As1,CH4,356.89643021665273
1.  Solid fuels,2010,Summary1As1,CH4,102.27143627663403
2.  Oil and natural gas and other emissions from energy production,2010,Summary1As1,CH4,254.6249939400187
2.  Industrial processes and product use,2010,Summary1As1,CH4,5.02966506515596
B.  Chemical industry,2010,Summary1As1,CH4,4.15025828183504
C.  Metal industry,2010,Summary1As1,CH4,0.60978012074407
H.  Other(3),2010,Summary1As1,CH4,0.26962666257685
Total national emissions and removals,2011,Summary1As1,CH4,2598.7697149938194
1. Energy,2011,Summary1As1,CH4,388.3650082760593
                                           Sectoral approach(2),2011,Summary1As1,CH4,42.68038438296056
1.  Energy industries,2011,Summary1As1,CH4,11.83909440434053
2.  Manufacturing industries and construction                          ,2011,Summary1As1,CH4,2.81796849064034
3.  Transport,2011,Summary1As1,CH4,6.70573481965464
4.  Other sectors,2011,Summary1As1,CH4,21.24539155185278
5.  Other,2011,Summary1As1,CH4,0.07219511647227
B. Fugitive emissions from fuels,2011,Summary1As1,CH4,345.6846238930988
1.  Solid fuels,2011,Summary1As1,CH4,97.97656749515416
2.  Oil and natural gas and other emissions from energy production,2011,Summary1As1,CH4,247.7080563979446
2.  Industrial processes and product use,2011,Summary1As1,CH4,4.54001504707675
B.  Chemical industry,2011,Summary1As1,CH4,3.67499357974853
C.  Metal industry,2011,Summary1As1,CH4,0.61638917040375
H.  Other(3),2011,Summary1As1,CH4,0.24863229692447
Total national emissions and removals,2012,Summary1As1,CH4,2534.4961957293176
1. Energy,2012,Summary1As1,CH4,387.27673648618486
                                           Sectoral approach(2),2012,Summary1As1,CH4,42.51483326156317
1.  Energy industries,2012,Summary1As1,CH4,11.36750035785335
2.  Manufacturing industries and construction                          ,2012,Summary1As1,CH4,2.67373304505877
3.  Transport,2012,Summary1As1,CH4,5.93819760166755
4.  Other sectors,2012,Summary1As1,CH4,22.46903263745879
5.  Other,2012,Summary1As1,CH4,0.06636961952471
B. Fugitive emissions from fuels,2012,Summary1As1,CH4,344.7619032246217
1.  Solid fuels,2012,Summary1As1,CH4,98.67282527208584
2.  Oil and natural gas and other emissions from energy production,2012,Summary1As1,CH4,246.08907795253583
2.  Industrial processes and product use,2012,Summary1As1,CH4,4.91829957262431
B.  Chemical industry,2012,Summary1As1,CH4,4.06051537408427
C.  Metal industry,2012,Summary1As1,CH4,0.69703249891659
H.  Other(3),2012,Summary1As1,CH4,0.16075169962345
Total national emissions and removals,2013,Summary1As1,CH4,2366.788999797462
1. Energy,2013,Summary1As1,CH4,340.85998083563913
                                           Sectoral approach(2),2013,Summary1As1,CH4,43.58338491914937
1.  Energy industries,2013,Summary1As1,CH4,11.29309732598529
2.  Manufacturing industries and construction                          ,2013,Summary1As1,CH4,2.93709576143621
3.  Transport,2013,Summary1As1,CH4,5.3177159910776
4.  Other sectors,2013,Summary1As1,CH4,23.97544059608405
5.  Other,2013,Summary1As1,CH4,0.06003524456622
B. Fugitive emissions from fuels,2013,Summary1As1,CH4,297.2765959164898
1.  Solid fuels,2013,Summary1As1,CH4,68.18105482585328
2.  Oil and natural gas and other emissions from energy production,2013,Summary1As1,CH4,229.0955410906365
2.  Industrial processes and product use,2013,Summary1As1,CH4,5.21360768406689
B.  Chemical industry,2013,Summary1As1,CH4,4.24299700342183
C.  Metal industry,2013,Summary1As1,CH4,0.78989788719205
H.  Other(3),2013,Summary1As1,CH4,0.18071279345301
Total national emissions and removals,2014,Summary1As1,CH4,2287.2403627153226
1. Energy,2014,Summary1As1,CH4,323.29178780062085
                                           Sectoral approach(2),2014,Summary1As1,CH4,42.22807230475005
1.  Energy industries,2014,Summary1As1,CH4,12.85110833519513
2.  Manufacturing industries and construction                          ,2014,Summary1As1,CH4,3.29406695436466
3.  Transport,2014,Summary1As1,CH4,4.94307413331822
4.  Other sectors,2014,Summary1As1,CH4,21.08642050618577
5.  Other,2014,Summary1As1,CH4,0.05340237568627
B. Fugitive emissions from fuels,2014,Summary1As1,CH4,281.06371549587084
1.  Solid fuels,2014,Summary1As1,CH4,67.27892902354053
2.  Oil and natural gas and other emissions from energy production,2014,Summary1As1,CH4,213.7847864723303
2.  Industrial processes and product use,2014,Summary1As1,CH4,5.07755215305834
B.  Chemical industry,2014,Summary1As1,CH4,3.97544815804647
C.  Metal industry,2014,Summary1As1,CH4,0.89937009527039
H.  Other(3),2014,Summary1As1,CH4,0.20273389974148
Total national emissions and removals,2015,Summary1As1,CH4,2248.850292344083
1. Energy,2015,Summary1As1,CH4,306.3086194036188
                                           Sectoral approach(2),2015,Summary1As1,CH4,44.18927413111785
1.  Energy industries,2015,Summary1As1,CH4,13.35231848898785
2.  Manufacturing industries and construction                          ,2015,Summary1As1,CH4,3.52305880415162
3.  Transport,2015,Summary1As1,CH4,4.58615772312053
4.  Other sectors,2015,Summary1As1,CH4,22.68350291273241
5.  Other,2015,Summary1As1,CH4,0.04423620212544
B. Fugitive emissions from fuels,2015,Summary1As1,CH4,262.11934527250094
1.  Solid fuels,2015,Summary1As1,CH4,55.38099705620685
2.  Oil and natural gas and other emissions from energy production,2015,Summary1As1,CH4,206.7383482162941
2.  Industrial processes and product use,2015,Summary1As1,CH4,3.35925533039012
B.  Chemical industry,2015,Summary1As1,CH4,2.40045115128923
C.  Metal industry,2015,Summary1As1,CH4,0.75507188326892
H.  Other(3),2015,Summary1As1,CH4,0.20373229583197
Total national emissions and removals,2016,Summary1As1,CH4,2176.2411266065988
1. Energy,2016,Summary1As1,CH4,267.5684148820002
                                           Sectoral approach(2),2016,Summary1As1,CH4,45.41513734105338
1.  Energy industries,2016,Summary1As1,CH4,14.12576858989607
2.  Manufacturing industries and construction                          ,2016,Summary1As1,CH4,3.63859960837871
3.  Transport,2016,Summary1As1,CH4,4.29413913087488
4.  Other sectors,2016,Summary1As1,CH4,23.3158151676057
5.  Other,2016,Summary1As1,CH4,0.04081484429802
B. Fugitive emissions from fuels,2016,Summary1As1,CH4,222.1532775409468
1.  Solid fuels,2016,Summary1As1,CH4,20.26299947312328
2.  Oil and natural gas and other emissions from energy production,2016,Summary1As1,CH4,201.89027806782352
2.  Industrial processes and product use,2016,Summary1As1,CH4,3.70016644719673
B.  Chemical industry,2016,Summary1As1,CH4,2.97589747491305
C.  Metal industry,2016,Summary1As1,CH4,0.48459419701526
H.  Other(3),2016,Summary1As1,CH4,0.23967477526842
Total national emissions and removals,2017,Summary1As1,CH4,2189.9158739040686
1. Energy,2017,Summary1As1,CH4,264.9203513317465
                                           Sectoral approach(2),2017,Summary1As1,CH4,46.58597955355199
1.  Energy industries,2017,Summary1As1,CH4,14.76759465379579
2.  Manufacturing industries and construction                          ,2017,Summary1As1,CH4,4.06984025660163
3.  Transport,2017,Summary1As1,CH4,4.046676518496
4.  Other sectors,2017,Summary1As1,CH4,23.66048232821032
5.  Other,2017,Summary1As1,CH4,0.04138579644825
B. Fugitive emissions from fuels,2017,Summary1As1,CH4,218.3343717781945
1.  Solid fuels,2017,Summary1As1,CH4,19.51077114366126
2.  Oil and natural gas and other emissions from energy production,2017,Summary1As1,CH4,198.82360063453325
2.  Industrial processes and product use,2017,Summary1As1,CH4,3.26213617261481
B.  Chemical industry,2017,Summary1As1,CH4,2.56146334925686
C.  Metal industry,2017,Summary1As1,CH4,0.46497811226814
H.  Other(3),2017,Summary1As1,CH4,0.23569471108981
Total national emissions and removals,2018,Summary1As1,CH4,2173.640425004562
1. Energy,2018,Summary1As1,CH4,264.62209748398834
                                           Sectoral approach(2),2018,Summary1As1,CH4,48.35635016877593
1.  Energy industries,2018,Summary1As1,CH4,15.23052962185879
2.  Manufacturing industries and construction                          ,2018,Summary1As1,CH4,4.31827925750813
3.  Transport,2018,Summary1As1,CH4,3.85630583626321
4.  Other sectors,2018,Summary1As1,CH4,24.9094310401268
5.  Other,2018,Summary1As1,CH4,0.041804413019
B. Fugitive emissions from fuels,2018,Summary1As1,CH4,216.2657473152124
1.  Solid fuels,2018,Summary1As1,CH4,18.8250453219158
2.  Oil and natural gas and other emissions from energy production,2018,Summary1As1,CH4,197.4407019932966
2.  Industrial processes and product use,2018,Summary1As1,CH4,2.49357550725442
B.  Chemical industry,2018,Summary1As1,CH4,1.8043365172534
C.  Metal industry,2018,Summary1As1,CH4,0.47450194860817
H.  Other(3),2018,Summary1As1,CH4,0.21473704139285
Total national emissions and removals,2019,Summary1As1,CH4,2157.8937431545505
1. Energy,2019,Summary1As1,CH4,255.9547731868476
                                           Sectoral approach(2),2019,Summary1As1,CH4,48.03738405558216
1.  Energy industries,2019,Summary1As1,CH4,15.62069573098977
2.  Manufacturing industries and construction                          ,2019,Summary1As1,CH4,4.25107863049819
3.  Transport,2019,Summary1As1,CH4,3.85794933307986
4.  Other sectors,2019,Summary1As1,CH4,24.2646229946712
5.  Other,2019,Summary1As1,CH4,0.04303736634314
B. Fugitive emissions from fuels,2019,Summary1As1,CH4,207.91738913126545
1.  Solid fuels,2019,Summary1As1,CH4,19.55890796246231
2.  Oil and natural gas and other emissions from energy production,2019,Summary1As1,CH4,188.3584811688031
2.  Industrial processes and product use,2019,Summary1As1,CH4,3.39210151592931
B.  Chemical industry,2019,Summary1As1,CH4,2.73577096868541
C.  Metal industry,2019,Summary1As1,CH4,0.44258336078888
H.  Other(3),2019,Summary1As1,CH4,0.21374718645502
Total national emissions and removals,2020,Summary1As1,CH4,2069.971258555041
1. Energy,2020,Summary1As1,CH4,236.7511444534617
                                           Sectoral approach(2),2020,Summary1As1,CH4,47.06393120508916
1.  Energy industries,2020,Summary1As1,CH4,15.17225079718563
2.  Manufacturing industries and construction                          ,2020,Summary1As1,CH4,4.70341164211736
3.  Transport,2020,Summary1As1,CH4,3.11274608404675
4.  Other sectors,2020,Summary1As1,CH4,24.03850144669825
5.  Other,2020,Summary1As1,CH4,0.03702123504117
B. Fugitive emissions from fuels,2020,Summary1As1,CH4,189.68721324837256
1.  Solid fuels,2020,Summary1As1,CH4,18.98835496461727
2.  Oil and natural gas and other emissions from energy production,2020,Summary1As1,CH4,170.69885828375527
2.  Industrial processes and product use,2020,Summary1As1,CH4,3.23009522848678
B.  Chemical industry,2020,Summary1As1,CH4,2.68802071006597
C.  Metal industry,2020,Summary1As1,CH4,0.43721851255269
H.  Other(3),2020,Summary1As1,CH4,0.10485600586812
Total national emissions and removals,2021,Summary1As1,CH4,2051.168174868067
1. Energy,2021,Summary1As1,CH4,230.26855347012852
                                           Sectoral approach(2),2021,Summary1As1,CH4,49.68947872920541
1.  Energy industries,2021,Summary1As1,CH4,15.4822701484673
2.  Manufacturing industries and construction                          ,2021,Summary1As1,CH4,4.82173284619784
3.  Transport,2021,Summary1As1,CH4,3.46173782413747
4.  Other sectors,2021,Summary1As1,CH4,25.88428438702635
5.  Other,2021,Summary1As1,CH4,0.03945352337645
B. Fugitive emissions from fuels,2021,Summary1As1,CH4,180.5790747409232
1.  Solid fuels,2021,Summary1As1,CH4,18.37490233681769
2.  Oil and natural gas and other emissions from energy production,2021,Summary1As1,CH4,162.2041724041055
2.  Industrial processes and product use,2021,Summary1As1,CH4,2.08975826988951
B.  Chemical industry,2021,Summary1As1,CH4,1.45823863922092
C.  Metal industry,2021,Summary1As1,CH4,0.46177572419222
H.  Other(3),2021,Summary1As1,CH4,0.16974390647637
3.  Agriculture,1990,Summary1As2,CH4,1172.9264618307725
A.  Enteric fermentation,1990,Summary1As2,CH4,988.5792854152404
B.  Manure management,1990,Summary1As2,CH4,165.93408129716465
F.  Field burning of agricultural residues,1990,Summary1As2,CH4,7.46282683056716
J.  Other ,1990,Summary1As2,CH4,10.9502682878003
"4.  Land use, land-use change and forestry  (4)",1990,Summary1As2,CH4,198.97047038452743
A. Forest land (4),1990,Summary1As2,CH4,3.55322414450354
B. Cropland (4),1990,Summary1As2,CH4,11.87016846889981
C. Grassland (4),1990,Summary1As2,CH4,100.25169886799864
D. Wetlands (4),1990,Summary1As2,CH4,82.6157463124651
E. Settlements (4),1990,Summary1As2,CH4,0.14650627053711
H. Other  (4),1990,Summary1As2,CH4,0.53312632012323
5.  Waste,1990,Summary1As2,CH4,2508.368963713426
A.  Solid waste disposal (5),1990,Summary1As2,CH4,2415.476830752694
B.  Biological treatment of solid waste (5),1990,Summary1As2,CH4,0.78179388894899
C.  Incineration and open burning of waste (5),1990,Summary1As2,CH4,7.63512171144274
D.  Wastewater treatment and discharge,1990,Summary1As2,CH4,84.47521736034132
3.  Agriculture,1991,Summary1As2,CH4,1157.9974090478331
A.  Enteric fermentation,1991,Summary1As2,CH4,975.9177750286402
B.  Manure management,1991,Summary1As2,CH4,164.58572854685056
F.  Field burning of agricultural residues,1991,Summary1As2,CH4,6.56362189372771
J.  Other ,1991,Summary1As2,CH4,10.93028357861486
"4.  Land use, land-use change and forestry  (4)",1991,Summary1As2,CH4,198.7648820573357
A. Forest land (4),1991,Summary1As2,CH4,3.69658268822828
B. Cropland (4),1991,Summary1As2,CH4,11.85994902427967
C. Grassland (4),1991,Summary1As2,CH4,99.89774947808672
D. Wetlands (4),1991,Summary1As2,CH4,82.64028011635197
E. Settlements (4),1991,Summary1As2,CH4,0.13994508456921
H. Other  (4),1991,Summary1As2,CH4,0.53037566581983
5.  Waste,1991,Summary1As2,CH4,2533.9213916161984
A.  Solid waste disposal (5),1991,Summary1As2,CH4,2439.673052495284
B.  Biological treatment of solid waste (5),1991,Summary1As2,CH4,1.69967673201469
C.  Incineration and open burning of waste (5),1991,Summary1As2,CH4,7.48621620662736
D.  Wastewater treatment and discharge,1991,Summary1As2,CH4,85.06244618227237
3.  Agriculture,1992,Summary1As2,CH4,1164.6136234693122
A.  Enteric fermentation,1992,Summary1As2,CH4,983.2337326332708
B.  Manure management,1992,Summary1As2,CH4,165.64526043191523
F.  Field burning of agricultural residues,1992,Summary1As2,CH4,4.80124115292486
J.  Other ,1992,Summary1As2,CH4,10.93338925120146
"4.  Land use, land-use change and forestry  (4)",1992,Summary1As2,CH4,198.31694951960333
A. Forest land (4),1992,Summary1As2,CH4,3.55602412678311
B. Cropland (4),1992,Summary1As2,CH4,11.85577733041764
C. Grassland (4),1992,Summary1As2,CH4,99.57610091467954
D. Wetlands (4),1992,Summary1As2,CH4,82.66484582387669
E. Settlements (4),1992,Summary1As2,CH4,0.13307742541389
H. Other  (4),1992,Summary1As2,CH4,0.53112389843246
5.  Waste,1992,Summary1As2,CH4,2539.285596165915
A.  Solid waste disposal (5),1992,Summary1As2,CH4,2442.9709087605693
B.  Biological treatment of solid waste (5),1992,Summary1As2,CH4,2.61737858797067
C.  Incineration and open burning of waste (5),1992,Summary1As2,CH4,7.19584319271656
D.  Wastewater treatment and discharge,1992,Summary1As2,CH4,86.50146562465844
3.  Agriculture,1993,Summary1As2,CH4,1162.470598135969
A.  Enteric fermentation,1993,Summary1As2,CH4,984.1454650977182
B.  Manure management,1993,Summary1As2,CH4,167.4183534291007
F.  Field burning of agricultural residues,1993,Summary1As2,CH4,0.1603986102603
J.  Other ,1993,Summary1As2,CH4,10.74638099888986
"4.  Land use, land-use change and forestry  (4)",1993,Summary1As2,CH4,198.1551354702636
A. Forest land (4),1993,Summary1As2,CH4,3.63710682755178
B. Cropland (4),1993,Summary1As2,CH4,11.84100118030523
C. Grassland (4),1993,Summary1As2,CH4,99.32783870186962
D. Wetlands (4),1993,Summary1As2,CH4,82.68938008177302
E. Settlements (4),1993,Summary1As2,CH4,0.1321715687805
H. Other  (4),1993,Summary1As2,CH4,0.5276371099834
5.  Waste,1993,Summary1As2,CH4,2561.8922034546567
A.  Solid waste disposal (5),1993,Summary1As2,CH4,2464.302834501633
B.  Biological treatment of solid waste (5),1993,Summary1As2,CH4,3.53549308624696
C.  Incineration and open burning of waste (5),1993,Summary1As2,CH4,6.60562851753323
D.  Wastewater treatment and discharge,1993,Summary1As2,CH4,87.44824734924349
3.  Agriculture,1994,Summary1As2,CH4,1167.9954749871033
A.  Enteric fermentation,1994,Summary1As2,CH4,986.8828240738336
B.  Manure management,1994,Summary1As2,CH4,170.27113370271204
J.  Other ,1994,Summary1As2,CH4,10.84151721055771
"4.  Land use, land-use change and forestry  (4)",1994,Summary1As2,CH4,197.84947075569613
A. Forest land (4),1994,Summary1As2,CH4,3.6585712735602
B. Cropland (4),1994,Summary1As2,CH4,11.82387847452392
C. Grassland (4),1994,Summary1As2,CH4,98.99123323767036
D. Wetlands (4),1994,Summary1As2,CH4,82.71388289004078
E. Settlements (4),1994,Summary1As2,CH4,0.13722761590726
H. Other  (4),1994,Summary1As2,CH4,0.52467726399359
5.  Waste,1994,Summary1As2,CH4,2583.721209193771
A.  Solid waste disposal (5),1994,Summary1As2,CH4,2485.76101426558
B.  Biological treatment of solid waste (5),1994,Summary1As2,CH4,4.45694115606957
C.  Incineration and open burning of waste (5),1994,Summary1As2,CH4,5.54357836460628
D.  Wastewater treatment and discharge,1994,Summary1As2,CH4,87.95967540751506
3.  Agriculture,1995,Summary1As2,CH4,1159.731679920137
A.  Enteric fermentation,1995,Summary1As2,CH4,980.3848737068556
B.  Manure management,1995,Summary1As2,CH4,168.49802033592374
J.  Other ,1995,Summary1As2,CH4,10.84878587735754
"4.  Land use, land-use change and forestry  (4)",1995,Summary1As2,CH4,198.2170685091936
A. Forest land (4),1995,Summary1As2,CH4,4.31218729165746
B. Cropland (4),1995,Summary1As2,CH4,11.80148879974863
C. Grassland (4),1995,Summary1As2,CH4,98.71752182926618
D. Wetlands (4),1995,Summary1As2,CH4,82.7383542486802
E. Settlements (4),1995,Summary1As2,CH4,0.12674713210852
H. Other  (4),1995,Summary1As2,CH4,0.5207692077326
5.  Waste,1995,Summary1As2,CH4,2626.220293526916
A.  Solid waste disposal (5),1995,Summary1As2,CH4,2530.5140480793166
B.  Biological treatment of solid waste (5),1995,Summary1As2,CH4,5.37484955903185
C.  Incineration and open burning of waste (5),1995,Summary1As2,CH4,5.4466883429997
D.  Wastewater treatment and discharge,1995,Summary1As2,CH4,84.88470754556784
3.  Agriculture,1996,Summary1As2,CH4,1181.5527555243875
A.  Enteric fermentation,1996,Summary1As2,CH4,997.7003618589164
B.  Manure management,1996,Summary1As2,CH4,173.30826814280388
J.  Other ,1996,Summary1As2,CH4,10.54412552266726
"4.  Land use, land-use change and forestry  (4)",1996,Summary1As2,CH4,197.66351128784328
A. Forest land (4),1996,Summary1As2,CH4,4.01362413038988
B. Cropland (4),1996,Summary1As2,CH4,11.7824764236187
C. Grassland (4),1996,Summary1As2,CH4,98.44178225127442
D. Wetlands (4),1996,Summary1As2,CH4,82.76279415769113
