GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,Parent_Sector,PFCs(1),SF6 (kt)
F.  Product uses as substitutes for ODS,,,,1.07061959552763,Summary1.As1,LIECHTENSTEIN,1995,Subsector,1. Energy,0.00134634112724,
A. Fuel combustion     Reference approach(2),205.79866965065835,,,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
                                           Sectoral approach(2),205.73579023553916,0.02735845080848,0.00618393550772,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
1.  Energy industries,2.504304,0.00122469825024,0.00020374412544,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,35.66132132979294,0.00063541831767,0.00025216652429,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
3.  Transport,81.57251164536135,0.01554960209722,0.00492059643824,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
4.  Other sectors,85.99765326038484,0.00994873214335,0.00080742841975,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00020685299195,0.02631276135985,,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00020685299195,0.02631276135985,,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.16519749744061,,,,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,1.36882774269091,Summary1.As1,LIECHTENSTEIN,1996,Subsector,1. Energy,0.00148053852208,
A. Fuel combustion     Reference approach(2),218.2284779409461,,,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
                                           Sectoral approach(2),218.1416695842,0.028133550333,0.00655510412822,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
1.  Energy industries,2.443716,0.00119965130496,0.00020721672576,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,37.49860323890402,0.00066704542462,0.00028060969502,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
3.  Transport,85.1451760472864,0.01530085677162,0.00516062626228,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
4.  Other sectors,93.05417429800956,0.0109659968318,0.00090665144516,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00021517377162,0.02737120720528,,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00021517377162,0.02737120720528,,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.17605346214135,,,,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,1.71781403389809,Summary1.As1,LIECHTENSTEIN,1997,Subsector,1. Energy,0.00147757276644,
A. Fuel combustion     Reference approach(2),229.12216483693973,,,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
                                           Sectoral approach(2),229.0275726107359,0.02778957685488,0.0063475922487,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
1.  Energy industries,2.82744,0.00137975648256,0.00022459355136,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,40.23601000057884,0.00072109042719,0.0003107525813,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
3.  Transport,84.88755709879428,0.0137466428959,0.00483211131966,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
4.  Other sectors,101.07656551136276,0.01194208704923,0.00098013479638,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00023388601995,0.02975150115244,,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00023388601995,0.02975150115244,,,Summary1.As1,LIECHTENSTEIN,1998,Subsector,1. Energy,,
