GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),Sheet,Country,Year,Level,PFCs(1),SF6 (kt)
3.  Agriculture,0.04828197080869,0.60572288878282,0.02394377630241,,Summary1.As2,LIECHTENSTEIN,2002,Sector,,
"4.  Land use, land-use change and forestry  (4)",2.78975940790998,,0.00124135878185,,Summary1.As2,LIECHTENSTEIN,2002,Sector,,
5.  Waste,0.01148498128471,0.0414652783077,0.00197393933552,,Summary1.As2,LIECHTENSTEIN,2002,Sector,,
3.  Agriculture,0.04738568783648,0.61003386017199,0.02409233050008,,Summary1.As2,LIECHTENSTEIN,2003,Sector,,
"4.  Land use, land-use change and forestry  (4)",6.78470155516949,,0.00126313680087,,Summary1.As2,LIECHTENSTEIN,2003,Sector,,
5.  Waste,0.01160136774593,0.04151044180586,0.00201688442517,,Summary1.As2,LIECHTENSTEIN,2003,Sector,,
3.  Agriculture,0.04556823271515,0.61224624808408,0.02386085934611,,Summary1.As2,LIECHTENSTEIN,2004,Sector,,
"4.  Land use, land-use change and forestry  (4)",8.95078163897338,,0.00128491376288,,Summary1.As2,LIECHTENSTEIN,2004,Sector,,
5.  Waste,0.01164452277505,0.04146627746242,0.0020473526156,,Summary1.As2,LIECHTENSTEIN,2004,Sector,,
3.  Agriculture,0.0460077720264,0.62982619273197,0.02443261471786,,Summary1.As2,LIECHTENSTEIN,2005,Sector,,
"4.  Land use, land-use change and forestry  (4)",9.00361891932175,,0.00130669178192,,Summary1.As2,LIECHTENSTEIN,2005,Sector,,
5.  Waste,0.01137656154687,0.04171898041727,0.00192985584744,,Summary1.As2,LIECHTENSTEIN,2005,Sector,,
3.  Agriculture,0.04514907590014,0.66314072488329,0.02505004756999,,Summary1.As2,LIECHTENSTEIN,2006,Sector,,
"4.  Land use, land-use change and forestry  (4)",13.78461608667784,,0.00132846874396,,Summary1.As2,LIECHTENSTEIN,2006,Sector,,
5.  Waste,0.01146340341379,0.04132794811099,0.0020684682354,,Summary1.As2,LIECHTENSTEIN,2006,Sector,,
3.  Agriculture,0.04468802115043,0.67408597375701,0.02533617492571,,Summary1.As2,LIECHTENSTEIN,2007,Sector,,
"4.  Land use, land-use change and forestry  (4)",22.84158848123239,,0.00135024676295,,Summary1.As2,LIECHTENSTEIN,2007,Sector,,
5.  Waste,0.01125626511628,0.04146796303118,0.00206420972366,,Summary1.As2,LIECHTENSTEIN,2007,Sector,,
3.  Agriculture,0.04701021169556,0.67881964705,0.02562411714103,,Summary1.As2,LIECHTENSTEIN,2008,Sector,,
"4.  Land use, land-use change and forestry  (4)",24.95472450014369,,0.00137202372498,,Summary1.As2,LIECHTENSTEIN,2008,Sector,,
5.  Waste,0.01111658607897,0.04163946108915,0.00215240792787,,Summary1.As2,LIECHTENSTEIN,2008,Sector,,
3.  Agriculture,0.04482804907923,0.67745965070572,0.0253720377949,,Summary1.As2,LIECHTENSTEIN,2009,Sector,,
"4.  Land use, land-use change and forestry  (4)",22.0151711641901,,0.00138111255624,,Summary1.As2,LIECHTENSTEIN,2009,Sector,,
5.  Waste,0.01094471646816,0.0407860678542,0.00209772398673,,Summary1.As2,LIECHTENSTEIN,2009,Sector,,
3.  Agriculture,0.04286224351118,0.65438607679219,0.02458609024448,,Summary1.As2,LIECHTENSTEIN,2010,Sector,,
"4.  Land use, land-use change and forestry  (4)",20.59254764589375,,0.00138986042671,,Summary1.As2,LIECHTENSTEIN,2010,Sector,,
5.  Waste,0.01101096084014,0.04040139960125,0.00220363739675,,Summary1.As2,LIECHTENSTEIN,2010,Sector,,
3.  Agriculture,0.04948956725682,0.67024712474745,0.0258298941179,,Summary1.As2,LIECHTENSTEIN,2011,Sector,,
"4.  Land use, land-use change and forestry  (4)",24.31446372955958,,0.00139894925796,,Summary1.As2,LIECHTENSTEIN,2011,Sector,,
5.  Waste,0.01093931880532,0.04062418746547,0.00228727565699,,Summary1.As2,LIECHTENSTEIN,2011,Sector,,
3.  Agriculture,0.04401387684456,0.68691184049195,0.0253504638524,,Summary1.As2,LIECHTENSTEIN,2012,Sector,,
"4.  Land use, land-use change and forestry  (4)",24.58748870009971,,0.00140769712841,,Summary1.As2,LIECHTENSTEIN,2012,Sector,,
5.  Waste,0.01067526159104,0.04079575123099,0.00220997233403,,Summary1.As2,LIECHTENSTEIN,2012,Sector,,
3.  Agriculture,0.0426399809544,0.65344213288813,0.02439802944717,,Summary1.As2,LIECHTENSTEIN,2013,Sector,,
"4.  Land use, land-use change and forestry  (4)",17.13674100683955,,0.00141678595966,,Summary1.As2,LIECHTENSTEIN,2013,Sector,,
5.  Waste,0.0104902839286,0.04056437077341,0.00222985281229,,Summary1.As2,LIECHTENSTEIN,2013,Sector,,
3.  Agriculture,0.04133596511753,0.66647317983812,0.02459555513661,,Summary1.As2,LIECHTENSTEIN,2014,Sector,,
"4.  Land use, land-use change and forestry  (4)",17.05731110806834,,0.00142553383015,,Summary1.As2,LIECHTENSTEIN,2014,Sector,,
5.  Waste,0.01051423932885,0.03729198879335,0.00216969340846,,Summary1.As2,LIECHTENSTEIN,2014,Sector,,
3.  Agriculture,0.04704429079436,0.65814716481776,0.02471951089091,,Summary1.As2,LIECHTENSTEIN,2015,Sector,,
"4.  Land use, land-use change and forestry  (4)",11.78105087163615,,0.00143462266138,,Summary1.As2,LIECHTENSTEIN,2015,Sector,,
5.  Waste,0.01047283251701,0.03694279760313,0.00227118212395,,Summary1.As2,LIECHTENSTEIN,2015,Sector,,
3.  Agriculture,0.04233114070148,0.66346333917974,0.02432067593732,,Summary1.As2,LIECHTENSTEIN,2016,Sector,,
"4.  Land use, land-use change and forestry  (4)",9.99982733420232,,0.00144391761736,,Summary1.As2,LIECHTENSTEIN,2016,Sector,,
5.  Waste,0.01028200336923,0.03708974164088,0.00219950584029,,Summary1.As2,LIECHTENSTEIN,2016,Sector,,
3.  Agriculture,0.04430093139024,0.64281920889701,0.02407864692357,,Summary1.As2,LIECHTENSTEIN,2017,Sector,,
"4.  Land use, land-use change and forestry  (4)",11.29753410163458,,0.00141008537859,,Summary1.As2,LIECHTENSTEIN,2017,Sector,,
5.  Waste,0.01038124405799,0.03723315480472,0.00219231988311,,Summary1.As2,LIECHTENSTEIN,2017,Sector,,
3.  Agriculture,0.04816858626314,0.65379121808699,0.02466167311407,,Summary1.As2,LIECHTENSTEIN,2018,Sector,,
"4.  Land use, land-use change and forestry  (4)",21.97849885059728,,0.00137625313981,,Summary1.As2,LIECHTENSTEIN,2018,Sector,,
5.  Waste,0.01032131005026,0.03681290904318,0.00215807577586,,Summary1.As2,LIECHTENSTEIN,2018,Sector,,
3.  Agriculture,0.04524718578636,0.67916147623237,0.0250947522245,,Summary1.As2,LIECHTENSTEIN,2019,Sector,,
"4.  Land use, land-use change and forestry  (4)",11.99664165218565,,0.00134242090105,,Summary1.As2,LIECHTENSTEIN,2019,Sector,,
5.  Waste,0.00998813676211,0.03724455860653,0.00221713494161,,Summary1.As2,LIECHTENSTEIN,2019,Sector,,
3.  Agriculture,0.04022588249464,0.68734241717367,0.0249782560446,,Summary1.As2,LIECHTENSTEIN,2020,Sector,,
"4.  Land use, land-use change and forestry  (4)",4.44775960937973,,0.00130858866225,,Summary1.As2,LIECHTENSTEIN,2020,Sector,,
5.  Waste,0.01025857229956,0.03738435727377,0.00220642290264,,Summary1.As2,LIECHTENSTEIN,2020,Sector,,
3.  Agriculture,0.04138323406408,0.67594391165383,0.02477551881253,,Summary1.As2,LIECHTENSTEIN,2021,Sector,,
"4.  Land use, land-use change and forestry  (4)",-0.05135474841061,,0.00127472949278,,Summary1.As2,LIECHTENSTEIN,2021,Sector,,
5.  Waste,0.01007539543327,0.03779444209603,0.00223747376207,,Summary1.As2,LIECHTENSTEIN,2021,Sector,,
International bunkers,0.42714694656,2.9176704e-06,1.16706816e-05,,Summary1.As3,LIECHTENSTEIN,1990,Sector,,
CO2 emissions from biomass,6.37170905088,,,,Summary1.As3,LIECHTENSTEIN,1990,Sector,,
International bunkers,0.42714694656,2.9176704e-06,1.16706816e-05,,Summary1.As3,LIECHTENSTEIN,1991,Sector,,
CO2 emissions from biomass,4.96520345088,,,,Summary1.As3,LIECHTENSTEIN,1991,Sector,,
International bunkers,0.42714694656,2.9176704e-06,1.16706816e-05,,Summary1.As3,LIECHTENSTEIN,1992,Sector,,
CO2 emissions from biomass,6.5311259328,,,,Summary1.As3,LIECHTENSTEIN,1992,Sector,,
International bunkers,0.42714694656,2.9176704e-06,1.16706816e-05,,Summary1.As3,LIECHTENSTEIN,1993,Sector,,
CO2 emissions from biomass,6.09053514624,,,,Summary1.As3,LIECHTENSTEIN,1993,Sector,,
International bunkers,0.42714694656,2.9176704e-06,1.16706816e-05,,Summary1.As3,LIECHTENSTEIN,1994,Sector,,
