GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),10270.44804777186,,,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
                                           Sectoral approach(2),10198.91829674757,1.00291514627135,0.17034687071488,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
1.  Energy industries,38.98285696170355,0.0394215067927,0.00525563423902,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5130.264957904635,0.14459455670688,0.04673971871976,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
3.  Transport,3600.023811638396,0.38359532166373,0.09865512166444,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
4.  Other sectors,1407.611484907036,0.43252026790004,0.0194929934426,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
5.  Other,22.03518533579983,0.002783493208,0.00020340264906,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,0.02974596561874,0.88583460757762,,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.02974596561874,0.88583460757762,,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
A.  Mineral industry,547.8220870221752,,,,,Summary1.As1,LUXEMBOURG,1994,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,18.09094723594494,,,,,Summary1.As1,LUXEMBOURG,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,12.9122161673956,,Summary1.As1,LUXEMBOURG,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.02731414501415,,5.685580126e-05,Summary1.As1,LUXEMBOURG,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),8208.105271553022,,,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
                                           Sectoral approach(2),8169.3917783990655,0.90029606028799,0.16390074149151,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
1.  Energy industries,101.22044039472767,0.04018860384383,0.00532307717917,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3275.976925832472,0.09540219367238,0.04167524135437,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
3.  Transport,3360.421906803638,0.32159121419698,0.09728261793461,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
4.  Other sectors,1421.0041568499553,0.44183522192753,0.01950534848441,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
5.  Other,10.76834851827246,0.00127882664727,0.00011445653895,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,0.03393286766423,1.01003352904452,,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.03393286766423,1.01003352904452,,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
A.  Mineral industry,494.5817528317337,,,,,Summary1.As1,LUXEMBOURG,1995,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,19.76073071576432,,,,,Summary1.As1,LUXEMBOURG,1995,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,13.81148588944935,,Summary1.As1,LUXEMBOURG,1995,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.02627530866709,,6.09414162e-05,Summary1.As1,LUXEMBOURG,1995,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),8445.099519828796,,,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
                                           Sectoral approach(2),8276.650674317161,0.86051164628879,0.1662282605628,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
1.  Energy industries,91.04745800113076,0.03243328507708,0.00429116465317,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,3118.187978784428,0.09585039995564,0.04116805293368,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
3.  Transport,3477.120713573021,0.29484235252736,0.10021613258935,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
4.  Other sectors,1571.7848645362276,0.43505732943133,0.02037461365648,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
5.  Other,18.50965942235344,0.00232827929738,0.00017829673012,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,0.03707814860787,1.10499361908449,,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.03707814860787,1.10499361908449,,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
A.  Mineral industry,487.9416581103519,,,,,Summary1.As1,LUXEMBOURG,1996,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,19.52137886936195,,,,,Summary1.As1,LUXEMBOURG,1996,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,15.79596988567786,,Summary1.As1,LUXEMBOURG,1996,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.02519211575832,,6.831677728e-05,Summary1.As1,LUXEMBOURG,1996,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),7851.955872762945,,,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
                                           Sectoral approach(2),7743.211335066356,0.82372912943129,0.16900522128225,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
1.  Energy industries,103.29841729551332,0.03968287660114,0.00526055396115,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,2350.195055175343,0.07491394363575,0.04031323247432,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
3.  Transport,3741.1691701422105,0.27849703715349,0.10284313206909,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
4.  Other sectors,1525.542001703271,0.42795927353519,0.0204022503555,,,Summary1.As1,LUXEMBOURG,1997,Subsector,1. Energy
