GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
"4.  Land use, land-use change and forestry  (4)",-579.3060609662587,,0.06035707569456,,,Summary1.As2,LUXEMBOURG,2003,Sector
5.  Waste,,3.99521827582975,0.04026932306393,,,Summary1.As2,LUXEMBOURG,2003,Sector
3.  Agriculture,7.66037516657968,16.41245869560865,0.62418936300851,,,Summary1.As2,LUXEMBOURG,2004,Sector
"4.  Land use, land-use change and forestry  (4)",-625.4543992188278,,0.06035707569456,,,Summary1.As2,LUXEMBOURG,2004,Sector
5.  Waste,,3.79915957072531,0.03962946174081,,,Summary1.As2,LUXEMBOURG,2004,Sector
3.  Agriculture,8.83083831893244,16.59681312577969,0.59009936179676,,,Summary1.As2,LUXEMBOURG,2005,Sector
"4.  Land use, land-use change and forestry  (4)",-581.9615781885042,,0.06035707569457,,,Summary1.As2,LUXEMBOURG,2005,Sector
5.  Waste,,3.82026157041244,0.04265136131882,,,Summary1.As2,LUXEMBOURG,2005,Sector
3.  Agriculture,7.87403403160353,16.37691856232017,0.58668426418183,,,Summary1.As2,LUXEMBOURG,2006,Sector
"4.  Land use, land-use change and forestry  (4)",-500.97431491879934,,0.06035707569456,,,Summary1.As2,LUXEMBOURG,2006,Sector
5.  Waste,,3.83718913718246,0.04389750476194,,,Summary1.As2,LUXEMBOURG,2006,Sector
3.  Agriculture,7.58724381140204,16.82920970342054,0.58528788814877,,,Summary1.As2,LUXEMBOURG,2007,Sector
"4.  Land use, land-use change and forestry  (4)",-408.7134315717226,,0.06035707569457,,,Summary1.As2,LUXEMBOURG,2007,Sector
5.  Waste,,3.88637139379687,0.04585484158076,,,Summary1.As2,LUXEMBOURG,2007,Sector
3.  Agriculture,7.36860789335042,17.39706310448636,0.59877214137508,,,Summary1.As2,LUXEMBOURG,2008,Sector
"4.  Land use, land-use change and forestry  (4)",-428.4448617213058,,0.06699825284944,,,Summary1.As2,LUXEMBOURG,2008,Sector
5.  Waste,,3.92338427449859,0.04805214350752,,,Summary1.As2,LUXEMBOURG,2008,Sector
3.  Agriculture,8.63849344908732,17.40657444329553,0.5962308450093,,,Summary1.As2,LUXEMBOURG,2009,Sector
"4.  Land use, land-use change and forestry  (4)",-440.8046650965709,,0.06699825284944,,,Summary1.As2,LUXEMBOURG,2009,Sector
5.  Waste,,3.92960791387575,0.04640894309467,,,Summary1.As2,LUXEMBOURG,2009,Sector
3.  Agriculture,7.99835735428716,17.65903932212165,0.60242128989427,,,Summary1.As2,LUXEMBOURG,2010,Sector
"4.  Land use, land-use change and forestry  (4)",-223.15409511861893,,0.06699825284944,,,Summary1.As2,LUXEMBOURG,2010,Sector
5.  Waste,,3.49428624827942,0.0474842248515,,,Summary1.As2,LUXEMBOURG,2010,Sector
3.  Agriculture,9.63493267830763,17.05726864898463,0.60338793040565,,,Summary1.As2,LUXEMBOURG,2011,Sector
"4.  Land use, land-use change and forestry  (4)",-315.92011471373786,,0.06699825284944,,,Summary1.As2,LUXEMBOURG,2011,Sector
5.  Waste,,3.40191560843701,0.04113598022621,,,Summary1.As2,LUXEMBOURG,2011,Sector
3.  Agriculture,9.56674350302686,16.82194206017859,0.5858322453755,,,Summary1.As2,LUXEMBOURG,2012,Sector
