GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
5.  Other,186250.49773590203,2.18295984707125,2.69999018721521,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,44012.8784092413,13297.00429386164,0.06860387965684,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
1.  Solid fuels,3881.489917809664,3418.4353863534748,,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,40131.38849143164,9878.568907508165,0.06860387965684,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
B.  Chemical industry,49488.61920777136,11.57034,94.87542367997882,35075.21406788974,,,,Summary1.As1,USA,1993,Subsector,2.  Industrial processes and product use
C.  Metal industry,101306.71380837505,1.4502649,,,14368.88513411732,,0.23279465032301,Summary1.As1,USA,1993,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,226.58240989558576,3176.3895094233144,,0.02718543316366,Summary1.As1,USA,1993,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,4964.634037,,545.4603594,,Summary1.As1,USA,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,14.79845107125004,,1.32756603384945,,0.97166747453906,Summary1.As1,USA,1993,Subsector,2.  Industrial processes and product use
H.  Other(3),0.03972,,0.16986617128249,,,,,Summary1.As1,USA,1993,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5114483.004512027,,,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
                                           Sectoral approach(2),5100018.983026689,581.0890464929278,264.23535308072667,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
1.  Energy industries,2080140.5331457555,21.43178156975116,74.2444636807038,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,721426.1335518056,73.1086349478124,10.08350935181992,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
3.  Transport,1520496.3972538053,249.8329663902784,172.77504352184232,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
4.  Other sectors,582079.9788251308,234.4960849215895,4.46265516081306,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
5.  Other,195875.94025019187,2.21957866349634,2.66968136554756,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,44408.84392398976,13414.64946995455,0.07106702294044,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
1.  Solid fuels,4381.661915970043,3491.1182020588394,,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,40027.18200801972,9923.531267895709,0.07106702294044,,,,,Summary1.As1,USA,1994,Subsector,1. Energy
B.  Chemical industry,52540.66718425092,12.0546,96.48838073513149,33430.713333754546,,,,Summary1.As1,USA,1994,Subsector,2.  Industrial processes and product use
C.  Metal industry,103649.57163971396,1.459356512,,,12688.377888596542,,0.22738282881743,Summary1.As1,USA,1994,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,249.2443006184776,3494.10880625898,,0.02990819681336,Summary1.As1,USA,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,12871.615326,0.01326,587.9286751999999,,Summary1.As1,USA,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,14.79845107125004,,1.34946858178149,,0.91524451738768,Summary1.As1,USA,1994,Subsector,2.  Industrial processes and product use
H.  Other(3),0.04903,,0.18685984441074,,,,,Summary1.As1,USA,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5157654.404894846,,,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
                                           Sectoral approach(2),5154094.488229481,580.3233338016535,271.0962299696237,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
1.  Energy industries,2098536.0573994294,21.57968458569883,74.85225238150284,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,736707.3141580302,74.90387685881281,10.3403117076229,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
3.  Transport,1548469.6955246965,248.6032760017118,178.8785322004166,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
4.  Other sectors,581254.9931927667,233.28429633283736,4.41164395863542,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
5.  Other,189126.42795455785,1.95220002259257,2.61348972144594,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,42756.62245034861,13173.42143410193,0.07379916842754,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
1.  Solid fuels,4353.1412693024895,3448.165210730895,,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,38403.481181046125,9725.256223371036,0.07379916842754,,,,,Summary1.As1,USA,1995,Subsector,1. Energy
B.  Chemical industry,53409.176054147625,12.6625,108.53209316422615,34947.6815052724,,,,Summary1.As1,USA,1995,Subsector,2.  Industrial processes and product use
C.  Metal industry,107655.34377912244,1.474183616,,,12382.063142485998,,0.23570980632103,Summary1.As1,USA,1995,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,313.2154074449848,4390.906567825396,,0.03758429839846,Summary1.As1,USA,1995,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,27709.705245,0.03978,1735.0753378000002,,Summary1.As1,USA,1995,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,14.79845107125004,,1.56656447637513,,0.84377898148495,Summary1.As1,USA,1995,Subsector,2.  Industrial processes and product use
H.  Other(3),0.1229,,0.22823682171478,,,,,Summary1.As1,USA,1995,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5336748.530421096,,,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
                                           Sectoral approach(2),5342214.881061796,589.0314316426507,278.50536095786595,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
1.  Energy industries,2172129.6972460346,22.02768316067008,76.76342642369393,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,768946.6323931337,76.29934361880329,10.61290815946686,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
3.  Transport,1594738.830629681,244.9133174530648,183.89492516768016,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
4.  Other sectors,621364.1288163518,243.94022071539283,4.65930716624444,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
5.  Other,185035.5919765953,1.85086669471962,2.57479404078057,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,41298.992021810525,13139.251598779789,0.07733669006147,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
1.  Solid fuels,4495.816512326531,3441.854040150114,,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,36803.175509484,9697.397558629673,0.07733669006147,,,,,Summary1.As1,USA,1996,Subsector,1. Energy
B.  Chemical industry,54537.512465819,13.6656,109.80801112555729,33016.97363252239,,,,Summary1.As1,USA,1996,Subsector,2.  Industrial processes and product use
C.  Metal industry,106112.20413942896,1.446660688,,,13000.746409298752,,0.27645682880803,Summary1.As1,USA,1996,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,347.8164107781567,4875.990042748272,,0.04173866654192,Summary1.As1,USA,1996,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,37956.084104,0.35802,3176.3570042,,Summary1.As1,USA,1996,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,14.79845107125004,,1.28614845661272,,0.77159841290759,Summary1.As1,USA,1996,Subsector,2.  Industrial processes and product use
H.  Other(3),0.23609,,0.24439622514578,,,,,Summary1.As1,USA,1996,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5450926.994345148,,,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
                                           Sectoral approach(2),5412539.901888295,550.2283404170628,284.3388933732136,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
1.  Energy industries,2240862.7676564357,22.65210899302431,78.5422835688569,,,,,Summary1.As1,USA,1997,Subsector,1. Energy
