Main_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
2. Industrial Processes,2008,91510.00043179627,7.13519546738378,11.99826605230689,10396.918280966562,238.15566631334545,0.02851915001348
2. Industrial Processes,2009,75944.00991712639,7.3897867184863,7.2613490290738705,10920.908323045656,174.2226674221379,0.02443735752603
2. Industrial Processes,2010,77834.23449232412,7.85826744623648,7.7233009917426205,11503.328448886346,257.10069799553,0.02887383599001
2. Industrial Processes,2011,72795.44020938475,7.3579835377170895,4.59922055065733,12134.882594745202,376.3728501496623,0.02407621923136
2. Industrial Processes,2012,71882.87225808915,7.5920326176830795,3.7460430421409003,12755.156837064387,221.6587985790211,0.02296657471597
2. Industrial Processes,2013,74394.25023095877,8.1507034455031,3.5375741030053502,13176.893651548758,274.1761522509474,0.02019341537578
2. Industrial Processes,2014,73501.81125334735,8.371619107423001,3.6597247521616803,13343.159754723689,219.2113751137656,0.01864851157775
2. Industrial Processes,2015,70236.94312794686,6.8823141345417405,3.57818709943361,13349.290500012065,257.22316213203703,0.01778316379032
2. Industrial Processes,2016,65432.40700166415,7.338766055575441,3.6341096850566097,13359.726126137775,267.2317828235167,0.01907751794551
2. Industrial Processes,2017,65874.75212572778,7.331976429216439,3.7868292494892,13267.85990324142,386.9175695624334,0.01930961810709
2. Industrial Processes,2018,64586.62410034666,6.8118547647625505,3.76147654632921,12950.550048104113,134.94397124161105,0.0236165500735
2. Industrial Processes,2019,63815.6965161347,7.6431801464275,3.83410084608731,12333.145978974677,200.8581765675987,0.02085786004888
2. Industrial Processes,2020,61463.567289588194,7.93350687060414,3.55625611044982,11525.463795236754,151.13515733409065,0.01788369025218
2. Industrial Processes,2021,63396.27010571596,6.911491116087349,3.53081658966688,10819.710287153594,192.87758176493475,0.01794968163969
3. Agriculture,1990,120222.3004660954,50.83161688966728,4.8675546216048,0.0,0.0,0.0
3. Agriculture,1991,119332.13441367378,50.23476220136224,4.78927414518554,0.0,0.0,0.0
3. Agriculture,1992,120729.88080780614,49.61701991694057,4.87281852405445,0.0,0.0,0.0
3. Agriculture,1993,121998.99797121914,47.43329870075394,5.15263705709781,0.0,0.0,0.0
3. Agriculture,1994,123412.65892346363,43.83281270184124,5.60562039088364,0.0,0.0,0.0
