GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,1996,Subsector,2.  Industrial processes and product use,28.18195707097739,
G.  Other product manufacture and use ,,,0.01502677329506,Summary1.As1,LATVIA,1996,Subsector,2.  Industrial processes and product use,,7.75424e-06
H.  Other(3),,,,Summary1.As1,LATVIA,1996,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),8440.762882499494,,,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
                                           Sectoral approach(2),8446.651797631175,12.70614608620393,0.44457458242718,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
1.  Energy industries,3301.804823313176,0.18579155755622,0.03227287575562,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1802.855460302632,0.15199970367992,0.07082363571799,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
3.  Transport,2005.8244995826349,0.55830199963549,0.15355298720481,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
4.  Other sectors,1323.716399532732,11.8099657437973,0.18757675760876,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
5.  Other,12.4506149,8.7081535e-05,0.00034832614,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00826,7.11823,,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00826,7.11823,,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
A.  Mineral industry,139.5317690245266,,,Summary1.As1,LATVIA,1997,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,32.54097534894514,,,Summary1.As1,LATVIA,1997,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,1997,Subsector,2.  Industrial processes and product use,37.42437048075134,
G.  Other product manufacture and use ,,,0.01487696989848,Summary1.As1,LATVIA,1997,Subsector,2.  Industrial processes and product use,,1.62092e-05
H.  Other(3),,,,Summary1.As1,LATVIA,1997,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),8054.153408138404,,,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
                                           Sectoral approach(2),8066.410670865803,11.86597784265128,0.41536444068379,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
1.  Energy industries,3363.369506617608,0.21423694472755,0.03537274447276,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1572.0870588271146,0.15588609576408,0.06839448387641,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
3.  Transport,1981.2699828684115,0.53501784849068,0.14533827520682,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
4.  Other sectors,1146.404492752669,10.96081399059897,0.1661670848478,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
5.  Other,3.2796298,2.296307e-05,9.185228e-05,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.007926,6.829857,,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.007926,6.829857,,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
A.  Mineral industry,139.70422115300929,,,Summary1.As1,LATVIA,1998,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,34.18261387073815,,,Summary1.As1,LATVIA,1998,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LATVIA,1998,Subsector,2.  Industrial processes and product use,45.79555792305244,
