GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
"4.  Land use, land-use change and forestry  (4)",-6972.316457778397,17.6152009776,1.941785,Summary1.As2,LATVIA,2005,Sector,,
5.  Waste,0.44483131,23.04538489172036,0.1539439454,Summary1.As2,LATVIA,2005,Sector,,
3.  Agriculture,2.80133333333333,34.19442882989372,3.13907761780524,Summary1.As2,LATVIA,2006,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7808.086433945385,19.3291148512,1.967492,Summary1.As2,LATVIA,2006,Sector,,
5.  Waste,1.5276272,22.56142266269025,0.158608313,Summary1.As2,LATVIA,2006,Sector,,
3.  Agriculture,6.33123333333334,35.77158352382455,3.26956898022293,Summary1.As2,LATVIA,2007,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7337.652597970055,17.9002377248,1.948998,Summary1.As2,LATVIA,2007,Sector,,
5.  Waste,1.20058268,22.88182415205907,0.1631979541,Summary1.As2,LATVIA,2007,Sector,,
3.  Agriculture,5.9202,34.74956959903025,3.23240561507897,Summary1.As2,LATVIA,2008,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7727.6926521189025,18.0214945984,1.951217,Summary1.As2,LATVIA,2008,Sector,,
5.  Waste,0.50546518,23.96617161417803,0.1664162831,Summary1.As2,LATVIA,2008,Sector,,
3.  Agriculture,8.33616666666667,34.6621170933069,3.30427782441189,Summary1.As2,LATVIA,2009,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4854.995000636478,18.783885472,1.956244,Summary1.As2,LATVIA,2009,Sector,,
5.  Waste,0.34026344,24.19728172526012,0.1669712723,Summary1.As2,LATVIA,2009,Sector,,
3.  Agriculture,5.9741,34.4174274341095,3.3977521422155,Summary1.As2,LATVIA,2010,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3087.2520046407785,19.1502102192,1.970249,Summary1.As2,LATVIA,2010,Sector,,
5.  Waste,0.34130184,23.90750790059187,0.1652220173,Summary1.As2,LATVIA,2010,Sector,,
3.  Agriculture,12.22686666666667,34.81173982287136,3.38403613194347,Summary1.As2,LATVIA,2011,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3500.763445371727,19.6814789664,1.964521,Summary1.As2,LATVIA,2011,Sector,,
5.  Waste,0.3437654,22.84276468767623,0.166374839,Summary1.As2,LATVIA,2011,Sector,,
3.  Agriculture,15.69406666666667,35.59082054325529,3.5867321139516,Summary1.As2,LATVIA,2012,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4881.98291769452,20.2930867136,1.981126,Summary1.As2,LATVIA,2012,Sector,,
5.  Waste,0.3228808,22.74090195466063,0.157742561,Summary1.As2,LATVIA,2012,Sector,,
3.  Agriculture,17.3217,36.94979867410258,3.67467395127057,Summary1.As2,LATVIA,2013,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3620.142137496668,21.0549324608,1.998535,Summary1.As2,LATVIA,2013,Sector,,
5.  Waste,0.4274336,22.38653236929808,0.152303253,Summary1.As2,LATVIA,2013,Sector,,
3.  Agriculture,23.65549999966667,38.32704768697771,3.80575814668112,Summary1.As2,LATVIA,2014,Sector,,
"4.  Land use, land-use change and forestry  (4)",242.43185698537195,22.852167208,1.969322,Summary1.As2,LATVIA,2014,Sector,,
5.  Waste,0.56263867,21.98559674775588,0.1697612301,Summary1.As2,LATVIA,2014,Sector,,
3.  Agriculture,26.14766,38.37483985874665,3.96536723976225,Summary1.As2,LATVIA,2015,Sector,,
"4.  Land use, land-use change and forestry  (4)",-1051.6385479613389,24.3215119552,1.99819,Summary1.As2,LATVIA,2015,Sector,,
5.  Waste,0.17950064,20.39417161922486,0.17176005972,Summary1.As2,LATVIA,2015,Sector,,
3.  Agriculture,30.52683333333333,38.52910070629067,3.97707424005271,Summary1.As2,LATVIA,2016,Sector,,
"4.  Land use, land-use change and forestry  (4)",-2922.5838163437334,25.8895647024,2.028302,Summary1.As2,LATVIA,2016,Sector,,
5.  Waste,0.173125,20.59537044387471,0.19535004122,Summary1.As2,LATVIA,2016,Sector,,
3.  Agriculture,33.90273333333333,38.82383766045765,3.98374142463583,Summary1.As2,LATVIA,2017,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4424.060368257236,27.4582774496,2.058776,Summary1.As2,LATVIA,2017,Sector,,
5.  Waste,0.286055,18.99759843654222,0.18413578256,Summary1.As2,LATVIA,2017,Sector,,
3.  Agriculture,44.48913333333334,37.59623077917933,3.7706722335104,Summary1.As2,LATVIA,2018,Sector,,
"4.  Land use, land-use change and forestry  (4)",-2023.233748365217,30.4156811968,2.102971,Summary1.As2,LATVIA,2018,Sector,,
5.  Waste,0.396554,19.2096953579074,0.1787557718,Summary1.As2,LATVIA,2018,Sector,,
3.  Agriculture,54.8702,37.78125418781167,4.09664727920025,Summary1.As2,LATVIA,2019,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3687.894459217822,29.907031944,2.104154,Summary1.As2,LATVIA,2019,Sector,,
5.  Waste,0.028926,18.96309834970925,0.168912756,Summary1.As2,LATVIA,2019,Sector,,
3.  Agriculture,70.9742,37.79412399939627,4.23096109611039,Summary1.As2,LATVIA,2020,Sector,,
"4.  Land use, land-use change and forestry  (4)",-606.1464419747693,30.1811066912,2.122898,Summary1.As2,LATVIA,2020,Sector,,
