GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
"4.  Land use, land-use change and forestry  (4)",-6340.85333333334,0.52,1.193,Summary1.As2,KAZAKHSTAN,1993,Sector,,,
5.  Waste,,133.395,0.91,Summary1.As2,KAZAKHSTAN,1993,Sector,,,
3.  Agriculture,52.23,826.21098,97.62938,Summary1.As2,KAZAKHSTAN,1994,Sector,,,
"4.  Land use, land-use change and forestry  (4)",3340.5933333333355,1.72,3.467,Summary1.As2,KAZAKHSTAN,1994,Sector,,,
5.  Waste,,129.325,0.89,Summary1.As2,KAZAKHSTAN,1994,Sector,,,
3.  Agriculture,39.19,711.67613,108.4305,Summary1.As2,KAZAKHSTAN,1995,Sector,,,
"4.  Land use, land-use change and forestry  (4)",16424.933333333345,8.19,4.015,Summary1.As2,KAZAKHSTAN,1995,Sector,,,
5.  Waste,,127.23,0.88,Summary1.As2,KAZAKHSTAN,1995,Sector,,,
3.  Agriculture,26.14,549.65499,118.89189,Summary1.As2,KAZAKHSTAN,1996,Sector,,,
"4.  Land use, land-use change and forestry  (4)",22293.52000000002,3.42,3.613,Summary1.As2,KAZAKHSTAN,1996,Sector,,,
5.  Waste,,127.751,0.88,Summary1.As2,KAZAKHSTAN,1996,Sector,,,
3.  Agriculture,13.1,452.49894,132.20952,Summary1.As2,KAZAKHSTAN,1997,Sector,,,
"4.  Land use, land-use change and forestry  (4)",40837.29000000003,22.87,4.989,Summary1.As2,KAZAKHSTAN,1997,Sector,,,
5.  Waste,,127.643,0.86,Summary1.As2,KAZAKHSTAN,1997,Sector,,,
3.  Agriculture,0.06,426.3795,147.13632,Summary1.As2,KAZAKHSTAN,1998,Sector,,,
"4.  Land use, land-use change and forestry  (4)",41051.833333333365,4.79,3.733,Summary1.As2,KAZAKHSTAN,1998,Sector,,,
5.  Waste,,128.102,0.84,Summary1.As2,KAZAKHSTAN,1998,Sector,,,
3.  Agriculture,0.17,450.05006,165.59011,Summary1.As2,KAZAKHSTAN,1999,Sector,,,
"4.  Land use, land-use change and forestry  (4)",39845.15000000003,8.14,1.882,Summary1.As2,KAZAKHSTAN,1999,Sector,,,
5.  Waste,,128.633,0.83,Summary1.As2,KAZAKHSTAN,1999,Sector,,,
3.  Agriculture,0.08,458.56127,198.51096,Summary1.As2,KAZAKHSTAN,2000,Sector,,,
"4.  Land use, land-use change and forestry  (4)",42100.03000000004,5.06,1.625,Summary1.As2,KAZAKHSTAN,2000,Sector,,,
5.  Waste,,130.605,0.83,Summary1.As2,KAZAKHSTAN,2000,Sector,,,
3.  Agriculture,0.07,468.63239,175.82352,Summary1.As2,KAZAKHSTAN,2001,Sector,,,
"4.  Land use, land-use change and forestry  (4)",56282.82333333338,7.34,1.817,Summary1.As2,KAZAKHSTAN,2001,Sector,,,
5.  Waste,,133.86,0.82,Summary1.As2,KAZAKHSTAN,2001,Sector,,,
3.  Agriculture,0.06,498.19422,153.35735,Summary1.As2,KAZAKHSTAN,2002,Sector,,,
"4.  Land use, land-use change and forestry  (4)",58977.47666666672,5.77,1.684,Summary1.As2,KAZAKHSTAN,2002,Sector,,,
5.  Waste,,132.372,0.83,Summary1.As2,KAZAKHSTAN,2002,Sector,,,
3.  Agriculture,0.06,533.57342,130.90778,Summary1.As2,KAZAKHSTAN,2003,Sector,,,
"4.  Land use, land-use change and forestry  (4)",67670.16000000005,13.54,2.343,Summary1.As2,KAZAKHSTAN,2003,Sector,,,
5.  Waste,,133.117,0.85,Summary1.As2,KAZAKHSTAN,2003,Sector,,,
3.  Agriculture,0.24,567.31242,108.06062,Summary1.As2,KAZAKHSTAN,2004,Sector,,,
"4.  Land use, land-use change and forestry  (4)",72772.16000000006,6.49,0.663,Summary1.As2,KAZAKHSTAN,2004,Sector,,,
5.  Waste,,136.22,0.86,Summary1.As2,KAZAKHSTAN,2004,Sector,,,
3.  Agriculture,0.25,594.56741,85.39857,Summary1.As2,KAZAKHSTAN,2005,Sector,,,
"4.  Land use, land-use change and forestry  (4)",82851.47666666674,5.05,0.607,Summary1.As2,KAZAKHSTAN,2005,Sector,,,
5.  Waste,,138.774,0.87,Summary1.As2,KAZAKHSTAN,2005,Sector,,,
3.  Agriculture,0.13,623.66657,63.0439,Summary1.As2,KAZAKHSTAN,2006,Sector,,,
"4.  Land use, land-use change and forestry  (4)",95802.29666666676,9.15,0.96,Summary1.As2,KAZAKHSTAN,2006,Sector,,,
5.  Waste,0.004,144.15900282,0.90000282,Summary1.As2,KAZAKHSTAN,2006,Sector,,,
3.  Agriculture,0.15,644.69638,61.77729,Summary1.As2,KAZAKHSTAN,2007,Sector,,,
"4.  Land use, land-use change and forestry  (4)",84399.09000000007,6.99,0.657,Summary1.As2,KAZAKHSTAN,2007,Sector,,,
5.  Waste,0.595,146.177406,0.920406,Summary1.As2,KAZAKHSTAN,2007,Sector,,,
3.  Agriculture,0.56,663.92548,58.80244,Summary1.As2,KAZAKHSTAN,2008,Sector,,,
"4.  Land use, land-use change and forestry  (4)",77602.07666666673,1.44,0.301,Summary1.As2,KAZAKHSTAN,2008,Sector,,,
5.  Waste,0.88,150.7436,0.9506,Summary1.As2,KAZAKHSTAN,2008,Sector,,,
3.  Agriculture,0.23,675.22602,57.36114,Summary1.As2,KAZAKHSTAN,2009,Sector,,,
"4.  Land use, land-use change and forestry  (4)",70457.50666666673,0.91,0.078,Summary1.As2,KAZAKHSTAN,2009,Sector,,,
5.  Waste,7.904,159.661398,0.985398,Summary1.As2,KAZAKHSTAN,2009,Sector,,,
3.  Agriculture,0.68,690.36602,54.11414,Summary1.As2,KAZAKHSTAN,2010,Sector,,,
"4.  Land use, land-use change and forestry  (4)",65466.92000000006,1.85,0.155,Summary1.As2,KAZAKHSTAN,2010,Sector,,,
5.  Waste,8.482,166.193793,1.015793,Summary1.As2,KAZAKHSTAN,2010,Sector,,,
3.  Agriculture,2.47,650.92657,52.3969,Summary1.As2,KAZAKHSTAN,2011,Sector,,,
"4.  Land use, land-use change and forestry  (4)",49081.040000000045,0.97,0.079,Summary1.As2,KAZAKHSTAN,2011,Sector,,,
5.  Waste,6.73,166.353596,1.024596,Summary1.As2,KAZAKHSTAN,2011,Sector,,,
3.  Agriculture,0.72,657.38629,48.78601,Summary1.As2,KAZAKHSTAN,2012,Sector,,,
"4.  Land use, land-use change and forestry  (4)",34473.653333333365,0.66,0.046,Summary1.As2,KAZAKHSTAN,2012,Sector,,,
5.  Waste,6.196,171.672232,1.044232,Summary1.As2,KAZAKHSTAN,2012,Sector,,,
3.  Agriculture,0.2,677.90623,46.39483,Summary1.As2,KAZAKHSTAN,2013,Sector,,,
"4.  Land use, land-use change and forestry  (4)",19126.870000000017,0.12,0.008,Summary1.As2,KAZAKHSTAN,2013,Sector,,,
5.  Waste,7.651,175.926225,1.045225,Summary1.As2,KAZAKHSTAN,2013,Sector,,,
3.  Agriculture,0.55,706.58675,48.45549,Summary1.As2,KAZAKHSTAN,2014,Sector,,,
"4.  Land use, land-use change and forestry  (4)",19257.690000000017,1.41,0.125,Summary1.As2,KAZAKHSTAN,2014,Sector,,,
