Main_Category,Sub_Category,Detail_Category,Year,CO2 (kt),CH4,N2O
Total national emissions and removals,Agriculture,D.  Agricultural soils,2016,0.0,0.0,42.41200435358408
Total national emissions and removals,Agriculture,D.  Agricultural soils,2017,0.0,0.0,43.611544543846
Total national emissions and removals,Agriculture,D.  Agricultural soils,2018,0.0,0.0,43.04693070129677
Total national emissions and removals,Agriculture,D.  Agricultural soils,2019,0.0,0.0,43.36841714933674
Total national emissions and removals,Agriculture,D.  Agricultural soils,2020,0.0,0.0,40.25135986335876
Total national emissions and removals,Agriculture,D.  Agricultural soils,2021,0.0,0.0,41.50632602387719
Total national emissions and removals,Agriculture,F.  Field burning of agricultural residues,1990,0.0,7.46282683056716,0.1934806956073
Total national emissions and removals,Agriculture,F.  Field burning of agricultural residues,1991,0.0,6.56362189372771,0.17016797502258
Total national emissions and removals,Agriculture,F.  Field burning of agricultural residues,1992,0.0,4.80124115292486,0.12447662248324
Total national emissions and removals,Agriculture,F.  Field burning of agricultural residues,1993,0.0,0.1603986102603,0.00415848248823
Total national emissions and removals,Agriculture,G. Liming,1990,1016.4167639794516,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1991,1016.4167639794516,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1992,1016.4167639794516,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1993,890.4238392064632,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1994,890.6279511511387,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1995,911.7815067764476,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1996,1072.2987376876547,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1997,886.5795008373989,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1998,817.735351240372,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,1999,768.7174913770759,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2000,827.425445409049,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2001,679.6425199195832,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2002,540.709542313458,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2003,781.966575445492,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2004,1103.4092737867866,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2005,1380.4510049826836,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2006,1392.3436535723122,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2007,1386.3679899186209,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2008,1387.7286215308511,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2009,1334.760300243749,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2010,1270.7968853770765,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2011,1224.889178036209,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2012,1176.525891295285,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2013,1094.8384574119088,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2014,1072.2562172342186,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2015,1018.3743143698076,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2016,1016.3590527362204,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2017,933.7029908357638,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2018,983.063121106458,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2019,1112.7318813930306,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2020,1117.2841604349264,0.0,0.0
Total national emissions and removals,Agriculture,G. Liming,2021,1175.4852596177177,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1990,292.9543696691042,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1991,369.64186970555056,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1992,236.64799472888703,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1993,215.5353833925925,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1994,218.43227507866808,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1995,178.4050347589481,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1996,119.95509699595222,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1997,163.90802590886625,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1998,165.97620635094168,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,1999,158.83944196676083,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2000,142.29494956550886,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2001,176.39767622511465,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2002,225.5166151429262,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2003,185.55100299580891,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2004,223.8525070608788,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2005,186.737666741112,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2006,189.16649435033452,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2007,252.1925040499985,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2008,161.9528722495344,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2009,256.5264504721147,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2010,256.10138525415323,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2011,296.46310414118415,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2012,297.76842952402626,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2013,216.6174282589486,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2014,314.0394959395746,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2015,350.96658094073973,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2016,357.10939029454903,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2017,338.2827057553477,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2018,309.50212192722955,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2019,329.07120580444234,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2020,233.629744150685,0.0,0.0
Total national emissions and removals,Agriculture,H. Urea application,2021,252.09047105257125,0.0,0.0
Total national emissions and removals,Agriculture,J.  Other ,1990,3.54393177339109,10.9502682878003,0.58695228564786
Total national emissions and removals,Agriculture,J.  Other ,1991,3.56340638960483,10.93028357861486,0.58412861014876
Total national emissions and removals,Agriculture,J.  Other ,1992,3.29271362266683,10.93338925120146,0.56576241713621
Total national emissions and removals,Agriculture,J.  Other ,1993,3.23160212339415,10.74638099888986,0.56528631781128
Total national emissions and removals,Agriculture,J.  Other ,1994,3.24759362137874,10.84151721055771,0.58056903021904
Total national emissions and removals,Agriculture,J.  Other ,1995,3.04094937788912,10.84878587735754,0.577547382362
Total national emissions and removals,Agriculture,J.  Other ,1996,3.01027364825692,10.54412552266726,0.55899623188007
Total national emissions and removals,Agriculture,J.  Other ,1997,2.96229791414401,10.80287250374663,0.56641180285022
Total national emissions and removals,Agriculture,J.  Other ,1998,3.04031416556084,11.03007248416594,0.56664327983855
Total national emissions and removals,Agriculture,J.  Other ,1999,3.04544448244289,11.16165692967116,0.57479120900896
Total national emissions and removals,Agriculture,J.  Other ,2000,3.00402424218649,10.86281022858742,0.54079111111768
Total national emissions and removals,Agriculture,J.  Other ,2001,2.96945290513168,10.54908118346932,0.51822198830898
Total national emissions and removals,Agriculture,J.  Other ,2002,3.06376344338543,10.24481671781481,0.50039844715473
Total national emissions and removals,Agriculture,J.  Other ,2003,2.98909331624735,10.08244182154382,0.48423725896424
Total national emissions and removals,Agriculture,J.  Other ,2004,3.21322100001138,9.96870935074573,0.47879989479463
