Main_Category,Sub_Category,Detail_Category,Year,CO2 (kt),CH4,N2O
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2004,-18175.800603954645,3.99825158363305,1.69930526254671
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2005,-18455.910628150395,4.18446197689059,1.69955163165819
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2006,-18752.7210926625,4.18315054805731,1.69001808559822
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2007,-18839.244608896533,4.14294667568457,1.66936474246298
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2008,-19435.14186045025,4.11703546672643,1.64277764715301
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2009,-19613.810595293016,3.80466161957653,1.59604407200776
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2010,-19496.030507943942,4.05681006782752,1.58510799932044
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2011,-19262.84606883337,4.29373982705292,1.59775457003587
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2012,-18378.816479646703,4.36817231027964,1.59881946768833
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2013,-18533.56267758415,4.647421773135,1.60650431079067
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2014,-18687.16431377409,3.76537941562634,1.54175244501358
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2015,-18412.73790237708,3.75689151161006,1.51939366456334
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2016,-18612.501247610307,3.84761821400323,1.50398052052317
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2017,-18645.338935545595,3.81916395358011,1.48352082629489
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2018,-18437.920819136096,4.60305499483541,1.51139821257049
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2019,-18176.358903886023,4.90567308900072,1.51260708544737
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2020,-18195.10967922153,4.19411200194347,1.4596118938672
Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),2021,-18082.24981275609,3.73201573905226,1.42416418541355
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1990,14230.876954181367,11.87016846889981,2.46509349029626
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1991,14225.703683698042,11.85994902427967,2.45531128662272
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1992,14195.849688742212,11.85577733041764,2.44574507006692
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1993,14342.844143492755,11.84100118030523,2.42666718951274
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1994,14325.319961073012,11.82387847452392,2.38961724135211
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1995,14519.87560537917,11.80148879974863,2.34969196346795
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1996,14395.95328040963,11.7824764236187,2.29767194975516
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1997,14361.25037052736,11.77156567121091,2.25139854652353
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1998,14309.950739076014,11.75658367144519,2.1870345850651
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),1999,14249.431748427489,11.74042002573559,2.11495370044062
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2000,14127.289291634956,11.73367703341898,2.03293880953541
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2001,13971.250447459814,11.71428932352081,1.95771753507858
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2002,13885.607257277734,11.69379158349054,1.87757166176888
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2003,13760.352380851506,11.66987668403231,1.81350965844197
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2004,13626.626077398463,11.64243904704031,1.75122763387374
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2005,13449.900576097429,11.62578089413016,1.68341014582452
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2006,13421.785660672442,11.60255722321635,1.62847422052647
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2007,13217.494412997465,11.58435509065206,1.59186104677707
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2008,13027.384401618478,11.56481723819961,1.56019384230293
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2009,13246.193435664269,11.54806721330485,1.52343970510535
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2010,13175.335113102365,11.53271069712535,1.48451309212834
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2011,13092.924997911086,11.51237111501495,1.46732850347061
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2012,13103.592718229056,11.49729144367675,1.44955090823976
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2013,12945.964489981065,11.48155295518105,1.41528422200382
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2014,12865.825958124744,11.46638686668535,1.39348387096494
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2015,12749.229792327083,11.45103717818955,1.37685609045189
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2016,12804.1919389026,11.43433748969385,1.36998167389995
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2017,12763.63521070954,11.41850180119815,1.35546302321695
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2018,12680.045771334078,11.41052851270245,1.33328765233569
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2019,12666.282030888928,11.38848282420675,1.33034791069755
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2020,12696.554988584574,11.37231233571105,1.33716159182762
Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),2021,12690.210156420251,11.35554784721525,1.33840579663823
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1990,-618.7529639992829,100.25169886799864,0.08677754963568
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1991,-687.4543698384172,99.89774947808672,0.08439689022248
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1992,-806.9337463717778,99.57610091467954,0.0820383199192
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1993,-963.8176831323826,99.32783870186962,0.08112891815813
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1994,-1134.5017252780513,98.99123323767036,0.07919828709115
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1995,-1154.043982499684,98.71752182926618,0.07815970142156
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1996,-1333.628129146921,98.44178225127442,0.077380253184
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1997,-1449.6354756266817,98.20223619277434,0.0768345431671
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1998,-1549.4823578236735,97.95302204540226,0.07321429629102
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),1999,-1004.2862276636724,97.729640142031,0.07161281083618
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2000,-478.72410798537567,98.21186716258342,0.1058951843825
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2001,-459.5513709480962,98.22841210461615,0.09899161069851
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2002,-637.8679418942104,98.32842195678872,0.10493857152656
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2003,-675.392193941969,99.45003997319048,0.19585286295439
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2004,-1015.4563700434912,98.3689897923117,0.09622329453732
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2005,-1053.1037412172716,98.63017181744254,0.10629713074481
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2006,-1149.7825620896433,98.71803189339344,0.10656399985428
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2007,-1104.838424297988,99.27481786809774,0.13751025798608
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2008,-1241.0570864529263,99.00670381627914,0.10205070471242
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2009,-1331.3903945009304,99.3044148082802,0.1122629343347
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2010,-1407.84288194806,99.7736559804216,0.13716972167586
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2011,-1813.0318555484923,100.22486961053814,0.16618494983761
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2012,-1827.261569696116,99.73503935171044,0.10057520065699
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2013,-1930.5881695061416,100.0280176536094,0.11243684148566
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2014,-1864.9697421492615,100.28942205516252,0.11379911880687
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2015,-2320.2264213093617,100.30071770039989,0.10165911866469
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2016,-2137.299233707546,100.68044180760802,0.11299810586015
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2017,-2307.0384522374875,100.82853222747325,0.11136370576694
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2018,-2483.201363082804,101.09665586318027,0.11380616287991
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2019,-2716.959988773792,101.57485940693984,0.13131693966337
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2020,-2659.7882728360014,101.75945072896464,0.11131243637064
Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),2021,-2738.52950780123,102.19301654508205,0.11465060176247
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1990,668.771306501126,82.6157463124651,0.07130350057994
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1991,697.0377785478196,82.64028011635197,0.07107656266983
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1992,649.5706225756257,82.66484582387669,0.0708496152824
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1993,632.1094414084321,82.68938008177302,0.07062221718047
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1994,739.4394465041241,82.71388289004078,0.07039436836406
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1995,826.0298291340741,82.7383542486802,0.07016606883313
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1996,710.2643606939916,82.76279415769113,0.06993731858772
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1997,636.9166338310508,82.78722051253482,0.06970837409328
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1998,505.92783349617895,82.81163331321137,0.0694792353498
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),1999,630.802993881389,82.83603255972073,0.06924990235732
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2000,693.1241603683898,82.9817296139997,0.07368827012673
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2001,730.6698622422101,83.07520477908974,0.07363642990257
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2002,530.5245648820734,83.16866025141336,0.073583806749
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2003,782.1154365138126,83.25514067437474,0.07385880990637
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2004,626.7327871632759,83.34058547156414,0.0741437356565
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2005,698.3373518018684,83.42600739176159,0.07442770232855
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2006,731.1975775049143,83.51074093742582,0.07451300625592
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2007,616.8990772818406,83.59545194987113,0.07459706141008
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2008,601.3358146984801,83.68014600543235,0.07468017626919
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2009,637.2199186255302,83.76479538724456,0.07476081755982
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2010,675.7804675294459,83.8094664180452,0.07482199319246
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2011,641.2871181106099,83.83921577927917,0.0749662848965
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2012,617.2376326963314,83.86838591636887,0.07507853215914
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2013,708.8211107599093,83.82437550097644,0.07210652877131
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2014,554.062642448371,83.81321005844966,0.07123168968001
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2015,1250.5897494393537,84.84728939421561,0.11465527847123
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2016,610.9892825433128,84.20891709291303,0.07667420413525
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2017,563.3149508289135,84.21273969435212,0.07533254508108
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2018,914.617731635056,84.91481874463184,0.0987980934638
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2019,1303.1046937134872,85.6405502792482,0.12322497650608
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2020,613.5926518624914,85.01393151223442,0.08233794073611
Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),2021,550.1098665828445,85.07171049924789,0.08081944648964
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1990,5426.53467899998,0.14650627053711,1.47876170366521
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1991,5321.860489882822,0.13994508456921,1.45143708485841
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1992,5220.711293515785,0.13307742541389,1.42639031861799
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1993,5126.087215896041,0.1321715687805,1.39957274253058
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1994,5038.654028895878,0.13722761590726,1.37632539822753
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1995,4956.6301202531085,0.12674713210852,1.3513244357025
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1996,4818.817176024591,0.14296581049303,1.31313354301359
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1997,4802.364294608241,0.16280997654696,1.30259306024566
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1998,4677.284892811196,0.16528269745915,1.26875450980436
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),1999,4585.934574681132,0.21099239950762,1.23560049005733
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2000,4344.7836294110375,0.07945151415683,1.1871696126875
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2001,4168.491351170762,0.06780872082933,1.14454426317794
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2002,4090.064064346532,0.08209859506166,1.12094846333167
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2003,4126.201005506896,0.1600071235337,1.11289019031905
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2004,4188.670491768241,0.26320758189604,1.10721228681117
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2005,4151.669118742511,0.26094102818831,1.09653876848502
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2006,3912.9479472829535,0.09157587390082,1.0627180449987
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2007,4046.200033349402,0.14128889091451,1.04874434163543
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2008,3890.2170794145113,0.17360597752052,1.03804175525269
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2009,3775.847532753908,0.14536525985009,1.01389460826816
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2010,3894.755138044609,0.31976600229364,1.00666636248981
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2011,3792.272865217908,0.28478892877946,0.98909790887755
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2012,3721.696472809693,0.2678589795261,0.97177605225589
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2013,3648.966714365621,0.26161776870198,0.95276285608932
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2014,3541.42191783431,0.20637497680278,0.93221263096383
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2015,3560.05406868144,0.28981445534025,0.92488871732872
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2016,3945.808059079469,0.67121959856712,0.95074624253396
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2017,3807.25025742762,0.51956448390646,0.94097490713751
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2018,3946.267208182184,0.62104649253556,0.95748215522682
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2019,3888.406577337951,0.53776795592259,0.95901816945615
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2020,3804.910297143161,0.40128448343558,0.96249799454904
Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),2021,3799.2877835785366,0.40453004463654,0.9595563190218
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1990,-2096.170412772249,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1991,-1897.381750712655,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1992,-1931.1365478223136,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1993,-1986.195390489751,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1994,-2204.827068790923,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1995,-2270.279894165468,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1996,-2212.705496198958,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1997,-2389.648011617133,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1998,-2287.2686980316503,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,1999,-2522.136534568543,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2000,-2776.2344427623766,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2001,-2606.149151937916,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2002,-2560.3457607767523,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2003,-2690.59732251012,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2004,-2505.934446092534,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2005,-2407.801068978303,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2006,-2155.6239829568703,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2007,-2273.530230859036,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2008,-1973.559809759785,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2009,-1897.4721272431527,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2010,-2096.811805681863,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2011,-2320.420524503375,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2012,-2892.135514627432,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2013,-2551.3516655549747,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2014,-2462.897599683014,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2015,-2699.9601280204047,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2016,-2422.680786304414,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2017,-2237.361426842383,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2018,-2120.226783287557,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2019,-2192.1547848764703,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2020,-1994.1359858324029,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,2021,-2037.455309454906,0.0,0.0
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1990,0.0,0.53312632012323,0.42378365267333
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1991,0.0,0.53037566581983,0.42246024075145
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1992,0.0,0.53112389843246,0.42126457987319
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1993,0.0,0.5276371099834,0.42028529800857
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1994,0.0,0.52467726399359,0.41907777772059
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1995,0.0,0.5207692077326,0.4180416117172
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1996,0.0,0.51986851437612,0.41713430123252
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1997,0.0,0.51876109171589,0.41621412585694
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1998,0.0,0.51800111503449,0.4153316829441
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),1999,0.0,0.51665728554984,0.41452120260802
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2000,0.0,0.51406370609434,0.41311328287149
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2001,0.0,0.50968389321489,0.41123992264082
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2002,0.0,0.50902433674393,0.40898897795844
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2003,0.0,0.51159063518282,0.40642244905935
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2004,0.0,0.51688800977998,0.4037584399116
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2005,0.0,0.52273399274237,0.4010212686535
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2006,0.0,0.52247050528534,0.39861119637754
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2007,0.0,0.52323360199762,0.39665976681756
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2008,0.0,0.52578130458678,0.3945713610011
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2009,0.0,0.52827811383106,0.39262882674591
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2010,0.0,0.53240698038673,0.39068491627654
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2011,0.0,0.5361035146938,0.38830579707406
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2012,0.0,0.53969584672854,0.38603693096206
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2013,0.0,0.54449590711541,0.38495912900396
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2014,0.0,0.54780791368316,0.38388676980118
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2015,0.0,0.55144294446643,0.38194873990564
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2016,0.0,0.56048479324044,0.37999430114148
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2017,0.0,0.56897393318741,0.37876232086528
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2018,0.0,0.57776742213784,0.37696095780435
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2019,0.0,0.58621577843038,0.37475919970842
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2020,0.0,0.59418080503391,0.37210340824343
Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),2021,0.0,0.60213649432507,0.36902195388868
Total national emissions and removals,Waste,5.  Waste,1990,1445.1711054254847,2508.368963713426,3.2836697786173
Total national emissions and removals,Waste,5.  Waste,1991,1413.9562295202718,2533.9213916161984,3.31037496310122
Total national emissions and removals,Waste,5.  Waste,1992,1408.0338995909156,2539.285596165915,3.46097799976552
Total national emissions and removals,Waste,5.  Waste,1993,1357.3670305573405,2561.8922034546567,3.50481161548283
Total national emissions and removals,Waste,5.  Waste,1994,1163.283836442643,2583.721209193771,3.55290797548022
Total national emissions and removals,Waste,5.  Waste,1995,1130.1359570419413,2626.220293526916,3.63852317979151
Total national emissions and removals,Waste,5.  Waste,1996,1137.1148666002075,2635.5697451162005,3.7673696937774
Total national emissions and removals,Waste,5.  Waste,1997,730.1345457801694,2631.7328176889914,3.81431996263382
Total national emissions and removals,Waste,5.  Waste,1998,734.118553929963,2587.9950037190024,3.95283236716829
Total national emissions and removals,Waste,5.  Waste,1999,683.7176300660886,2474.727537118951,3.9574142829742
Total national emissions and removals,Waste,5.  Waste,2000,709.6248054484236,2369.6580134540804,4.12757377325753
Total national emissions and removals,Waste,5.  Waste,2001,646.1555472784232,2303.211179097288,4.11266942840248
Total national emissions and removals,Waste,5.  Waste,2002,632.5699765241154,2258.5890759076888,4.19274949116647
Total national emissions and removals,Waste,5.  Waste,2003,611.6439454876187,2115.226908599903,4.18819252488014
Total national emissions and removals,Waste,5.  Waste,2004,592.887656019839,1942.1015636571613,4.23317390757207
Total national emissions and removals,Waste,5.  Waste,2005,539.2044098749911,1839.173091480709,4.3554145459438
Total national emissions and removals,Waste,5.  Waste,2006,383.9601106633848,1726.390745002819,4.44146835522859
Total national emissions and removals,Waste,5.  Waste,2007,453.0504957286163,1600.5010866590949,4.60284643220396
Total national emissions and removals,Waste,5.  Waste,2008,400.74986468622586,1423.1785408570554,4.50953840008421
Total national emissions and removals,Waste,5.  Waste,2009,370.1828753220255,1267.4021261993048,4.734188571087
Total national emissions and removals,Waste,5.  Waste,2010,353.83329240480685,1080.3205561105888,5.0631492344744
Total national emissions and removals,Waste,5.  Waste,2011,332.10664622766666,997.515687130376,5.2284437808298
Total national emissions and removals,Waste,5.  Waste,2012,325.7505661584421,938.0312713033042,5.23667761836157
Total national emissions and removals,Waste,5.  Waste,2013,321.731445951787,821.4052816685993,5.33237286848082
Total national emissions and removals,Waste,5.  Waste,2014,327.63604233315,733.9403028114624,5.55543960634195
Total national emissions and removals,Waste,5.  Waste,2015,311.0210443659128,709.0465023087736,5.61056084713771
Total national emissions and removals,Waste,5.  Waste,2016,324.0463648379365,678.5160977002844,5.6841749191837
Total national emissions and removals,Waste,5.  Waste,2017,311.80816638370766,691.612189319218,5.8767463264186
Total national emissions and removals,Waste,5.  Waste,2018,305.8660426724512,694.1777914495373,5.79101490908265
Total national emissions and removals,Waste,5.  Waste,2019,302.48052153215804,683.2867562904369,5.87983938797727
Total national emissions and removals,Waste,5.  Waste,2020,306.22363852389003,629.4718664723728,5.84192187887006
Total national emissions and removals,Waste,5.  Waste,2021,335.70365281285507,613.195321610275,6.03533756319182
