GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Main_Category,Sub_Category,Detail_Category,CO2 (kt),CH4,N2O,Year
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2270.279894165468,,,1995
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.5207692077326,0.4180416117172,1995
5.  Waste,Total national emissions and removals,Waste,5.  Waste,1130.1359570419413,2626.220293526916,3.63852317979151,1995
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2530.5140480793166,,1995
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,5.37484955903185,0.32205365906232,1995
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1130.1359570419413,5.4466883429997,0.203623456095,1995
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,84.88470754556784,3.11284606463419,1995
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1195.2641083318638,1181.5527555243875,62.65555277955896,1996
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,997.7003618589164,,1996
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,173.30826814280388,11.84862033377254,1996
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,50.24793621390635,1996
G. Liming,Total national emissions and removals,Agriculture,G. Liming,1072.2987376876547,,,1996
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,119.95509699595222,,,1996
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,3.01027364825692,10.54412552266726,0.55899623188007,1996
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",477.1863477679066,197.66351128784328,6.74716244705503,1996
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-15901.514844014428,4.01362413038988,1.64711357015318,1996
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14395.95328040963,11.7824764236187,2.29767194975516,1996
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1333.628129146921,98.44178225127442,0.077380253184,1996
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),710.2643606939916,82.76279415769113,0.06993731858772,1996
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4818.817176024591,0.14296581049303,1.31313354301359,1996
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2212.705496198958,,,1996
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.51986851437612,0.41713430123252,1996
5.  Waste,Total national emissions and removals,Waste,5.  Waste,1137.1148666002075,2635.5697451162005,3.7673696937774,1996
A.  Solid waste disposal (5),Total national emissions and removals,Waste,A.  Solid waste disposal (5),,2538.4838750601984,,1996
B.  Biological treatment of solid waste (5),Total national emissions and removals,Waste,B.  Biological treatment of solid waste (5),,6.29290848612487,0.3771371946879,1996
C.  Incineration and open burning of waste (5),Total national emissions and removals,Waste,C.  Incineration and open burning of waste (5),1137.1148666002075,5.53922896511617,0.21197478985803,1996
D.  Wastewater treatment and discharge,Total national emissions and removals,Waste,D.  Wastewater treatment and discharge,,85.25373260476093,3.17825770923147,1996
3.  Agriculture,Total national emissions and removals,Agriculture,3.  Agriculture,1053.4498246604091,1173.2121091677154,63.49466448610236,1997
A.  Enteric fermentation,Total national emissions and removals,Agriculture,A.  Enteric fermentation,,989.1059098007648,,1997
B.  Manure management,Total national emissions and removals,Agriculture,B.  Manure management,,173.30332686320406,12.02929450728553,1997
D.  Agricultural soils,Total national emissions and removals,Agriculture,D.  Agricultural soils,,,50.89895817596661,1997
G. Liming,Total national emissions and removals,Agriculture,G. Liming,886.5795008373989,,,1997
H. Urea application,Total national emissions and removals,Agriculture,H. Urea application,163.90802590886625,,,1997
J.  Other ,Total national emissions and removals,Agriculture,J.  Other ,2.96229791414401,10.80287250374663,0.56641180285022,1997
"4.  Land use, land-use change and forestry  (4)",Total national emissions and removals,"Land use, land-use change and forestry","4.  Land use, land-use change and forestry  (4)",-62.95978519572293,197.613116820238,6.70474258980002,1997
A. Forest land (4),Total national emissions and removals,"Land use, land-use change and forestry",A. Forest land (4),-16024.207596918564,4.17052337545512,1.67384727596229,1997
B. Cropland (4),Total national emissions and removals,"Land use, land-use change and forestry",B. Cropland (4),14361.25037052736,11.77156567121091,2.25139854652353,1997
C. Grassland (4),Total national emissions and removals,"Land use, land-use change and forestry",C. Grassland (4),-1449.6354756266817,98.20223619277434,0.0768345431671,1997
D. Wetlands (4),Total national emissions and removals,"Land use, land-use change and forestry",D. Wetlands (4),636.9166338310508,82.78722051253482,0.06970837409328,1997
E. Settlements (4),Total national emissions and removals,"Land use, land-use change and forestry",E. Settlements (4),4802.364294608241,0.16280997654696,1.30259306024566,1997
G. Harvested wood products ,Total national emissions and removals,"Land use, land-use change and forestry",G. Harvested wood products ,-2389.648011617133,,,1997
H. Other  (4),Total national emissions and removals,"Land use, land-use change and forestry",H. Other  (4),,0.51876109171589,0.41621412585694,1997
5.  Waste,Total national emissions and removals,Waste,5.  Waste,730.1345457801694,2631.7328176889914,3.81431996263382,1997
