GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
                                           Sectoral approach(2),57676.8555195,13.3182740645,1.727181978,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
1.  Energy industries,35909.299165,1.06716504,0.19126367,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3827.9565565,0.13682503,0.024032706,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
3.  Transport,7464.8846855,1.9956702795,0.711517568,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
4.  Other sectors,9513.5697465,9.485129815,0.793398948,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
5.  Other,961.145366,0.6334839,0.006969086,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.16748300168534,101.1893535733945,9.88e-07,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.16748300168534,101.1893535733945,9.88e-07,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
A.  Mineral industry,1204.9839128222427,,,Summary1.As1,BLR,1996,Subsector,1. Energy,,,
C.  Metal industry,70.872,0.79731,,Summary1.As1,BLR,1996,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,7.3192944,,,Summary1.As1,BLR,1996,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,1996,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,1996,Subsector,2.  Industrial processes and product use,1.194366691038,,
G.  Other product manufacture and use ,,,0.194,Summary1.As1,BLR,1996,Subsector,2.  Industrial processes and product use,,,4.9e-07
H.  Other(3),,,,Summary1.As1,BLR,1996,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),52639.435541004445,,,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
                                           Sectoral approach(2),57131.217066,13.5809919545,1.730497532,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
1.  Energy industries,36715.4680175,1.01273861,0.180557292,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3840.5340575,0.14521951,0.02456791,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
3.  Transport,7851.9332505,2.1160813645,0.758113028,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
4.  Other sectors,7937.538457,9.70965887,0.761516274,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
5.  Other,785.7432834999998,0.5972936,0.005743028,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.24662805780868,104.8516349587156,9.12e-07,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.24662805780868,104.8516349587156,9.12e-07,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
A.  Mineral industry,1479.9930960322702,,,Summary1.As1,BLR,1997,Subsector,1. Energy,,,
