GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
A. Fuel combustion     Reference approach(2),52154.7815116839,,,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
                                           Sectoral approach(2),56024.8387521,11.79328838805,1.86376028358,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
1.  Energy industries,31578.3294605,1.293487869,0.1699374653,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4771.41223585,0.3480967566,0.0541892074,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
3.  Transport,12030.77275,2.39428169945,0.7480291178,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
4.  Other sectors,6595.267085449999,7.358226423,0.8831022678,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
5.  Other,1049.0572203000002,0.39919564,0.00850222528,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.33348003659171,110.86485531424486,1.00887872e-06,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.33348003659171,110.86485531424486,1.00887872e-06,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
A.  Mineral industry,2828.2501538082247,,,Summary1.As1,BLR,2019,Subsector,1. Energy,,,
C.  Metal industry,217.4164,2.4459345,,Summary1.As1,BLR,2019,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,32.4529005768,,,Summary1.As1,BLR,2019,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2019,Subsector,2.  Industrial processes and product use,1.8475226207295,11.18585389093683,0.000124491939
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2019,Subsector,2.  Industrial processes and product use,189.16609652373893,,
G.  Other product manufacture and use ,,,0.127,Summary1.As1,BLR,2019,Subsector,2.  Industrial processes and product use,,,0.00029946635
H.  Other(3),,,,Summary1.As1,BLR,2019,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),48106.99356498766,,,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
                                           Sectoral approach(2),53031.66515735,11.06893992125,1.78359985844,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
1.  Energy industries,30300.1232595,1.395280378,0.1869429364,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4605.510807799999,0.3575333068,0.055283407,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
3.  Transport,10833.296331,2.16258965945,0.6668470378,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
4.  Other sectors,6488.10088185,6.860498257,0.868078657,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
5.  Other,804.6338772000001,0.29303832,0.00644782024,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.23259712803805,114.00929928668558,1.00222644e-06,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.23259712803805,114.00929928668558,1.00222644e-06,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
A.  Mineral industry,2848.361989975472,,,Summary1.As1,BLR,2020,Subsector,1. Energy,,,
C.  Metal industry,204.77,2.304,,Summary1.As1,BLR,2020,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,28.2295,,,Summary1.As1,BLR,2020,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2020,Subsector,2.  Industrial processes and product use,1.759962053115,10.65571709858916,0.00011859183
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2020,Subsector,2.  Industrial processes and product use,199.2233264564884,,
G.  Other product manufacture and use ,,,0.107,Summary1.As1,BLR,2020,Subsector,2.  Industrial processes and product use,,,0.00034304195
H.  Other(3),,,,Summary1.As1,BLR,2020,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),50006.091969634326,,,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
                                           Sectoral approach(2),54860.0337612,12.465514707,1.80199268944,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
1.  Energy industries,31306.442322,1.509040242,0.2021170688,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,4538.9729259000005,0.367722671,0.056352608,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
3.  Transport,10881.170023,2.221180664,0.672255434,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
4.  Other sectors,7099.4248726,8.008218915,0.862909417,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
5.  Other,1034.0236177,0.359352215,0.00835816164,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.38208438,112.2615883823,9.04408e-07,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.38208438,112.2615883823,9.04408e-07,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
A.  Mineral industry,2772.0936936000003,,,Summary1.As1,BLR,2021,Subsector,1. Energy,,,
C.  Metal industry,197.89,2.226,,Summary1.As1,BLR,2021,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,31.5898,,,Summary1.As1,BLR,2021,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2021,Subsector,2.  Industrial processes and product use,1.7404086585,10.5373307061,0.00011727426
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2021,Subsector,2.  Industrial processes and product use,207.222228307265,,
G.  Other product manufacture and use ,,,0.0991,Summary1.As1,BLR,2021,Subsector,2.  Industrial processes and product use,,,0.000343
H.  Other(3),,,,Summary1.As1,BLR,2021,Subsector,2.  Industrial processes and product use,,,
A.  Enteric fermentation,,481.1243049971376,,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
B.  Manure management,,36.16205224485443,4.57839646132413,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,44.0175810566684,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
G. Liming,2297.328,,,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
H. Urea application,158.2292066666667,,,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
A. Forest land (4),-41333.924155666704,0.316889088,0.0462667503,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
B. Cropland (4),20300.463333333348,,,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
D. Wetlands (4),49.50000000000004,,0.0106,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
E. Settlements (4),-5991.479949809498,,,Summary1.As2,BLR,1990,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,68.16040722099268,,Summary1.As2,BLR,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),24.09870013505315,2.52050784e-06,0.00122351595504,Summary1.As2,BLR,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,105.46100835770812,0.49844834794857,Summary1.As2,BLR,1990,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,449.4067812513992,,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
B.  Manure management,,34.42508974613314,4.40992966171346,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,43.12981559253106,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
G. Liming,2033.46,,,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
H. Urea application,158.35321333333334,,,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
A. Forest land (4),-43250.72987266704,0.146496192,0.0375872387,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
B. Cropland (4),20108.14666666669,,,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
D. Wetlands (4),44.36666666666671,,0.0095,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
E. Settlements (4),-4934.321908725979,,,Summary1.As2,BLR,1991,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,68.66353883291367,,Summary1.As2,BLR,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),22.21900152451901,0.00118158839668,0.00112808171055,Summary1.As2,BLR,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,102.99027639942857,0.48458144821429,Summary1.As2,BLR,1991,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,406.09763574930304,,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
B.  Manure management,,31.52983934410765,4.12380853920941,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,38.28763695029403,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
G. Liming,1804.748,,,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
H. Urea application,158.4771466666667,,,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
A. Forest land (4),-42739.74809596671,5.713004672,0.4192415712,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
B. Cropland (4),19908.130000000016,,,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
D. Wetlands (4),42.09333333333337,,0.009,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
E. Settlements (4),-4987.359025326946,,,Summary1.As2,BLR,1992,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,69.13237906869375,,Summary1.As2,BLR,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),20.33930291398486,0.00108161853662,0.00103264746605,Summary1.As2,BLR,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,94.2203448097586,0.47151928041429,Summary1.As2,BLR,1992,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,385.2546494668725,,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
B.  Manure management,,29.24323657242383,3.88800604375243,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,38.92521100303379,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
G. Liming,1462.912,,,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
H. Urea application,158.60115333333334,,,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
A. Forest land (4),-44439.63754333004,0.33351872,0.053907537,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
B. Cropland (4),27512.063333333357,,,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
D. Wetlands (4),38.4266666666667,,0.0082,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
E. Settlements (4),-4834.11760125951,,,Summary1.As2,BLR,1993,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,69.56995958349124,,Summary1.As2,BLR,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),18.45960430345071,0.00098164867656,0.00093721322156,Summary1.As2,BLR,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,89.03305135102771,0.4584022685,Summary1.As2,BLR,1993,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,367.1781686107101,,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
B.  Manure management,,27.50372169860071,3.63980758019851,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,31.71343400400365,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
G. Liming,812.108,,,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
H. Urea application,158.72516000000002,,,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
A. Forest land (4),-46112.81516333338,0.43182656,0.061877451,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
B. Cropland (4),19922.35666666668,,,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
D. Wetlands (4),34.83333333333336,,0.0075,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
E. Settlements (4),-4697.498975734981,,,Summary1.As2,BLR,1994,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,69.97476939847621,,Summary1.As2,BLR,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),16.57990569291657,0.0008816788165,0.00084177897707,Summary1.As2,BLR,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,86.67777865598121,0.4454861598,Summary1.As2,BLR,1994,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,341.71209888740907,,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
B.  Manure management,,25.69096035447704,3.38727691061147,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,29.74144442193383,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
G. Liming,918.5,,,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
H. Urea application,158.84909333333334,,,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
A. Forest land (4),-46840.62616000004,0.84589312,0.091105152,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
B. Cropland (4),19959.50000000002,,,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
D. Wetlands (4),33.07333333333336,,0.0071,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
E. Settlements (4),-4500.622705492412,,,Summary1.As2,BLR,1995,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,70.3789484915072,,Summary1.As2,BLR,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),14.70020708238242,0.00078192410174,0.00074634473258,Summary1.As2,BLR,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,85.45060153583077,0.42994666634857,Summary1.As2,BLR,1995,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,323.1439437983616,,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
B.  Manure management,,24.38526338812793,3.18447747347161,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,31.35607449644452,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
G. Liming,939.356,,,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
H. Urea application,158.87498000000002,,,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
A. Forest land (4),-46071.25841999671,1.08073344,0.108686674,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
B. Cropland (4),19881.913333333352,,,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
D. Wetlands (4),30.87333333333336,,0.0066,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
E. Settlements (4),-4339.589344607987,,,Summary1.As2,BLR,1996,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,70.9060911065992,,Summary1.As2,BLR,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),16.61364387310564,0.00088368829262,0.0008434918994,Summary1.As2,BLR,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,85.97075192812656,0.45308775006,Summary1.As2,BLR,1996,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,317.399371053401,,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
B.  Manure management,,23.72560619611571,3.08185560685529,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,32.71402442780237,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
G. Liming,1129.876,,,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
H. Urea application,158.90079333333333,,,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
A. Forest land (4),-45395.34995666671,0.16706128,0.046909213,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
B. Cropland (4),20115.406666666684,,,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
D. Wetlands (4),24.49333333333336,,0.0052,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
E. Settlements (4),-4333.355795154398,,,Summary1.As2,BLR,1997,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,72.46658945629675,,Summary1.As2,BLR,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),18.52708066382886,0.0009854524835,0.00094063906623,Summary1.As2,BLR,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,87.93728227033586,0.47219505158571,Summary1.As2,BLR,1997,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,314.99439174994365,,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
B.  Manure management,,23.67732518137777,3.0363040181873,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,33.65529876369098,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
G. Liming,1009.8,,,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
H. Urea application,158.92660666666666,,,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
A. Forest land (4),-47913.604783333045,0.1905864,0.047841565,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
B. Cropland (4),24155.010000000024,,,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
D. Wetlands (4),22.80666666666669,,0.0049,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
E. Settlements (4),-4381.146340965259,,,Summary1.As2,BLR,1998,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,73.96322052300299,,Summary1.As2,BLR,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),20.44051745455208,0.00108721667439,0.00103778623306,Summary1.As2,BLR,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,90.03903046535333,0.49618806293571,Summary1.As2,BLR,1998,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,297.59480581670573,,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
B.  Manure management,,23.13159992926336,2.95013446171145,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,30.14652016641221,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
G. Liming,714.78,,,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
H. Urea application,158.95242000000002,,,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
A. Forest land (4),-49249.82859999671,0.6345552,0.08002442,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
B. Cropland (4),19566.763333333354,,,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
D. Wetlands (4),20.82666666666669,,0.0045,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
E. Settlements (4),-4423.742262231462,,,Summary1.As2,BLR,1999,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,75.51692654675753,,Summary1.As2,BLR,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),22.3539542452753,0.00118910894096,0.0011349333999,Summary1.As2,BLR,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,91.1617671264962,0.51649159829143,Summary1.As2,BLR,1999,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,284.25710178751785,,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
B.  Manure management,,22.14517179073233,2.82881140257039,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,30.20280564052343,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
G. Liming,641.212,,,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
H. Urea application,158.97823333333338,,,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
A. Forest land (4),-50542.62476666338,0.3669792,0.06240357,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
B. Cropland (4),19675.51666666669,,,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
D. Wetlands (4),19.36000000000002,,0.0041,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
E. Settlements (4),-4371.276554330407,,,Summary1.As2,BLR,2000,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,77.3375548535018,,Summary1.As2,BLR,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),26.525439238653,0.00141086814411,0.00134672401172,Summary1.As2,BLR,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,93.35047578340809,0.51578901455714,Summary1.As2,BLR,2000,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,284.90092933531844,,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
B.  Manure management,,21.86457898819,2.78473445241206,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,29.23387674579388,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
G. Liming,706.86,,,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
H. Urea application,157.94511333333335,,,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
A. Forest land (4),-49239.43346333338,0.14731216,0.042963961,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
B. Cropland (4),19576.370000000017,,,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
D. Wetlands (4),18.18666666666668,,0.0039,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
E. Settlements (4),-4369.718166967009,,,Summary1.As2,BLR,2001,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,79.20282586848225,,Summary1.As2,BLR,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),28.987,0.0015418,0.0015417,Summary1.As2,BLR,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,88.34992244986655,0.52344728692143,Summary1.As2,BLR,2001,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,279.7914325648764,,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
B.  Manure management,,21.5918175469845,2.73018431412206,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,27.73618377150984,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
G. Liming,821.04,,,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
H. Urea application,146.08953333333335,,,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
A. Forest land (4),-47540.42346000004,2.37052672,0.199719962,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
B. Cropland (4),19429.483333333344,,,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
D. Wetlands (4),16.64666666666668,,0.0036,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
E. Settlements (4),-4370.757091875941,,,Summary1.As2,BLR,2002,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,81.02788798057453,,Summary1.As2,BLR,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),12.420015,0.0005400138,0.000540013,Summary1.As2,BLR,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,88.32902403242328,0.52353644508,Summary1.As2,BLR,2002,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,274.64638419803447,,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
B.  Manure management,,21.43407806240614,2.70064308186765,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,29.49431004474801,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
G. Liming,909.48,,,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
H. Urea application,385.65926666666667,,,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
A. Forest land (4),-45037.111226033376,0.783192832,0.0942576322,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
B. Cropland (4),19591.366666666687,,,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
D. Wetlands (4),14.00666666666668,,0.003,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
E. Settlements (4),-4378.029566238463,,,Summary1.As2,BLR,2003,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,82.95294354686787,,Summary1.As2,BLR,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),36.156,0.0013,0.00122,Summary1.As2,BLR,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,89.16235391637713,0.49695632763763,Summary1.As2,BLR,2003,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,276.5517659958421,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
B.  Manure management,,21.55302702540131,2.65344738108078,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,30.35193696628578,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
G. Liming,974.336,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
H. Urea application,338.8623333333333,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
A. Forest land (4),-47169.21798033338,0.191997904,0.0547386059,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
B. Cropland (4),19284.32000000002,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
D. Wetlands (4),10.48666666666668,,0.0022,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
E. Settlements (4),-4374.393329057202,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,85.47973671989332,,Summary1.As2,BLR,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),44.81,0.0021,0.002,Summary1.As2,BLR,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,90.94843263624456,0.50457757114286,Summary1.As2,BLR,2004,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,287.93239569794605,,Summary1.As2,BLR,2005,Subsector,3.  Agriculture,,,
B.  Manure management,,22.57504004053728,2.71111481028388,Summary1.As2,BLR,2005,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,31.60139486868205,Summary1.As2,BLR,2005,Subsector,3.  Agriculture,,,
G. Liming,1099.56,,,Summary1.As2,BLR,2005,Subsector,3.  Agriculture,,,
H. Urea application,396.5786000000001,,,Summary1.As2,BLR,2005,Subsector,3.  Agriculture,,,
A. Forest land (4),-48773.32076300038,0.163267216,0.0536133711,Summary1.As2,BLR,2005,Subsector,3.  Agriculture,,,
B. Cropland (4),19232.913333333352,,,Summary1.As2,BLR,2005,Subsector,3.  Agriculture,,,
