GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),SF6 (kt)
2.  Industrial processes and product use,2370.811940491057,,0.61722182182369,Summary1.As1,LITHUANIA,2019,Sector,532.7375975440591,0.00021981
1. Energy,11206.315057335962,17.62214145092106,0.55537550931884,Summary1.As1,LITHUANIA,2020,Sector,,
2.  Industrial processes and product use,2225.978485297056,,0.53109315420583,Summary1.As1,LITHUANIA,2020,Sector,501.5851796428732,0.000427593
1. Energy,11623.617028622715,17.61107257171925,0.59429604448076,Summary1.As1,LITHUANIA,2021,Sector,,
2.  Industrial processes and product use,2088.4218885715104,,0.53591971302524,Summary1.As1,LITHUANIA,2021,Sector,512.8539225394364,0.000537463
3.  Agriculture,80.19743226427248,199.3280619694822,12.6006816790464,Summary1.As2,LITHUANIA,1990,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5464.134631590594,0.1201815604319,0.4259787772635,Summary1.As2,LITHUANIA,1990,Sector,,
5.  Waste,2.65931973034567,58.08129675052058,0.22630890897217,Summary1.As2,LITHUANIA,1990,Sector,,
3.  Agriculture,90.3191094412244,190.30801806766877,12.96631047725806,Summary1.As2,LITHUANIA,1991,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5782.688938647804,0.10995827297494,0.42313638337621,Summary1.As2,LITHUANIA,1991,Sector,,
5.  Waste,2.65931973034567,59.09716257937994,0.22728772399795,Summary1.As2,LITHUANIA,1991,Sector,,
3.  Agriculture,45.33387754366021,163.1510698192947,8.5284155285075,Summary1.As2,LITHUANIA,1992,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5522.288667927872,0.24242286902444,0.43744087328812,Summary1.As2,LITHUANIA,1992,Sector,,
5.  Waste,0.74187476346368,58.17911184232099,0.22748415077714,Summary1.As2,LITHUANIA,1992,Sector,,
3.  Agriculture,14.78685581822033,131.8164222555311,6.8345894603946,Summary1.As2,LITHUANIA,1993,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6472.98573777033,0.15245793940317,0.42802982151233,Summary1.As2,LITHUANIA,1993,Sector,,
5.  Waste,2.14070119363217,59.1761777743762,0.22717316335857,Summary1.As2,LITHUANIA,1993,Sector,,
3.  Agriculture,14.71138895972033,113.7733121547196,6.2834709306328,Summary1.As2,LITHUANIA,1994,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6003.859090385211,0.15245793940317,0.47744843386993,Summary1.As2,LITHUANIA,1994,Sector,,
5.  Waste,0.65746700067957,58.41099500453945,0.22603878904412,Summary1.As2,LITHUANIA,1994,Sector,,
3.  Agriculture,15.277207517391,103.39888253686796,6.00477984020787,Summary1.As2,LITHUANIA,1995,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4721.849135045422,0.15245793940317,0.43909756332306,Summary1.As2,LITHUANIA,1995,Sector,,
5.  Waste,2.50958338066286,58.52319845927769,0.2251016652424,Summary1.As2,LITHUANIA,1995,Sector,,
3.  Agriculture,35.58849705000557,100.34158995261288,6.7732977314704,Summary1.As2,LITHUANIA,1996,Sector,,
"4.  Land use, land-use change and forestry  (4)",814.899608015609,0.15245793940317,0.43420133844123,Summary1.As2,LITHUANIA,1996,Sector,,
5.  Waste,0.85258462384007,58.56749342931839,0.22386608281366,Summary1.As2,LITHUANIA,1996,Sector,,
3.  Agriculture,35.90803536291109,100.58752551815309,6.86017020184216,Summary1.As2,LITHUANIA,1997,Sector,,
"4.  Land use, land-use change and forestry  (4)",-402.7224364662004,0.15245793940317,0.42668505268598,Summary1.As2,LITHUANIA,1997,Sector,,
5.  Waste,0.85424541302665,59.30062190777229,0.22286315465363,Summary1.As2,LITHUANIA,1997,Sector,,
3.  Agriculture,37.27107052860524,95.70297729365775,6.75250653445035,Summary1.As2,LITHUANIA,1998,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7987.661784592377,0.10849780333823,0.41618911278805,Summary1.As2,LITHUANIA,1998,Sector,,
5.  Waste,0.9430773549008,58.66889738163612,0.22192067367289,Summary1.As2,LITHUANIA,1998,Sector,,
3.  Agriculture,36.19197885607553,88.05618377486654,6.47314669550503,Summary1.As2,LITHUANIA,1999,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7311.801520257217,0.15069369208203,0.44786728266056,Summary1.As2,LITHUANIA,1999,Sector,,
5.  Waste,0.40921853177535,58.23669992992216,0.22096284741375,Summary1.As2,LITHUANIA,1999,Sector,,
3.  Agriculture,35.22730642277463,81.49821706870866,6.39425923768325,Summary1.As2,LITHUANIA,2000,Sector,,
"4.  Land use, land-use change and forestry  (4)",-9594.143106066704,0.14837884770784,0.41505579060228,Summary1.As2,LITHUANIA,2000,Sector,,
5.  Waste,1.13395571666667,58.15748977510281,0.22016609866751,Summary1.As2,LITHUANIA,2000,Sector,,
3.  Agriculture,34.26543537615706,76.70699362314721,6.26474506196152,Summary1.As2,LITHUANIA,2001,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7419.202820549528,0.11684292684239,0.40230064261803,Summary1.As2,LITHUANIA,2001,Sector,,
5.  Waste,1.54198678333333,59.34504414595951,0.21910218662475,Summary1.As2,LITHUANIA,2001,Sector,,
3.  Agriculture,41.38604953914414,78.7470915947234,6.55564591881387,Summary1.As2,LITHUANIA,2002,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6467.218137756949,0.2096221814536,0.39376217721647,Summary1.As2,LITHUANIA,2002,Sector,,
5.  Waste,1.38293805833334,59.27799034227648,0.21805511017314,Summary1.As2,LITHUANIA,2002,Sector,,
3.  Agriculture,40.76273348997391,81.35111888439754,6.60898598537844,Summary1.As2,LITHUANIA,2003,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5709.31497053507,0.16431257144434,0.41795112198842,Summary1.As2,LITHUANIA,2003,Sector,,
5.  Waste,3.69845868333333,58.91603617050232,0.21884998881737,Summary1.As2,LITHUANIA,2003,Sector,,
3.  Agriculture,40.79661752166702,82.38519104821083,6.68208998690533,Summary1.As2,LITHUANIA,2004,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5171.537490710221,0.15788029520147,0.45179069999251,Summary1.As2,LITHUANIA,2004,Sector,,
5.  Waste,1.911490075,57.76364759441463,0.2186061403941,Summary1.As2,LITHUANIA,2004,Sector,,
3.  Agriculture,51.87465332662736,81.91464422009093,6.73305490204545,Summary1.As2,LITHUANIA,2005,Sector,,
"4.  Land use, land-use change and forestry  (4)",-4263.2834458756215,0.03975018163303,0.41267577901371,Summary1.As2,LITHUANIA,2005,Sector,,
5.  Waste,3.60080105,56.13715288773,0.2173626628737,Summary1.As2,LITHUANIA,2005,Sector,,
3.  Agriculture,39.93939596407637,83.7693116482189,6.60417567368412,Summary1.As2,LITHUANIA,2006,Sector,,
"4.  Land use, land-use change and forestry  (4)",-3864.578694235776,0.48391963153051,0.46883161236847,Summary1.As2,LITHUANIA,2006,Sector,,
5.  Waste,3.28644525,54.75867195356305,0.2159986680999,Summary1.As2,LITHUANIA,2006,Sector,,
3.  Agriculture,52.57610253111883,84.13199254143395,7.04245987794594,Summary1.As2,LITHUANIA,2007,Sector,,
"4.  Land use, land-use change and forestry  (4)",-5642.943532929322,0.03476717661949,0.41774641432493,Summary1.As2,LITHUANIA,2007,Sector,,
5.  Waste,0.66002429166667,53.74879645347565,0.21788922410662,Summary1.As2,LITHUANIA,2007,Sector,,
3.  Agriculture,41.82580480261655,82.11790881485844,6.90294612169213,Summary1.As2,LITHUANIA,2008,Sector,,
"4.  Land use, land-use change and forestry  (4)",-6369.124587212638,0.06438531671661,0.44727616415698,Summary1.As2,LITHUANIA,2008,Sector,,
5.  Waste,0.64147031666667,50.5367671138928,0.20612267631883,Summary1.As2,LITHUANIA,2008,Sector,,
3.  Agriculture,47.3702826286889,80.42045294312241,7.29576287060042,Summary1.As2,LITHUANIA,2009,Sector,,
"4.  Land use, land-use change and forestry  (4)",-7393.656554900913,0.15845320564543,0.48688521199641,Summary1.As2,LITHUANIA,2009,Sector,,
5.  Waste,0.7000961,49.53588434566324,0.19646840308205,Summary1.As2,LITHUANIA,2009,Sector,,
3.  Agriculture,37.93412865171831,79.38887866431341,7.28443263392502,Summary1.As2,LITHUANIA,2010,Sector,,
"4.  Land use, land-use change and forestry  (4)",-10497.209844429972,0.05584128571892,0.4908826048864,Summary1.As2,LITHUANIA,2010,Sector,,
5.  Waste,1.463174075,48.57185941167928,0.18568562228373,Summary1.As2,LITHUANIA,2010,Sector,,
3.  Agriculture,38.65752885562248,78.68031882808882,7.48707324664707,Summary1.As2,LITHUANIA,2011,Sector,,
"4.  Land use, land-use change and forestry  (4)",-10696.076044767173,0.09546382696284,0.48855604769023,Summary1.As2,LITHUANIA,2011,Sector,,
5.  Waste,4.44963685833333,45.97973854587866,0.17556421460098,Summary1.As2,LITHUANIA,2011,Sector,,
3.  Agriculture,41.07420304962248,77.98451288141727,7.78387971543649,Summary1.As2,LITHUANIA,2012,Sector,,
"4.  Land use, land-use change and forestry  (4)",-10318.60443960143,0.04331081489288,0.47204437375366,Summary1.As2,LITHUANIA,2012,Sector,,
5.  Waste,1.02418616666667,44.78298153708152,0.17226122990755,Summary1.As2,LITHUANIA,2012,Sector,,
3.  Agriculture,48.25536412520225,76.635395247252,7.77540319482146,Summary1.As2,LITHUANIA,2013,Sector,,
"4.  Land use, land-use change and forestry  (4)",-9711.374806680187,0.03548397505242,0.48921099635711,Summary1.As2,LITHUANIA,2013,Sector,,
5.  Waste,0.77165339166667,43.69837217852495,0.1738514000812,Summary1.As2,LITHUANIA,2013,Sector,,
3.  Agriculture,78.99856908385681,78.19536458144378,8.26781480641934,Summary1.As2,LITHUANIA,2014,Sector,,
"4.  Land use, land-use change and forestry  (4)",-8920.44336994067,0.11512826011387,0.49645699436344,Summary1.As2,LITHUANIA,2014,Sector,,
