GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt)
A. Fuel combustion     Reference approach(2),13662.614250000011,,,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
                                           Sectoral approach(2),13528.12738209198,6.64976049693982,0.60359473322728,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
1.  Energy industries,6358.032552250001,0.205792,0.036238,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,1727.7124157788078,0.10253894532787,0.09234549853279,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
3.  Transport,3103.018387063171,0.95857800161195,0.18104433469449,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
4.  Other sectors,2338.497147,5.38284555,0.2939429,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
5.  Other,0.86688,6e-06,2.4e-05,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
B. Fugitive emissions from fuels,56.9429886405838,9.12618630651028,0.00010624150058,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,56.9429886405838,9.12618630651028,0.00010624150058,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
A.  Mineral industry,422.4469003411496,,,Summary1.As1,LITHUANIA,1995,Subsector,1. Energy,,
C.  Metal industry,4.54817399449069,,,Summary1.As1,LITHUANIA,1995,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,9.97333333333333,,,Summary1.As1,LITHUANIA,1995,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,LITHUANIA,1995,Subsector,2.  Industrial processes and product use,6.13589132834831,
G.  Other product manufacture and use ,,,0.29213824288,Summary1.As1,LITHUANIA,1995,Subsector,2.  Industrial processes and product use,,2e-06
A. Fuel combustion     Reference approach(2),14301.630750000011,,,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
                                           Sectoral approach(2),14006.565355373335,7.3937395940564,0.52326945811811,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
1.  Energy industries,7038.3036645,0.227987,0.0396775,Summary1.As1,LITHUANIA,1996,Subsector,1. Energy,,
